time,open,high,low,close,volume
2024-12-16,125.92,126.76,125.84,126.17,3296592
2024-12-17,126.34,126.68,124.32,124.57,5958677
2024-12-18,124.57,126.09,124.57,125.16,2927454
2024-12-19,123.99,125.42,123.9,124.66,4811922
2024-12-20,125.0,126.76,124.83,125.84,3544255
2024-12-23,125.84,126.17,125.16,126.09,2520029
2024-12-24,126.26,126.93,125.75,126.6,2306686
2024-12-25,126.76,127.27,126.6,126.93,2517969
2024-12-26,127.1,127.44,125.5,126.09,2238343
2024-12-27,125.84,126.17,125.16,125.92,2567003
2024-12-30,125.75,126.93,125.0,126.68,1986819
2024-12-31,126.85,129.54,126.51,128.36,3612655
2025-01-02,128.36,128.53,126.34,127.94,3179535
2025-01-03,127.35,127.35,125.42,125.42,4342125
2025-01-06,125.5,126.43,124.91,125.67,3472044
2025-01-07,125.84,127.35,125.84,126.34,3458671
2025-01-08,126.26,126.26,124.66,124.83,3886957
2025-01-09,124.83,125.58,124.57,125.25,1724571
2025-01-10,125.25,125.5,123.9,123.99,2531304
2025-01-13,122.98,125.0,121.8,124.24,3495883
2025-01-14,124.24,124.57,122.13,122.13,2910614
2025-01-15,122.89,123.31,121.88,122.47,2849518
2025-01-16,123.06,123.73,122.22,123.31,3577267
2025-01-17,123.4,126.34,122.89,125.42,3543613
2025-01-20,125.42,126.6,124.74,126.26,2222776
2025-01-21,126.68,127.44,125.42,126.17,2487666
2025-01-22,125.92,126.76,125.58,126.01,2791445
2025-01-23,126.34,131.31,126.26,129.88,7071025
2025-01-24,129.71,130.05,129.12,129.12,3663137
2025-02-03,124.57,125.58,122.3,122.47,12782345
2025-02-04,122.89,123.73,122.3,123.06,5484258
2025-02-05,123.65,124.15,122.72,123.14,5215921
2025-02-06,123.73,123.99,122.55,123.31,3436430
2025-02-07,123.31,123.48,122.72,122.98,3871195
2025-02-10,122.47,122.47,119.52,119.52,7778331
2025-02-11,119.69,122.39,117.93,122.39,5374143
2025-02-12,122.55,122.64,121.46,122.05,1894041
2025-02-13,122.05,122.05,120.11,120.45,2864744
2025-02-14,121.21,122.05,120.87,121.97,3258612
2025-02-17,122.05,122.05,120.7,120.87,2476462
2025-02-18,121.04,121.54,120.45,121.12,1670138
2025-02-19,121.12,121.97,120.45,121.21,3035921
2025-02-20,121.38,121.71,120.37,120.37,3392942
2025-02-21,120.2,120.28,119.1,119.52,5328132
2025-02-24,119.52,119.52,117.42,118.26,7522473
2025-02-25,118.18,118.18,116.33,117.0,6832220
2025-02-26,117.08,119.36,116.92,119.36,3331505
2025-02-27,119.52,119.69,118.43,118.94,3433107
2025-02-28,117.93,118.77,117.0,118.09,4704828
2025-03-03,118.26,119.02,118.09,118.26,2546980
2025-03-04,117.42,118.35,117.25,117.84,3480042
2025-03-05,117.84,117.93,117.08,117.08,2862185
