time,open,high,low,close,volume
2025-12-16,56.43,56.92,55.54,56.43,6358748
2025-12-17,56.53,57.02,56.23,56.23,2337050
2025-12-18,56.73,57.02,56.23,56.33,3080284
2025-12-19,56.53,57.02,56.23,57.02,4269232
2025-12-22,57.22,57.52,56.82,57.32,2967360
2025-12-23,57.32,57.62,56.53,56.73,3159396
2025-12-24,56.82,56.82,56.43,56.53,4437435
2025-12-25,56.53,57.42,56.53,56.63,3974518
2025-12-26,56.63,56.92,56.13,56.63,3312096
2025-12-29,56.92,57.02,56.63,56.63,2104824
2025-12-30,56.82,57.62,56.73,56.82,2962716
2025-12-31,56.92,57.42,56.82,57.02,2535714
2026-01-05,57.02,57.12,56.53,56.63,3604135
2026-01-06,56.63,57.02,56.13,56.82,4182912
2026-01-07,57.12,59.4,57.02,59.11,12934103
2026-01-08,59.3,63.17,59.2,63.17,27142868
2026-01-09,64.86,67.44,64.86,67.44,32542358
2026-01-12,69.32,72.1,69.02,72.1,22028251
2026-01-13,73.68,75.37,71.2,73.39,28258897
2026-01-14,72.49,78.15,72.49,75.37,21257289
2026-01-15,73.39,74.28,71.3,71.3,23271740
2026-01-16,72.39,75.37,71.4,72.39,13452933
2026-01-19,72.39,72.89,71.01,72.1,8232522
2026-01-20,73.39,74.38,71.5,72.89,18524449
2026-01-21,72.2,72.99,71.1,72.2,11192904
2026-01-22,72.79,75.27,70.01,70.41,18603646
2026-01-23,70.41,70.41,67.93,68.03,16832130
2026-01-26,68.33,70.51,68.13,69.02,11005799
2026-01-27,69.12,70.91,67.53,70.01,9659439
2026-01-28,70.51,72.29,68.82,69.02,12307573
2026-01-29,68.72,70.21,68.03,69.22,7866952
2026-01-30,70.01,71.3,69.02,69.91,11495974
2026-02-02,69.91,70.91,68.72,70.91,10728387
2026-02-03,71.8,72.69,70.71,71.2,15113645
2026-02-04,71.4,71.4,69.91,70.21,8739730
2026-02-05,70.11,70.21,67.83,67.83,11715068
2026-02-06,67.34,67.34,64.36,64.56,24607616
2026-02-09,64.96,65.45,63.67,64.46,7331314
2026-02-10,63.96,64.96,62.08,62.58,15848890
2026-02-11,63.47,66.05,62.97,64.16,11139011
2026-02-12,64.96,64.96,63.67,63.67,7964530
2026-02-13,64.16,64.56,63.47,63.87,4961417
2026-02-23,64.46,66.15,64.06,65.85,10117726
2026-02-24,66.05,66.05,64.36,64.46,10275154
2026-02-25,64.46,65.95,64.16,64.56,9508655
2026-02-26,64.66,65.35,64.46,64.86,7574445
2026-02-27,64.96,65.85,64.26,64.36,8849923
2026-03-02,62.38,63.37,62.38,62.38,17134612
2026-03-03,62.38,63.17,60.89,61.09,12617738
2026-03-04,61.29,62.68,61.19,62.48,10278450
2026-03-05,63.17,63.17,61.98,61.98,6058289
2026-03-06,61.49,62.68,61.09,61.09,8870048
2026-03-09,56.92,59.2,56.82,56.82,29447162
2026-03-10,59.3,60.39,58.31,59.9,11566485
2026-03-11,60.0,60.69,59.5,59.9,8807386
2026-03-12,59.7,59.8,59.01,59.3,6236971
2026-03-13,58.71,59.6,58.41,58.51,5677370
2026-03-16,58.81,59.3,58.11,58.31,4003351
2026-03-17,59.01,60.0,58.91,60.0,7161606
2026-03-18,60.39,61.49,59.5,60.0,8246107
2026-03-19,59.2,59.5,58.51,59.3,6201272
2026-03-20,59.3,59.3,57.52,57.52,8344848
2026-03-23,57.32,57.82,56.03,57.12,9679055
2026-03-24,58.51,58.51,57.52,57.72,4346572
2026-03-25,58.31,58.61,57.52,57.92,8571480
2026-03-26,58.01,58.11,57.02,57.42,6238873
2026-03-27,57.52,58.51,57.42,58.31,6143255
2026-03-30,57.42,58.01,57.32,57.52,5559214
2026-03-31,57.72,58.41,57.52,57.62,5494725
2026-04-01,58.41,58.71,58.01,58.51,8265634
2026-04-02,58.21,58.31,57.62,57.72,5681184
2026-04-03,57.82,58.01,57.22,57.22,5935690
2026-04-06,57.32,57.72,57.22,57.52,4312428
2026-04-07,57.52,57.82,57.22,57.52,3900563
2026-04-08,58.71,59.8,58.31,59.7,13763525
2026-04-09,59.5,59.6,58.81,58.91,6232957
2026-04-10,59.11,60.49,59.11,59.3,7673306
