report_id,ticker,company_name,title,description,report_type,broker,source_platform,published_at,published_at_raw,analyst,recommendation,recommendation_raw,target_price,target_price_currency,current_price,upside_percent,valuation_methods,source_page_url,canonical_source_url,mirror_urls,pdf_url,local_pdf_path,pdf_hash,extracted_text_path,content_hash,page_count,language,crawled_at,status,validation_notes
unknown_acb_887c9a6add96,"[""ACB""]",Ngân hàng Thương mại Cổ phần Á Châu,"ACB - Thu nhập lãi thuần tích cực nhờ NIM cải thiện, thu nhập ngoài lãi sụt giảm mạnh và chi phí dự phòng gia tăng",,COMPANY_REPORT,VPX,CafeF,2026-08-03T00:00:00+07:00,03/08/2026,"[""Nguy ễn Ng ọc Minh""]",BUY,MUA,,VND,,25.3,"[""P_E"", ""P_B""]",https://cafef.vn/du-lieu/report/acb-thu-nhap-lai-thuan-tich-cuc-nho-nim-cai-thien-thu-nhap-ngoai-lai-sut-giam-manh-va-chi-phi-du-phong-gia-tang-6a7047c0a04eaffa85901fd1.chn,https://cafef.vn/du-lieu/report/acb-thu-nhap-lai-thuan-tich-cuc-nho-nim-cai-thien-thu-nhap-ngoai-lai-sut-giam-manh-va-chi-phi-du-phong-gia-tang-6a7047c0a04eaffa85901fd1.chn,"[""https://finance.vietstock.vn/bao-cao-phan-tich/21345/acb-bao-cao-cap-nhat-kqkd-q22026.htm""]",https://cafefnew.mediacdn.vn/Images/Uploaded/DuLieuDownload/PhanTichBaoCao/ACB_20260803144755_47257ea93429436aa1fe4f76.pdf,data\pdf\ACB\UNKNOWN_ACB_2026-08-03_4a55c714.pdf,4a55c714d8c0716daae515d31cf0612dcd85c5209c8d7129c30f865d9f42f3f3,data\extracted\ACB\UNKNOWN_ACB_2026-08-03_4a55c714.txt,36f49989176168ab142c37c0d0c2ccffcb5a4e930b7bf7ee4e0f4795c0dc439c,3,vi,2026-08-16T09:40:27.883756+07:00,accepted,"[""explicit_exchange_ticker"", ""ticker_title_and_report_evidence"", ""positive_alias:HOSE: ACB"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
vix_acb_6df2abacfa85,"[""ACB""]",Ngân hàng Thương mại Cổ phần Á Châu,ACB – Cập nhật KQKD Q2/2026,,EARNINGS_UPDATE,VIX,CafeF,2026-07-29T00:00:00+07:00,29/07/2026,"[""Bùi Đức Thảo""]",NEUTRAL,TRUNG LẬP,,VND,22500.0,,"[""P_E"", ""P_B""]",https://cafef.vn/du-lieu/report/acb-cap-nhat-kqkd-q22026-6a70509ea04eaffa85901fe2.chn,https://cafef.vn/du-lieu/report/acb-cap-nhat-kqkd-q22026-6a70509ea04eaffa85901fe2.chn,"[""https://finance.vietstock.vn/bao-cao-phan-tich/21260/acb-khuyen-nghi-tich-cuc-voi-gia-muc-tieu-28000-dongco-phieu.htm""]",https://cafefnew.mediacdn.vn/Images/Uploaded/DuLieuDownload/PhanTichBaoCao/ACB_20260803152535_6bce3336cd3d4170a96deed5.pdf,data\pdf\ACB\VIX_ACB_2026-07-29_3fcbf54e.pdf,3fcbf54e127c9f2975a729ace212919a719d19704d004dec1b948829c7a4cf45,data\extracted\ACB\VIX_ACB_2026-07-29_3fcbf54e.txt,35b26514aab0040e3785e04abbda45e5dcba89558792c4f291d749df54cc5870,5,vi,2026-08-16T09:40:28.003638+07:00,accepted,"[""explicit_exchange_ticker"", ""ticker_title_and_report_evidence"", ""positive_alias:HOSE: ACB"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
unknown_acb_8c761cdc919a,"[""ACB""]",Ngân hàng Thương mại Cổ phần Á Châu,"ACB - Hoạt động kinh doanh cốt lõi tích cực , lợi nhuận 6T2026 đi ngang do tăng trích lập dự phòng",,COMPANY_REPORT,SHS,CafeF,2026-08-13T00:00:00+07:00,13/08/2026,[],OUTPERFORM,KHẢ QUAN,26141.0,VND,,,"[""P_E"", ""P_B""]",https://cafef.vn/du-lieu/report/acb-hoat-dong-kinh-doanh-cot-loi-tich-cuc--loi-nhuan-6t2026-di-ngang-do-tang-trich-lap-du-phong-6a7fdb338832906552bfc98a.chn,https://cafef.vn/du-lieu/report/acb-hoat-dong-kinh-doanh-cot-loi-tich-cuc--loi-nhuan-6t2026-di-ngang-do-tang-trich-lap-du-phong-6a7fdb338832906552bfc98a.chn,"[""https://finance.vietstock.vn/bao-cao-phan-tich/21596/acb-khuyen-nghi-kha-quan-voi-gia-muc-tieu-26000-dongco-phieu.htm""]",https://cafefnew.mediacdn.vn/Images/Uploaded/DuLieuDownload/PhanTichBaoCao/ACB_20260815102119_3d1f0d80055c4868b43e3a7c.pdf,data\pdf\ACB\UNKNOWN_ACB_2026-08-13_70eab2af.pdf,70eab2afc745dba9408fc9cd29b69cf2ddeab69808f3cdd06ab034d319e83510,data\extracted\ACB\UNKNOWN_ACB_2026-08-13_70eab2af.txt,092644ff4f2b878e368b07ea61753471d91a53583a6a64b798961cc584072657,12,vi,2026-08-16T09:40:29.138825+07:00,accepted,"[""explicit_exchange_ticker"", ""ticker_title_and_report_evidence"", ""positive_alias:HOSE: ACB,cổ phiếu ACB"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
mbs_acb_4da603fa968f,"[""ACB""]",Ngân hàng Thương mại Cổ phần Á Châu,ACB – Cập nhật KQKD Q2/2026 và Kế hoạch 2026,,EARNINGS_UPDATE,MBS,CafeF,2026-07-28T00:00:00+07:00,28/07/2026,"[""meeting: Cập nhật KQKD Q2/2026 và Kế"", ""Đinh Công Luyến""]",SELL,BÁN,,VND,,,"[""P_E"", ""P_B""]",https://cafef.vn/du-lieu/report/acb-cap-nhat-kqkd-q22026-va-ke-hoach-2026-6a700eb2a04eaffa85901f9e.chn,https://cafef.vn/du-lieu/report/acb-cap-nhat-kqkd-q22026-va-ke-hoach-2026-6a700eb2a04eaffa85901f9e.chn,"[""https://finance.vietstock.vn/bao-cao-phan-tich/21214/acb-bao-cao-cap-nhat-kqkd-q22026.htm""]",https://cafefnew.mediacdn.vn/Images/Uploaded/DuLieuDownload/PhanTichBaoCao/ACB_20260803104445_33979b5b59ec43969c641486.pdf,data\pdf\ACB\MBS_ACB_2026-07-28_2875ece0.pdf,2875ece0abf164cb8e5cd5decf41fd84187fea34f84ffe4e20390ce313665d03,data\extracted\ACB\MBS_ACB_2026-07-28_2875ece0.txt,e372ad08a22defc9aa63e347469795d97e74b55da3a246dc788213fcacc3747c,7,vi,2026-08-16T09:40:46.803521+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
unknown_acb_0d21d9a32b2d,"[""ACB""]",Ngân hàng Thương mại Cổ phần Á Châu,"ACB (Cập nhật Q2-2026): NIM cải thiện, chi phí dự phòng tăng mạnh",,COMPANY_REPORT,NHSV,CafeF,2026-07-29T00:00:00+07:00,29/07/2026,[],OUTPERFORM,KHẢ QUAN,,VND,,,"[""P_E"", ""P_B""]",https://cafef.vn/du-lieu/report/acb-cap-nhat-q22026-nim-cai-thien-chi-phi-du-phong-tang-manh-6a704a88a04eaffa85901fd8.chn,https://cafef.vn/du-lieu/report/acb-cap-nhat-q22026-nim-cai-thien-chi-phi-du-phong-tang-manh-6a704a88a04eaffa85901fd8.chn,"[""https://finance.vietstock.vn/bao-cao-phan-tich/21259/acb-bao-cao-cap-nhat-kqkd-q22026.htm""]",https://cafefnew.mediacdn.vn/Images/Uploaded/DuLieuDownload/PhanTichBaoCao/ACB_20260803145954_ae48cd53bce3450fbbfbe543.pdf,data\pdf\ACB\UNKNOWN_ACB_2026-07-29_dc041d9e.pdf,dc041d9e3243751df0b1bec18faa47fb92fe1aaa897b8a77dc8b4b6cc7062598,data\extracted\ACB\UNKNOWN_ACB_2026-07-29_dc041d9e.txt,557d01c8c461410a9a5925a16bd0f673ba25336cd169408e6193837e688e3060,6,vi,2026-08-16T09:40:47.217166+07:00,accepted,"[""explicit_exchange_ticker"", ""ticker_title_and_report_evidence"", ""positive_alias:HOSE: ACB"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
beta_acb_c4e9398d7eb8,"[""ACB""]",Ngân hàng Thương mại Cổ phần Á Châu,ACB: Báo cáo cập nhật KQKD Q2/2026,,EARNINGS_UPDATE,Beta,Vietstock Finance,2026-08-12T00:00:00+07:00,12/08/2026,"[""Hồ Tấn Phát""]",SELL,BÁN,12.0,VND,22750.0,,"[""P_E"", ""P_B""]",https://finance.vietstock.vn/bao-cao-phan-tich/21569/acb-bao-cao-cap-nhat-kqkd-q22026.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21569/acb-bao-cao-cap-nhat-kqkd-q22026.htm,[],https://finance.vietstock.vn/downloadedoc/21569,data\pdf\ACB\Beta_ACB_2026-08-12_ee3d42c6.pdf,ee3d42c68871408b3a4f6f7e296f552c859f435904d8796ea0d8198a351c6f8d,data\extracted\ACB\Beta_ACB_2026-08-12_ee3d42c6.txt,9797330beef665a8be5967e45b190ad2589976b83faf48ee61d30aa5600ba0b7,6,vi,2026-08-16T09:40:49.393356+07:00,accepted,"[""explicit_exchange_ticker"", ""ticker_title_and_report_evidence"", ""positive_alias:HOSE: ACB"", ""ticker_repeated""]"
kis_acb_1419ac489a2d,"[""ACB""]",Ngân hàng Thương mại Cổ phần Á Châu,ACB: Báo cáo cập nhật KQKD Q2/2026,,EARNINGS_UPDATE,KIS,Vietstock Finance,2026-07-29T00:00:00+07:00,29/07/2026,[],SELL,BÁN,,VND,,12.0,"[""P_B""]",https://finance.vietstock.vn/bao-cao-phan-tich/21338/acb-bao-cao-cap-nhat-kqkd-q22026.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21338/acb-bao-cao-cap-nhat-kqkd-q22026.htm,[],https://finance.vietstock.vn/downloadedoc/21338,data\pdf\ACB\KIS_ACB_2026-07-29_45215054.pdf,45215054e15bafc5348dab2a779a783f80a21177efe94197c326473a2c6781b6,data\extracted\ACB\KIS_ACB_2026-07-29_45215054.txt,9f647957a209c3c08ce3a7385badd82f84e059c101d1bfd32902113fa9ca5c77,4,vi,2026-08-16T09:40:51.593877+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:Ngân hàng Á Châu"", ""ticker_repeated""]"
vnds_acb_36e90868bfac,"[""ACB""]",Ngân hàng Thương mại Cổ phần Á Châu,ACB - Chi phí dự phòng tăng mạnh; mảng kinh doanh cốt lõi duy trì tốt,,COMPANY_REPORT,VNDS,CafeF,2026-07-24T00:00:00+07:00,24/07/2026,[],BUY,MUA,,VND,,,[],https://cafef.vn/du-lieu/report/acb-chi-phi-du-phong-tang-manh-mang-kinh-doanh-cot-loi-duy-tri-tot-6a66d3bca04eaffa85901f7e.chn,https://cafef.vn/du-lieu/report/acb-chi-phi-du-phong-tang-manh-mang-kinh-doanh-cot-loi-duy-tri-tot-6a66d3bca04eaffa85901f7e.chn,"[""https://finance.vietstock.vn/bao-cao-phan-tich/21205/acb-bao-cao-cap-nhat-kqkd-q22026.htm""]",https://cafefnew.mediacdn.vn/Images/Uploaded/DuLieuDownload/PhanTichBaoCao/ACB_20260727104232_7c1130c4383a4f5484f272de.pdf,data\pdf\ACB\VNDS_ACB_2026-07-24_e0c8044a.pdf,e0c8044aa17ea245043c426ca5896bc366f1af3fc67d9ee36dcb1505d6da4431,data\extracted\ACB\VNDS_ACB_2026-07-24_e0c8044a.txt,ad91c29e20301efa69269d31441c2e99c36f1e5726a1bf6fa28da947cdb5989a,2,vi,2026-08-16T09:40:51.792813+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
kafi_acb_ef19ebd1f11e,"[""ACB""]",Ngân hàng Thương mại Cổ phần Á Châu,"ACB: Khuyến nghị KHẢ QUAN với giá mục tiêu 29,500 đồng/cổ phiếu",,COMPANY_REPORT,KAFI,Vietstock Finance,2026-07-14T00:00:00+07:00,14/07/2026,[],OUTPERFORM,KHẢ QUAN,29500.0,VND,22850.0,,"[""P_B""]",https://finance.vietstock.vn/bao-cao-phan-tich/21130/acb-khuyen-nghi-kha-quan-voi-gia-muc-tieu-29500-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21130/acb-khuyen-nghi-kha-quan-voi-gia-muc-tieu-29500-dongco-phieu.htm,[],https://finance.vietstock.vn/downloadedoc/21130,data\pdf\ACB\KAFI_ACB_2026-07-14_bafb03b4.pdf,bafb03b4620a8be929ebae2ab58e9f46ac2127307300053ea53ff2cfcfce741b,data\extracted\ACB\KAFI_ACB_2026-07-14_bafb03b4.txt,9f8423904876168a8b99696a95b5a30ab105091d8a5230c7bbcaf5ede4948ff8,15,vi,2026-08-16T09:40:53.783864+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated""]"
vds_acb_15b75130b486,"[""ACB""]",Ngân hàng Thương mại Cổ phần Á Châu,"ACB: Khuyến nghị MUA với giá mục tiêu 27,600 đồng/cổ phiếu: ACB: Khuyến nghị MUA với giá mục tiêu 27",,COMPANY_REPORT,VDS,Vietstock Finance,2026-06-26T00:00:00+07:00,26/06/2026,[],BUY,MUA,27600.0,VND,,,"[""P_E"", ""P_B""]",https://finance.vietstock.vn/bao-cao-phan-tich/20964/acb-khuyen-nghi-mua-voi-gia-muc-tieu-27600-dongco-phieu-acb-khuyen-nghi-mua-voi-gia-muc-tieu-27.htm,https://finance.vietstock.vn/bao-cao-phan-tich/20964/acb-khuyen-nghi-mua-voi-gia-muc-tieu-27600-dongco-phieu-acb-khuyen-nghi-mua-voi-gia-muc-tieu-27.htm,[],https://finance.vietstock.vn/downloadedoc/20964,data\pdf\ACB\VDS_ACB_2026-06-26_e848022e.pdf,e848022e8b1d125c5f0de680fd0bdd7bb107930829b6e449c95cded02bdb19b1,data\extracted\ACB\VDS_ACB_2026-06-26_e848022e.txt,0c275ee3e3952dca84009edd089dbed2f1c7dbbe8155162554891ccf46942f01,11,vi,2026-08-16T09:40:54.119424+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated""]"
