report_id,ticker,company_name,title,description,report_type,broker,source_platform,published_at,published_at_raw,analyst,recommendation,recommendation_raw,target_price,target_price_currency,current_price,upside_percent,valuation_methods,source_page_url,canonical_source_url,mirror_urls,pdf_url,local_pdf_path,pdf_hash,extracted_text_path,content_hash,page_count,language,crawled_at,status,validation_notes
unknown_bsr_3c9f46163525,"[""BSR""]",Công ty Cổ phần Lọc hóa Dầu Bình Sơn,Báo cáo phân tích kỹ thuật - BSR,,TECHNICAL_REPORT,,CafeF,2026-08-10T00:00:00+07:00,10/08/2026,[],,,,VND,,,[],https://cafef.vn/du-lieu/report/bao-cao-phan-tich-ky-thuat-bsr-6a798df3a04eaffa85902031.chn,https://cafef.vn/du-lieu/report/bao-cao-phan-tich-ky-thuat-bsr-6a798df3a04eaffa85902031.chn,[],,,,,,,vi,2026-08-16T09:51:29.208268+07:00,accepted,"[""positive_alias:BSR"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
unknown_bsr_14aa04316304,"[""BSR""]",Công ty Cổ phần Lọc hóa Dầu Bình Sơn,BSR: Báo cáo cập nhật KQKD Q2/2026,,EARNINGS_UPDATE,,CafeF,2026-08-05T00:00:00+07:00,05/08/2026,[],,,,VND,,,[],https://cafef.vn/du-lieu/report/bsr-bao-cao-cap-nhat-kqkd-q22026-6a7995a2a04eaffa85902043.chn,https://cafef.vn/du-lieu/report/bsr-bao-cao-cap-nhat-kqkd-q22026-6a7995a2a04eaffa85902043.chn,[],,,,,,,vi,2026-08-16T09:51:29.209266+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:BSR"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
unknown_bsr_73b90a300490,"[""BSR""]",Công ty Cổ phần Lọc hóa Dầu Bình Sơn,BSR - Đòn bẩy lớn từ crack spread kỷ lục,,COMPANY_REPORT,,CafeF,2026-08-14T00:00:00+07:00,14/08/2026,[],,,,VND,,,[],https://cafef.vn/du-lieu/report/bsr-don-bay-lon-tu-crack-spread-ky-luc-6a7fe0a68832906552bfc999.chn,https://cafef.vn/du-lieu/report/bsr-don-bay-lon-tu-crack-spread-ky-luc-6a7fe0a68832906552bfc999.chn,[],,,,,,,vi,2026-08-16T09:51:29.856352+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:BSR"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
vnds_bsr_f2a03ef3e6cd,"[""BSR""]",Công ty Cổ phần Lọc hóa Dầu Bình Sơn,BSR - Lợi nhuận Q2 tiếp tục hưởng lợi từ xung đột tại Iran,,COMPANY_REPORT,VNDS,CafeF,2026-07-31T00:00:00+07:00,31/07/2026,[],,,,VND,,,[],https://cafef.vn/du-lieu/report/bsr-loi-nhuan-q2-tiep-tuc-huong-loi-tu-xung-dot-tai-iran-6a704378a04eaffa85901fc3.chn,https://cafef.vn/du-lieu/report/bsr-loi-nhuan-q2-tiep-tuc-huong-loi-tu-xung-dot-tai-iran-6a704378a04eaffa85901fc3.chn,[],,,,,,,vi,2026-08-16T09:52:37.855611+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:BSR"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
unknown_bsr_f572e39a2272,"[""BSR""]",Công ty Cổ phần Lọc hóa Dầu Bình Sơn,BSR - Hưởng lợi từ crack spread và nhu cầu xăng E10,,COMPANY_REPORT,,CafeF,2026-07-09T00:00:00+07:00,09/07/2026,[],,,,VND,,,[],https://cafef.vn/du-lieu/report/bsr-huong-loi-tu-crack-spread-va-nhu-cau-xang-e10-6a5487b6a04eaffa85901f2f.chn,https://cafef.vn/du-lieu/report/bsr-huong-loi-tu-crack-spread-va-nhu-cau-xang-e10-6a5487b6a04eaffa85901f2f.chn,"[""https://cafef.vn/du-lieu/report/bsr-huong-loi-tu-crackspread-duy-tri-cao-huong-loi-tu-nguon-cung-toan-cau-6a704c68a04eaffa85901fdd.chn""]",,,,,,,vi,2026-08-16T09:52:37.977572+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:BSR"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
mas_bsr_f8745369e209,"[""BSR""]",Công ty Cổ phần Lọc hóa Dầu Bình Sơn,"BSR: Khuyến nghị MUA với giá mục tiêu 33,000 đồng/cổ phiếu",,COMPANY_REPORT,MAS,Vietstock Finance,2026-08-13T00:00:00+07:00,13/08/2026,"[""Huỳnh ThịThu Thảo"", ""Huỳnh Thị Thu Thảo""]",BUY,MUA,33000.0,VND,,,"[""P_E"", ""P_B""]",https://finance.vietstock.vn/bao-cao-phan-tich/21594/bsr-khuyen-nghi-mua-voi-gia-muc-tieu-33000-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21594/bsr-khuyen-nghi-mua-voi-gia-muc-tieu-33000-dongco-phieu.htm,[],https://finance.vietstock.vn/downloadedoc/21594,data\pdf\BSR\MAS_BSR_2026-08-13_50814e1f.pdf,50814e1f271c4822b3012f3ae05d6e9ea3cb66b1f6a80d3e6ce436ba6c10763d,data\extracted\BSR\MAS_BSR_2026-08-13_50814e1f.txt,641d323ad5ddc0d864b8efd512f70b073f89f9602e9644b027dfaa91609aa88b,3,vi,2026-08-16T09:52:56.592959+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:BSR"", ""ticker_repeated""]"
beta_bsr_8ec4afd8954d,"[""BSR""]",Công ty Cổ phần Lọc hóa Dầu Bình Sơn,BSR: Báo cáo cập nhật KQKD Q2/2026,,EARNINGS_UPDATE,Beta,Vietstock Finance,2026-08-11T00:00:00+07:00,11/08/2026,"[""Lê Nguyên Anh Phương""]",HOLD,NẮM GIỮ,,VND,,,"[""P_E"", ""P_B""]",https://finance.vietstock.vn/bao-cao-phan-tich/21570/bsr-bao-cao-cap-nhat-kqkd-q22026.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21570/bsr-bao-cao-cap-nhat-kqkd-q22026.htm,[],https://finance.vietstock.vn/downloadedoc/21570,data\pdf\BSR\Beta_BSR_2026-08-11_d3d3590f.pdf,d3d3590f481836219e5d5158fd94d47eb16c2edbb70a20e6bac1b3d8a4102de5,data\extracted\BSR\Beta_BSR_2026-08-11_d3d3590f.txt,73bb82eeccaeb2f975f7dcf3a919521f78f6a7eae4cb0863c7b1a019d239b46e,4,vi,2026-08-16T09:52:56.641439+07:00,accepted,"[""explicit_exchange_ticker"", ""ticker_title_and_report_evidence"", ""positive_alias:Lọc hóa Dầu Bình Sơn,BSR,HOSE: BSR"", ""ticker_repeated""]"
bsc_bsr_4a749df09bd1,"[""BSR""]",Công ty Cổ phần Lọc hóa Dầu Bình Sơn,"BSR: Khuyến nghị MUA với giá mục tiêu 33,800 đồng/cổ phiếu",,COMPANY_REPORT,BSC,Vietstock Finance,2026-08-12T00:00:00+07:00,12/08/2026,[],BUY,MUA,33800.0,VND,,,"[""P_E"", ""P_B"", ""EV_EBITDA""]",https://finance.vietstock.vn/bao-cao-phan-tich/21602/bsr-khuyen-nghi-mua-voi-gia-muc-tieu-33800-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21602/bsr-khuyen-nghi-mua-voi-gia-muc-tieu-33800-dongco-phieu.htm,"[""https://finance.vietstock.vn/bao-cao-phan-tich/20582/bsr-khuyen-nghi-mua-voi-gia-muc-tieu-33800-dongco-phieu.htm""]",https://finance.vietstock.vn/downloadedoc/21602,data\pdf\BSR\BSC_BSR_2026-08-12_49bc16cd.pdf,49bc16cd33d62ee2bfde319c1b19eb0355f19634e5409dd2e0f7cab7b5488b1a,data\extracted\BSR\BSC_BSR_2026-08-12_49bc16cd.txt,048b00d3e93c0c4b1a062a40eefc662af867e2094d112f55214076354ebabde9,8,vi,2026-08-16T09:52:56.663431+07:00,accepted,"[""explicit_exchange_ticker"", ""ticker_title_and_report_evidence"", ""positive_alias:Lọc hóa Dầu Bình Sơn,BSR,HOSE: BSR,cổ phiếu BSR"", ""ticker_repeated""]"
tps_bsr_363c5cff6bbe,"[""BSR""]",Công ty Cổ phần Lọc hóa Dầu Bình Sơn,BSR: Báo cáo Phân tích Kỹ thuật 10/08/2026,,TECHNICAL_REPORT,TPS,Vietstock Finance,2026-08-10T00:00:00+07:00,10/08/2026,[],ACCUMULATE,TÍCH LŨY,,VND,,,[],https://finance.vietstock.vn/bao-cao-phan-tich/21509/bsr-bao-cao-phan-tich-ky-thuat-10082026.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21509/bsr-bao-cao-phan-tich-ky-thuat-10082026.htm,[],https://finance.vietstock.vn/downloadedoc/21509,data\pdf\BSR\TPS_BSR_2026-08-10_9ca2c57d.pdf,9ca2c57d30fef891cebf8bab5064463a5af703b389057457bcb6dcc6bcf9772b,data\extracted\BSR\TPS_BSR_2026-08-10_9ca2c57d.txt,84ad5d995920ab878eb07bf23ca97affa0eb391b61d77d520ef83cc7940d2643,4,vi,2026-08-16T09:52:57.785139+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:BSR,cổ phiếu BSR"", ""ticker_repeated""]"
vnds_bsr_6c36aa1965bd,"[""BSR""]",Công ty Cổ phần Lọc hóa Dầu Bình Sơn,BSR: Báo cáo cập nhật KQKD Q2/2026,,EARNINGS_UPDATE,VNDS,Vietstock Finance,2026-07-31T00:00:00+07:00,31/07/2026,[],SELL,BÁN,,VND,,,[],https://finance.vietstock.vn/bao-cao-phan-tich/21290/bsr-bao-cao-cap-nhat-kqkd-q22026.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21290/bsr-bao-cao-cap-nhat-kqkd-q22026.htm,[],https://finance.vietstock.vn/downloadedoc/21290,data\pdf\BSR\VNDS_BSR_2026-07-31_9b79aa3f.pdf,9b79aa3f53c18350f181f6c311f687747962d3ddd0b70af08070d86fd5360fb2,data\extracted\BSR\VNDS_BSR_2026-07-31_9b79aa3f.txt,30105fe433cfe0a67fa806b0fb0ac77e4588d308d72501c243f0f65b338aa235,2,vi,2026-08-16T09:52:58.046055+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:Lọc hóa Dầu Bình Sơn,BSR"", ""ticker_repeated""]"
