report_id,ticker,company_name,title,description,report_type,broker,source_platform,published_at,published_at_raw,analyst,recommendation,recommendation_raw,target_price,target_price_currency,current_price,upside_percent,valuation_methods,source_page_url,canonical_source_url,mirror_urls,pdf_url,local_pdf_path,pdf_hash,extracted_text_path,content_hash,page_count,language,crawled_at,status,validation_notes
mbs_ctg_3b5762c3dc1e,"[""CTG""]",Ngân hàng Thương mại Cổ phần Công Thương Việt Nam,CTG – Analyst meeting: Cập nhật KQKD Q2/2026 và Kế hoạch 2026,,EARNINGS_UPDATE,MBS,CafeF,2026-08-14T00:00:00+07:00,14/08/2026,"[""meeting: Cập nhật KQKD Q2/2026 và Kế hoạch 2026"", ""meeting: Cập nhật KQKD Q2/2026 và Kế"", ""Đinh Công Luyến""]",SELL,BÁN,,VND,,,"[""P_E"", ""P_B""]",https://cafef.vn/du-lieu/report/ctg-analyst-meeting-cap-nhat-kqkd-q22026-va-ke-hoach-2026-6a7fd9d48832906552bfc985.chn,https://cafef.vn/du-lieu/report/ctg-analyst-meeting-cap-nhat-kqkd-q22026-va-ke-hoach-2026-6a7fd9d48832906552bfc985.chn,"[""https://finance.vietstock.vn/bao-cao-phan-tich/21620/ctg-bao-cao-cap-nhat-kqkd-q22026.htm""]",https://cafefnew.mediacdn.vn/Images/Uploaded/DuLieuDownload/PhanTichBaoCao/CTG_20260815101525_b96865692de5415c81ed6174.pdf,data\pdf\CTG\MBS_CTG_2026-08-14_2b90d37c.pdf,2b90d37c4fdaa87b2860a974a9ae7c7e43928252525e27f2674a4a0986630345,data\extracted\CTG\MBS_CTG_2026-08-14_2b90d37c.txt,2e821a28e17ef2d5f9640b61e5081ff43343e398cac0dde9bedb308833356b06,8,vi,2026-08-16T09:53:38.821763+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:VietinBank"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
unknown_ctg_7ce0c99487a7,"[""CTG""]",Ngân hàng Thương mại Cổ phần Công Thương Việt Nam,CTG - Khuyến nghị mua cổ phiếu,,COMPANY_REPORT,,CafeF,2026-08-12T00:00:00+07:00,12/08/2026,[],BUY,MUA,50700.0,VND,28750.0,76.58,"[""P_B""]",https://cafef.vn/du-lieu/report/ctg-khuyen-nghi-mua-co-phieu-6a7fd1118832906552bfc97e.chn,https://cafef.vn/du-lieu/report/ctg-khuyen-nghi-mua-co-phieu-6a7fd1118832906552bfc97e.chn,[],https://cafefnew.mediacdn.vn/Images/Uploaded/DuLieuDownload/PhanTichBaoCao/CTG_20260815093746_19b87ddef2ca4893b977a523.pdf,data\pdf\CTG\UNKNOWN_CTG_2026-08-12_ea038339.pdf,ea038339a4f391d03198b8d1856aa6a4c290b4000567f8b01072fc250d7f3d34,data\extracted\CTG\UNKNOWN_CTG_2026-08-12_ea038339.txt,c6d82a978964d66c429bf85d1d8f01dc00b2d2bc4376ca70e01a7974dd5e9545,27,vi,2026-08-16T09:53:39.744698+07:00,accepted,"[""explicit_exchange_ticker"", ""ticker_title_and_report_evidence"", ""positive_alias:VietinBank,HOSE: CTG,cổ phiếu CTG"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
unknown_ctg_efd6a62663ec,"[""CTG""]",Ngân hàng Thương mại Cổ phần Công Thương Việt Nam,"CTG (Cập nhật Q2-2026): NIM tiếp tục phục hồi, chất lượng tài sản giảm nhẹ song vẫn ở mức tốt",,COMPANY_REPORT,,CafeF,2026-08-05T00:00:00+07:00,05/08/2026,[],,,,VND,,,[],https://cafef.vn/du-lieu/report/ctg-cap-nhat-q22026-nim-tiep-tuc-phuc-hoi-chat-luong-tai-san-giam-nhe-song-van-o-muc-tot-6a7998baa04eaffa8590204c.chn,https://cafef.vn/du-lieu/report/ctg-cap-nhat-q22026-nim-tiep-tuc-phuc-hoi-chat-luong-tai-san-giam-nhe-song-van-o-muc-tot-6a7998baa04eaffa8590204c.chn,[],,,,,,,vi,2026-08-16T09:53:49.639404+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
vnds_ctg_f128217b3e02,"[""CTG""]",Ngân hàng Thương mại Cổ phần Công Thương Việt Nam,CTG - NIM cải thiện thúc đẩy tăng trưởng,,COMPANY_REPORT,VNDS,CafeF,2026-08-04T00:00:00+07:00,04/08/2026,[],BUY,MUA,,VND,,,[],https://cafef.vn/du-lieu/report/ctg-nim-cai-thien-thuc-day-tang-truong-6a7989a1a04eaffa8590201d.chn,https://cafef.vn/du-lieu/report/ctg-nim-cai-thien-thuc-day-tang-truong-6a7989a1a04eaffa8590201d.chn,"[""https://finance.vietstock.vn/bao-cao-phan-tich/21375/ctg-bao-cao-cap-nhat-kqkd-q22026.htm""]",https://cafefnew.mediacdn.vn/Images/Uploaded/DuLieuDownload/PhanTichBaoCao/CTG_20260810151937_2dbc5e8db2af4986a60cd525.pdf,data\pdf\CTG\VNDS_CTG_2026-08-04_0b0af1bf.pdf,0b0af1bf3cdfb673517474d75af7177faa16eb45aa0c203e33096464eeea4ef9,data\extracted\CTG\VNDS_CTG_2026-08-04_0b0af1bf.txt,ffbaf9e8e01ed1e42fb2d78741c4ee3ff2b2f21fbfb3e120f9d1304384657982,2,vi,2026-08-16T09:54:01.026725+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:VietinBank"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
nhsv_ctg_9fa0a37a6cf1,"[""CTG""]",Ngân hàng Thương mại Cổ phần Công Thương Việt Nam,CTG: Báo cáo cập nhật KQKD Q2/2026,,EARNINGS_UPDATE,NHSV,Vietstock Finance,2026-08-05T00:00:00+07:00,05/08/2026,[],BUY,MUA,,VND,,,"[""P_E"", ""P_B""]",https://finance.vietstock.vn/bao-cao-phan-tich/21386/ctg-bao-cao-cap-nhat-kqkd-q22026.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21386/ctg-bao-cao-cap-nhat-kqkd-q22026.htm,[],https://finance.vietstock.vn/downloadedoc/21386,data\pdf\CTG\NHSV_CTG_2026-08-05_40563869.pdf,405638695a4c1de5288423cb6b92968d6e52336d234ed1fae262f92f873d578a,data\extracted\CTG\NHSV_CTG_2026-08-05_40563869.txt,9597d8b0a99b3ca4faf4ff3d3bba1d74e0b01e02fd302f1d03aee463855a0eb0,6,vi,2026-08-16T09:54:02.506705+07:00,accepted,"[""explicit_exchange_ticker"", ""ticker_title_and_report_evidence"", ""positive_alias:HOSE: CTG"", ""ticker_repeated""]"
vix_ctg_4db77cdf97a5,"[""CTG""]",Ngân hàng Thương mại Cổ phần Công Thương Việt Nam,CTG: Báo cáo cập nhật KQKD Q2/2026,,EARNINGS_UPDATE,VIX,Vietstock Finance,2026-08-04T00:00:00+07:00,04/08/2026,"[""Bùi Đức Thảo""]",NEUTRAL,TRUNG LẬP,,VND,,,"[""P_E"", ""P_B""]",https://finance.vietstock.vn/bao-cao-phan-tich/21371/ctg-bao-cao-cap-nhat-kqkd-q22026.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21371/ctg-bao-cao-cap-nhat-kqkd-q22026.htm,[],https://finance.vietstock.vn/downloadedoc/21371,data\pdf\CTG\VIX_CTG_2026-08-04_33469deb.pdf,33469debebc227695015f88dcfdd25cbe1aab61373c6180c736c7141b5808940,data\extracted\CTG\VIX_CTG_2026-08-04_33469deb.txt,72b6d49c51b4db33ac4eeb317c6b452dc51367bb207c432094e17f11b7ea243d,5,vi,2026-08-16T09:54:03.156065+07:00,accepted,"[""explicit_exchange_ticker"", ""ticker_title_and_report_evidence"", ""positive_alias:HOSE: CTG"", ""ticker_repeated""]"
"evs.,jsc_ctg_a160bf656d59","[""CTG""]",Ngân hàng Thương mại Cổ phần Công Thương Việt Nam,"CTG: Khuyến nghị MUA với giá mục tiêu 33,500 đồng/cổ phiếu",,COMPANY_REPORT,"EVS.,JSC",Vietstock Finance,2026-08-03T00:00:00+07:00,03/08/2026,[],BUY,MUA,33500.0,VND,30800.0,11.0,"[""P_E""]",https://finance.vietstock.vn/bao-cao-phan-tich/21347/ctg-khuyen-nghi-mua-voi-gia-muc-tieu-33500-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21347/ctg-khuyen-nghi-mua-voi-gia-muc-tieu-33500-dongco-phieu.htm,[],https://finance.vietstock.vn/downloadedoc/21347,data\pdf\CTG\EVSJSC_CTG_2026-08-03_f87d6719.pdf,f87d67194632c688ecaf690662795327cf711882c9ceb70bb26035f297dbd852,data\extracted\CTG\EVSJSC_CTG_2026-08-03_f87d6719.txt,278cd0460bab1be43fe592c0172d2bd08270c9bee3c759eb2327d05b1d834d91,2,vi,2026-08-16T09:54:03.351003+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated""]"
mbs_ctg_06229ac689b5,"[""CTG""]",Ngân hàng Thương mại Cổ phần Công Thương Việt Nam,"CTG: Khuyến nghị KHẢ QUAN với giá mục tiêu 50,900 đồng/cổ phiếu",,COMPANY_REPORT,MBS,Vietstock Finance,2026-07-07T00:00:00+07:00,07/07/2026,"[""Đinh Công Luyến""]",OUTPERFORM,KHẢ QUAN,50900.0,VND,,,"[""P_E"", ""P_B""]",https://finance.vietstock.vn/bao-cao-phan-tich/21031/ctg-khuyen-nghi-kha-quan-voi-gia-muc-tieu-50900-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21031/ctg-khuyen-nghi-kha-quan-voi-gia-muc-tieu-50900-dongco-phieu.htm,"[""https://cafef.vn/du-lieu/report/ctg-loi-nhuan-kha-quan-tiep-tuc-duoc-cung-co-6a545808a04eaffa85901f0c.chn""]",https://finance.vietstock.vn/downloadedoc/21031,data\pdf\CTG\MBS_CTG_2026-07-07_6a72b3c5.pdf,6a72b3c533131502b455f8f16376ce97b4a8222f14c82b9a89c577cd7f8302c6,data\extracted\CTG\MBS_CTG_2026-07-07_6a72b3c5.txt,3d4d0b28ea329807e8f434b4bad6c0f97556e3a28f569b856c5bb8947f3beb63,12,vi,2026-08-16T09:54:03.713575+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:VietinBank,cổ phiếu CTG"", ""ticker_repeated""]"
vds_ctg_24cffaedd6aa,"[""CTG""]",Ngân hàng Thương mại Cổ phần Công Thương Việt Nam,"CTG: Khuyến nghị MUA với giá mục tiêu 44,800 đồng/cổ phiếu",,COMPANY_REPORT,VDS,Vietstock Finance,2026-06-26T00:00:00+07:00,26/06/2026,[],BUY,MUA,44800.0,VND,,,"[""P_E"", ""P_B""]",https://finance.vietstock.vn/bao-cao-phan-tich/20963/ctg-khuyen-nghi-mua-voi-gia-muc-tieu-44800-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/20963/ctg-khuyen-nghi-mua-voi-gia-muc-tieu-44800-dongco-phieu.htm,[],https://finance.vietstock.vn/downloadedoc/20963,data\pdf\CTG\VDS_CTG_2026-06-26_39bfd692.pdf,39bfd6923a0af3fde5c49db4bd7bc68ce18f4f83231472f64e93f6121d18b77e,data\extracted\CTG\VDS_CTG_2026-06-26_39bfd692.txt,2c557987f486187dca9127db3aa94309638bdc6d8e65f45a719723bff67eeb10,11,vi,2026-08-16T09:54:04.149925+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:VietinBank"", ""ticker_repeated""]"
acbs_ctg_2ef95674fa2b,"[""CTG""]",Ngân hàng Thương mại Cổ phần Công Thương Việt Nam,"CTG: Khuyến nghị MUA với giá mục tiêu 50,000 đồng/cổ phiếu",,COMPANY_REPORT,ACBS,Vietstock Finance,2026-06-09T00:00:00+07:00,09/06/2026,[],BUY,MUA,50000.0,VND,,,"[""P_E"", ""P_B""]",https://finance.vietstock.vn/bao-cao-phan-tich/20708/ctg-khuyen-nghi-mua-voi-gia-muc-tieu-50000-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/20708/ctg-khuyen-nghi-mua-voi-gia-muc-tieu-50000-dongco-phieu.htm,[],https://finance.vietstock.vn/downloadedoc/20708,data\pdf\CTG\ACBS_CTG_2026-06-09_8d7fe7e1.pdf,8d7fe7e19abecedc4a3f373b37d2d9214169299c44c99e7879dbf9176315e8f5,data\extracted\CTG\ACBS_CTG_2026-06-09_8d7fe7e1.txt,c0174d449a84a4f47af0cd03cb4b1dc1a526f4171e05c3e86a34c75b5fa6a365,8,vi,2026-08-16T09:54:04.659763+07:00,accepted,"[""explicit_exchange_ticker"", ""ticker_title_and_report_evidence"", ""positive_alias:HOSE: CTG"", ""ticker_repeated""]"
