report_id,ticker,company_name,title,report_type,broker,source_platform,published_at,published_at_raw,analyst,recommendation,recommendation_raw,target_price,target_price_currency,current_price,upside_percent,valuation_methods,source_page_url,canonical_source_url,mirror_urls,pdf_url,local_pdf_path,pdf_hash,extracted_text_path,content_hash,page_count,language,crawled_at,status,validation_notes
bvs_fpt_fd995223d979,"[""FPT""]",Công ty Cổ phần FPT,"FPT: Khuyến nghị OUTPERFORM với giá mục tiêu 94,500 đồng/cổ phiếu",COMPANY_REPORT,BVS,Vietstock Finance,2026-06-26T00:00:00+07:00,26/06/2026,"[""Trương Sỹ Phú, CFA""]",OUTPERFORM,OUTPERFORM,94500.0,VND,,,"[""DCF"", ""P_E""]",https://finance.vietstock.vn/bao-cao-phan-tich/21030/fpt-khuyen-nghi-outperform-voi-gia-muc-tieu-94500-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21030/fpt-khuyen-nghi-outperform-voi-gia-muc-tieu-94500-dongco-phieu.htm,"[""https://cafef.vn/du-lieu/report/fpt-outperform-chu-dong-dinh-huong-phat-trien-trong-ky-nguyen-ai-6a3f45dcbf4571b053f56411.chn""]",https://finance.vietstock.vn/downloadedoc/21030,data\pdf\FPT\BVS_FPT_2026-06-26_68a230af.pdf,68a230afd7bef1bccc800f5808c87b2c8867d43364bcc156713b83ba95d9ef36,data\extracted\FPT\BVS_FPT_2026-06-26_68a230af.txt,372cb18b9e92dffca7b34c838a0ed44fa34678ca1d440dc4dc4351bfd746b7ac,13,vi,2026-07-29T22:31:43.372974+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:Công ty Cổ phần FPT,cổ phiếu FPT"", ""ticker_repeated""]"
fpts_fpt_36a6a1122150,"[""FPT""]",Công ty Cổ phần FPT,"FPT: Khuyến nghị MUA với giá mục tiêu 95,400 đồng/cổ phiếu",COMPANY_REPORT,FPTS,Vietstock Finance,2026-06-19T00:00:00+07:00,19/06/2026,"[""cơ bản""]",BUY,MUA,95400.0,VND,71500.0,,"[""DCF"", ""P_E"", ""SOTP""]",https://finance.vietstock.vn/bao-cao-phan-tich/20908/fpt-khuyen-nghi-mua-voi-gia-muc-tieu-95400-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/20908/fpt-khuyen-nghi-mua-voi-gia-muc-tieu-95400-dongco-phieu.htm,[],https://finance.vietstock.vn/downloadedoc/20908,data\pdf\FPT\FPTS_FPT_2026-06-19_f31b040e.pdf,f31b040e16015918b9662672035b735696d0ff8f01fab50b17801d2d4a469103,data\extracted\FPT\FPTS_FPT_2026-06-19_f31b040e.txt,137e87f83f0a03fb47ececbcd60497e178cee3b5fe1a140edda9dc661c4a04d1,30,vi,2026-07-29T22:31:48.838839+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:cổ phiếu FPT"", ""ticker_repeated""]"
vietcap_fpt_6118c4ee42aa,"[""FPT""]",Công ty Cổ phần FPT,"FPT: Khuyến nghị MUA với giá mục tiêu 90,300 đồng/cổ phiếu",COMPANY_REPORT,Vietcap,Vietstock Finance,2026-06-12T00:00:00+07:00,12/06/2026,[],BUY,MUA,90300.0,VND,75000.0,,"[""P_E"", ""P_B"", ""EV_EBITDA"", ""SOTP""]",https://finance.vietstock.vn/bao-cao-phan-tich/20806/fpt-khuyen-nghi-mua-voi-gia-muc-tieu-90300-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/20806/fpt-khuyen-nghi-mua-voi-gia-muc-tieu-90300-dongco-phieu.htm,[],https://finance.vietstock.vn/downloadedoc/20806,data\pdf\FPT\Vietcap_FPT_2026-06-12_5c6e13e6.pdf,5c6e13e65cec18d4828ac7a58215a165a8e90ca7b2bf28d9a01e28833f100810,data\extracted\FPT\Vietcap_FPT_2026-06-12_5c6e13e6.txt,d0f4229bd5aab56043b68fb623b8b0872206229661a5eff99c152a1113266c4b,13,vi,2026-07-29T22:31:53.064984+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated""]"
kbsv_fpt_96cec2e9d659,"[""FPT""]",Công ty Cổ phần FPT,"FPT: Khuyến nghị MUA với giá mục tiêu 103,800 đồng/cổ phiếu",COMPANY_REPORT,KBSV,Vietstock Finance,2026-06-08T00:00:00+07:00,08/06/2026,"[""Nguyễn Việt Anh""]",BUY,MUA,103800.0,VND,72900.0,42.4,"[""DCF"", ""P_E"", ""P_B"", ""EV_EBITDA""]",https://finance.vietstock.vn/bao-cao-phan-tich/20690/fpt-khuyen-nghi-mua-voi-gia-muc-tieu-103800-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/20690/fpt-khuyen-nghi-mua-voi-gia-muc-tieu-103800-dongco-phieu.htm,"[""https://cafef.vn/du-lieu/report/fpt-tai-cau-truc-kinh-doanh-mo-ra-co-hoi-moi-6a2ccf046c2160b7b428232a.chn""]",https://finance.vietstock.vn/downloadedoc/20690,data\pdf\FPT\KBSV_FPT_2026-06-08_ceef413e.pdf,ceef413e6674e8b4baf67b3715632c7cbf0d373e6d124feab8ac1e21b3dad07b,data\extracted\FPT\KBSV_FPT_2026-06-08_ceef413e.txt,1484a73ee73a8380822fb7967be7528e2168fd15b2e52bb4b063d8abfe049d53,10,vi,2026-07-29T22:31:56.252526+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:Tập đoàn FPT,cổ phiếu FPT"", ""ticker_repeated""]"
bsc_fpt_44b373145eed,"[""FPT""]",Công ty Cổ phần FPT,"FPT: Khuyến nghị MUA với giá mục tiêu 90,600 đồng/cổ phiếu",COMPANY_REPORT,BSC,Vietstock Finance,2026-05-18T00:00:00+07:00,18/05/2026,[],BUY,MUA,90600.0,VND,,,"[""P_E""]",https://finance.vietstock.vn/bao-cao-phan-tich/20381/fpt-khuyen-nghi-mua-voi-gia-muc-tieu-90600-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/20381/fpt-khuyen-nghi-mua-voi-gia-muc-tieu-90600-dongco-phieu.htm,"[""https://finance.vietstock.vn/bao-cao-phan-tich/21637/fpt-khuyen-nghi-mua-voi-gia-muc-tieu-90600-dongco-phieu.htm""]",https://finance.vietstock.vn/downloadedoc/20381,data\pdf\FPT\BSC_FPT_2026-05-18_ab8fa310.pdf,ab8fa3101db67995c64c53415b7a8e2a7c610b16f44de6aa974f942fd3d33a25,data\extracted\FPT\BSC_FPT_2026-05-18_ab8fa310.txt,6bf9fb1686ffc36d8094186f6cf40d7ef0029df5de185529302e9428a1f9c0a4,8,vi,2026-07-29T22:31:59.645717+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated""]"
unknown_fpt_12b373b625c0,"[""FPT""]",Công ty Cổ phần FPT,FPT – Cân nhắc mua vị thế dài hạn khi giá giảm về vùng hỗ trợ mạnh 60-65,OTHER,VIX,CafeF,2026-07-23T00:00:00+07:00,23/07/2026,[],BUY,MUA,,VND,,,[],https://cafef.vn/du-lieu/report/fpt-can-nhac-mua-vi-the-dai-han-khi-gia-giam-ve-vung-ho-tro-manh-6065-6a66e02ba04eaffa85901f91.chn,https://cafef.vn/du-lieu/report/fpt-can-nhac-mua-vi-the-dai-han-khi-gia-giam-ve-vung-ho-tro-manh-6065-6a66e02ba04eaffa85901f91.chn,[],https://cafefnew.mediacdn.vn/Images/Uploaded/DuLieuDownload/PhanTichBaoCao/FPT_20260727113546_c8ef7971485d42ecb3e336db.pdf,data\pdf\FPT\UNKNOWN_FPT_2026-07-23_148ff8f4.pdf,148ff8f4fc126d96ed491ea7635251f919f0fa8f1debab68dbce0ff6184c05de,data\extracted\FPT\UNKNOWN_FPT_2026-07-23_148ff8f4.txt,fb54877b0fbba00705092ef6a3c2f548459b77ac1a372b0357ebaaf5da079330,5,vi,2026-07-29T22:41:31.852952+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:cổ phiếu FPT"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
unknown_fpt_24b048aacfca,"[""FPT""]",Công ty Cổ phần FPT,Báo cáo phân tích FPT,COMPANY_REPORT,,CafeF,2026-06-05T00:00:00+07:00,05/06/2026,[],OUTPERFORM,KHẢ QUAN,,VND,74800.0,,"[""P_E"", ""P_B"", ""SOTP""]",https://cafef.vn/du-lieu/report/bao-cao-phan-tich-fpt-6a263438d179f392c9052f3b.chn,https://cafef.vn/du-lieu/report/bao-cao-phan-tich-fpt-6a263438d179f392c9052f3b.chn,[],https://cafefnew.mediacdn.vn/Images/Uploaded/DuLieuDownload/PhanTichBaoCao/FPT_20260608101655_23d3ebfc34104526b15bf9ea.pdf,data\pdf\FPT\UNKNOWN_FPT_2026-06-05_1a2b5c8c.pdf,1a2b5c8cd1d5f0ef3fc447b1ec3adb066648cce8dba16309afb2cfb6bae13077,data\extracted\FPT\UNKNOWN_FPT_2026-06-05_1a2b5c8c.txt,9cb6715fb0e8944a6d874b17ec338e841a5514e09b495a86bcb199e0f528b121,41,vi,2026-07-29T22:46:57.314849+07:00,accepted,"[""explicit_exchange_ticker"", ""positive_alias:HOSE: FPT,cổ phiếu FPT"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
unknown_fpt_0db2215faed0,"[""FPT""]",Công ty Cổ phần FPT,FPT - Tăng tỷ trọng - Giá trị hợp đồng ký mới đang có sự phục hồi,COMPANY_REPORT,AGRISECO,CafeF,2026-05-19T00:00:00+07:00,19/05/2026,[],SELL,BÁN,86000.0,VND,,15.0,"[""P_E""]",https://cafef.vn/du-lieu/report/fpt-tang-ty-trong-gia-tri-hop-dong-ky-moi-dang-co-su-phuc-hoi-6a1133ced179f392c9052eaa.chn,https://cafef.vn/du-lieu/report/fpt-tang-ty-trong-gia-tri-hop-dong-ky-moi-dang-co-su-phuc-hoi-6a1133ced179f392c9052eaa.chn,"[""https://finance.vietstock.vn/bao-cao-phan-tich/20387/fpt-khuyen-nghi-tang-ty-trong-voi-gia-muc-tieu-86000-dongco-phieu.htm""]",https://cafefnew.mediacdn.vn/Images/Uploaded/DuLieuDownload/PhanTichBaoCao/FPT_20260523115741_8d34858e61774037a800ac8f.pdf,data\pdf\FPT\UNKNOWN_FPT_2026-05-19_dda3f02d.pdf,dda3f02d11728042ff3bc6ec6dc0f32f37911b539cfa3a7a4154b7807e1155ce,data\extracted\FPT\UNKNOWN_FPT_2026-05-19_dda3f02d.txt,fb014fd2b0ea96f8929ac29700f81bb34e948e0baee8a022c76cfeddbe862777,3,vi,2026-07-29T22:47:21.260244+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:Công ty Cổ phần FPT,cổ phiếu FPT"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
mas_fpt_b9321643d817,"[""FPT""]",Công ty Cổ phần FPT,"FPT: Khuyến nghị MUA với giá mục tiêu 78,000 đồng/cổ phiếu",COMPANY_REPORT,MAS,Vietstock Finance,2026-07-28T00:00:00+07:00,28/07/2026,"[""Nguyễn Thị Kim Ngân""]",BUY,MUA,78000.0,VND,,,"[""P_E"", ""P_B""]",https://finance.vietstock.vn/bao-cao-phan-tich/21257/fpt-khuyen-nghi-mua-voi-gia-muc-tieu-78000-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21257/fpt-khuyen-nghi-mua-voi-gia-muc-tieu-78000-dongco-phieu.htm,"[""https://cafef.vn/du-lieu/report/fpt-mo-rong-thi-truong-gia-tang-gia-tri-6a703bbea04eaffa85901faf.chn""]",https://finance.vietstock.vn/downloadedoc/21257,data\pdf\FPT\MAS_FPT_2026-07-28_4f5c856f.pdf,4f5c856fdf6dbda3b335a95622a309f92bdf5b077341ecc28a8fa759d89c58c2,data\extracted\FPT\MAS_FPT_2026-07-28_4f5c856f.txt,fdb492dae450070726566f4576ad2245a51f336370f873c71a545faa4bfec220,3,vi,2026-08-01T13:50:35.034828+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:Công ty Cổ phần FPT"", ""ticker_repeated""]"
mbs_fpt_25faa377ea5a,"[""FPT""]",Công ty Cổ phần FPT,FPT – Tổng hợp cuộc họp nhà đầu tư,COMPANY_REPORT,MBS,CafeF,2026-08-03T00:00:00+07:00,03/08/2026,[],,,,VND,,,[],https://cafef.vn/du-lieu/report/fpt-tong-hop-cuoc-hop-nha-dau-tu-6a700cd9a04eaffa85901f98.chn,https://cafef.vn/du-lieu/report/fpt-tong-hop-cuoc-hop-nha-dau-tu-6a700cd9a04eaffa85901f98.chn,[],,,,,,,vi,2026-08-16T09:19:44.426430+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
