report_id,ticker,company_name,title,description,report_type,broker,source_platform,published_at,published_at_raw,analyst,recommendation,recommendation_raw,target_price,target_price_currency,current_price,upside_percent,valuation_methods,source_page_url,canonical_source_url,mirror_urls,pdf_url,local_pdf_path,pdf_hash,extracted_text_path,content_hash,page_count,language,crawled_at,status,validation_notes
unknown_gas_35d59c9033b3,"[""GAS""]",Tổng Công ty Khí Việt Nam - Công ty Cổ phần,GAS – Cập nhật KQKD Q2.2026,,EARNINGS_UPDATE,,CafeF,2026-08-06T00:00:00+07:00,06/08/2026,[],,,,VND,,,[],https://cafef.vn/du-lieu/report/gas-cap-nhat-kqkd-q22026-6a7996d4a04eaffa85902047.chn,https://cafef.vn/du-lieu/report/gas-cap-nhat-kqkd-q22026-6a7996d4a04eaffa85902047.chn,[],,,,,,,vi,2026-08-16T09:55:32.963928+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
unknown_gas_ce3bf347e067,"[""GAS""]",Tổng Công ty Khí Việt Nam - Công ty Cổ phần,GAS - Cập nhật kết quả kinh doanh Quý 2 năm 2026,,EARNINGS_UPDATE,,CafeF,2026-08-05T00:00:00+07:00,05/08/2026,[],,,,VND,,,[],https://cafef.vn/du-lieu/report/gas-cap-nhat-ket-qua-kinh-doanh-quy-2-nam-2026-6a799a44a04eaffa85902053.chn,https://cafef.vn/du-lieu/report/gas-cap-nhat-ket-qua-kinh-doanh-quy-2-nam-2026-6a799a44a04eaffa85902053.chn,[],,,,,,,vi,2026-08-16T09:55:50.754928+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
unknown_gas_d26491b2b7d6,"[""GAS""]",Tổng Công ty Khí Việt Nam - Công ty Cổ phần,GAS: Báo cáo cập nhật KQKD Q2/2026,,EARNINGS_UPDATE,,CafeF,2026-08-04T00:00:00+07:00,04/08/2026,[],,,,VND,,,[],https://cafef.vn/du-lieu/report/gas-bao-cao-cap-nhat-kqkd-q22026-6a79961da04eaffa85902044.chn,https://cafef.vn/du-lieu/report/gas-bao-cao-cap-nhat-kqkd-q22026-6a79961da04eaffa85902044.chn,[],,,,,,,vi,2026-08-16T09:57:08.528094+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
tcbs_gas_080794e6e06f,"[""GAS""]",Tổng Công ty Khí Việt Nam - Công ty Cổ phần,GAS: Báo cáo cập nhật KQKD Q2/2026,,EARNINGS_UPDATE,TCBS,Vietstock Finance,2026-08-05T00:00:00+07:00,05/08/2026,[],SELL,BÁN,,VND,,,"[""P_E"", ""P_B""]",https://finance.vietstock.vn/bao-cao-phan-tich/21433/gas-bao-cao-cap-nhat-kqkd-q22026.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21433/gas-bao-cao-cap-nhat-kqkd-q22026.htm,[],https://finance.vietstock.vn/downloadedoc/21433,data\pdf\GAS\TCBS_GAS_2026-08-05_423055dd.pdf,423055dd93d8b31cf15e6d8865d8c3529caab833389743b39765098c4f9a3ad5,data\extracted\GAS\TCBS_GAS_2026-08-05_423055dd.txt,f2303ec67addc6fedefd11486c0ed6809242b8d2e313338f7a1750709f0a6c8e,7,vi,2026-08-16T09:57:15.850098+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:PV GAS,Tổng Công ty Khí Việt Nam"", ""ticker_repeated""]"
beta_gas_3746fa8fc60e,"[""GAS""]",Tổng Công ty Khí Việt Nam - Công ty Cổ phần,GAS: Báo cáo cập nhật KQKD Q2/2026,,EARNINGS_UPDATE,Beta,Vietstock Finance,2026-08-05T00:00:00+07:00,05/08/2026,"[""Lê Nguyên Anh Phương""]",SELL,BÁN,,VND,,,"[""P_E"", ""P_B""]",https://finance.vietstock.vn/bao-cao-phan-tich/21432/gas-bao-cao-cap-nhat-kqkd-q22026.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21432/gas-bao-cao-cap-nhat-kqkd-q22026.htm,"[""https://finance.vietstock.vn/bao-cao-phan-tich/20503/gas-bao-cao-cap-nhat-kqkd-q12026.htm""]",https://finance.vietstock.vn/downloadedoc/21432,data\pdf\GAS\Beta_GAS_2026-08-05_86fd05b5.pdf,86fd05b5b518e53d04d632ed0aba7cbee0c79620f9df3ed6c931a24b09bf509c,data\extracted\GAS\Beta_GAS_2026-08-05_86fd05b5.txt,72009eeafe22e6f77bdde44c5d7e8392cb9d2ebda0f626e2979a41aa6681e2f6,4,vi,2026-08-16T09:57:16.812844+07:00,accepted,"[""explicit_exchange_ticker"", ""ticker_title_and_report_evidence"", ""positive_alias:PV GAS,Tổng Công ty Khí Việt Nam,HOSE: GAS"", ""ticker_repeated""]"
kis_gas_a4b0a9b25c71,"[""GAS""]",Tổng Công ty Khí Việt Nam - Công ty Cổ phần,GAS: Báo cáo cập nhật KQKD Q2/2026,,EARNINGS_UPDATE,KIS,Vietstock Finance,2026-08-04T00:00:00+07:00,04/08/2026,[],SELL,BÁN,,VND,,,[],https://finance.vietstock.vn/bao-cao-phan-tich/21360/gas-bao-cao-cap-nhat-kqkd-q22026.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21360/gas-bao-cao-cap-nhat-kqkd-q22026.htm,[],https://finance.vietstock.vn/downloadedoc/21360,data\pdf\GAS\KIS_GAS_2026-08-04_e546a534.pdf,e546a5340a81eebaa62d08542eb2c2f97e820d50cdc3817ab7076618fe591ffc,data\extracted\GAS\KIS_GAS_2026-08-04_e546a534.txt,cfc5d9f16014199e89969266a5023285b42c22bced0aeeb1e0a3a4c4c56fa38c,5,vi,2026-08-16T09:57:18.744978+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:PV GAS,PetroVietnam Gas"", ""ticker_repeated""]"
vnds_gas_c89b5370d21b,"[""GAS""]",Tổng Công ty Khí Việt Nam - Công ty Cổ phần,GAS - Giá dầu tăng và LNG dẫn dắt tăng trưởng lợi nhuận,,COMPANY_REPORT,VNDS,CafeF,2026-07-22T00:00:00+07:00,22/07/2026,[],,,,VND,,,[],https://cafef.vn/du-lieu/report/gas-gia-dau-tang-va-lng-dan-dat-tang-truong-loi-nhuan-6a66d0e2a04eaffa85901f79.chn,https://cafef.vn/du-lieu/report/gas-gia-dau-tang-va-lng-dan-dat-tang-truong-loi-nhuan-6a66d0e2a04eaffa85901f79.chn,[],,,,,,,vi,2026-08-16T09:57:18.862966+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
vpx_gas_b5e95a0ac3a1,"[""GAS""]",Tổng Công ty Khí Việt Nam - Công ty Cổ phần,GAS: Báo cáo cập nhật KQKD Q2/2026,,EARNINGS_UPDATE,VPX,Vietstock Finance,2026-08-04T00:00:00+07:00,04/08/2026,[],SELL,BÁN,,VND,,,"[""P_E"", ""P_B""]",https://finance.vietstock.vn/bao-cao-phan-tich/21388/gas-bao-cao-cap-nhat-kqkd-q22026.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21388/gas-bao-cao-cap-nhat-kqkd-q22026.htm,[],https://finance.vietstock.vn/downloadedoc/21388,data\pdf\GAS\VPX_GAS_2026-08-04_843109ea.pdf,843109ea0640e279285a9e093c44582651d9362cc0b60e2ff60384586411df60,data\extracted\GAS\VPX_GAS_2026-08-04_843109ea.txt,a10d6241254ceb075b730c0819f2a66f526e77b326e9b2daec72e69a9c5a2c37,3,vi,2026-08-16T09:57:19.939130+07:00,accepted,"[""explicit_exchange_ticker"", ""ticker_title_and_report_evidence"", ""positive_alias:HOSE: GAS"", ""ticker_repeated""]"
acbs_gas_f753074270c5,"[""GAS""]",Tổng Công ty Khí Việt Nam - Công ty Cổ phần,"GAS: Khuyến nghị MUA với giá mục tiêu 99,800 đồng/cổ phiếu",,COMPANY_REPORT,ACBS,Vietstock Finance,2026-08-04T00:00:00+07:00,04/08/2026,[],BUY,MUA,99800.0,VND,,42.0,"[""EV_EBITDA""]",https://finance.vietstock.vn/bao-cao-phan-tich/21380/gas-khuyen-nghi-mua-voi-gia-muc-tieu-99800-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21380/gas-khuyen-nghi-mua-voi-gia-muc-tieu-99800-dongco-phieu.htm,"[""https://finance.vietstock.vn/bao-cao-phan-tich/20748/gas-khuyen-nghi-mua-voi-gia-muc-tieu-102800-dongco-phieu.htm""]",https://finance.vietstock.vn/downloadedoc/21380,data\pdf\GAS\ACBS_GAS_2026-08-04_00963e3b.pdf,00963e3b8c7389784150bfcf1a2e6790b01a284ef7791846681a70290ee34a3c,data\extracted\GAS\ACBS_GAS_2026-08-04_00963e3b.txt,290056364fb7872a275a624e8c3175e619a86259994da3043d44b1594598575a,2,vi,2026-08-16T09:57:19.958123+07:00,accepted,"[""explicit_exchange_ticker"", ""ticker_title_and_report_evidence"", ""positive_alias:Tổng Công ty Khí Việt Nam,HOSE: GAS"", ""ticker_repeated""]"
kbsv_gas_a02789730e07,"[""GAS""]",Tổng Công ty Khí Việt Nam - Công ty Cổ phần,"GAS: Khuyến nghị TRUNG LẬP với giá mục tiêu 83,200 đồng/cổ phiếu",,COMPANY_REPORT,KBSV,Vietstock Finance,2026-06-16T00:00:00+07:00,16/06/2026,"[""Trần Thị Ngọc Quỳnh""]",NEUTRAL,TRUNG LẬP,83200.0,VND,81800.0,1.7,"[""DCF"", ""P_E"", ""P_B"", ""EV_EBITDA""]",https://finance.vietstock.vn/bao-cao-phan-tich/20869/gas-khuyen-nghi-trung-lap-voi-gia-muc-tieu-83200-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/20869/gas-khuyen-nghi-trung-lap-voi-gia-muc-tieu-83200-dongco-phieu.htm,[],https://finance.vietstock.vn/downloadedoc/20869,data\pdf\GAS\KBSV_GAS_2026-06-16_f9e1c96e.pdf,f9e1c96ea22ba89beb424c32d64251f9af3832b3a00bfdbe96026c8954b29b00,data\extracted\GAS\KBSV_GAS_2026-06-16_f9e1c96e.txt,0cd73781c02d58ebafe1deb05f68a40cc31df84b6bb178125014f1ebdfff22bb,12,vi,2026-08-16T09:57:20.726879+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:Tổng Công ty Khí Việt Nam,cổ phiếu GAS"", ""ticker_repeated""]"
