report_id,ticker,company_name,title,description,report_type,broker,source_platform,published_at,published_at_raw,analyst,recommendation,recommendation_raw,target_price,target_price_currency,current_price,upside_percent,valuation_methods,source_page_url,canonical_source_url,mirror_urls,pdf_url,local_pdf_path,pdf_hash,extracted_text_path,content_hash,page_count,language,crawled_at,status,validation_notes
mbs_hdb_673c0e519d0a,"[""HDB""]",Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh,HDB – Analyst meeting: Cập nhật KQKD Q2/2026 và Kế hoạch 2026,,EARNINGS_UPDATE,MBS,CafeF,2026-08-12T00:00:00+07:00,12/08/2026,"[""meeting: Cập nhật KQKD Q2/2026 và Kế hoạch 2026""]",,,,VND,,,[],https://cafef.vn/du-lieu/report/hdb-analyst-meeting-cap-nhat-kqkd-q22026-va-ke-hoach-2026-6a7fda648832906552bfc988.chn,https://cafef.vn/du-lieu/report/hdb-analyst-meeting-cap-nhat-kqkd-q22026-va-ke-hoach-2026-6a7fda648832906552bfc988.chn,[],,,,,,,vi,2026-08-16T10:00:23.437275+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
unknown_hdb_a512800a7582,"[""HDB""]",Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh,HDB - Khuyến nghị tích cực,,COMPANY_REPORT,,CafeF,2026-07-20T00:00:00+07:00,20/07/2026,[],,,,VND,,,[],https://cafef.vn/du-lieu/report/hdb-khuyen-nghi-tich-cuc-6a5d9fd6a04eaffa85901f48.chn,https://cafef.vn/du-lieu/report/hdb-khuyen-nghi-tich-cuc-6a5d9fd6a04eaffa85901f48.chn,[],,,,,,,vi,2026-08-16T10:00:24.200143+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
unknown_hdb_37db0c089671,"[""HDB""]",Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh,"HDB: Khuyến nghị MUA với giá mục tiêu 31,100 đồng/cổ phiếu",,COMPANY_REPORT,,CafeF,2026-07-01T00:00:00+07:00,01/07/2026,[],BUY,MUA,31100.0,VND,,,[],https://cafef.vn/du-lieu/report/hdb-khuyen-nghi-mua-voi-gia-muc-tieu-31100-dongco-phieu-6a4b2f91bf4571b053f5646f.chn,https://cafef.vn/du-lieu/report/hdb-khuyen-nghi-mua-voi-gia-muc-tieu-31100-dongco-phieu-6a4b2f91bf4571b053f5646f.chn,[],,,,,,,vi,2026-08-16T10:01:04.795255+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
nhsv_hdb_c7a5b8a436e7,"[""HDB""]",Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh,"HDB: Khuyến nghị MUA với giá mục tiêu 32,191 đồng/cổ phiếu",,COMPANY_REPORT,NHSV,Vietstock Finance,2026-08-12T00:00:00+07:00,12/08/2026,[],BUY,MUA,32191.0,VND,26450.0,20.0,"[""P_B""]",https://finance.vietstock.vn/bao-cao-phan-tich/21634/hdb-khuyen-nghi-mua-voi-gia-muc-tieu-32191-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21634/hdb-khuyen-nghi-mua-voi-gia-muc-tieu-32191-dongco-phieu.htm,"[""https://finance.vietstock.vn/bao-cao-phan-tich/20437/hdb-bao-cao-cap-nhat-kqkd-q12026.htm""]",https://finance.vietstock.vn/downloadedoc/21634,data\pdf\HDB\NHSV_HDB_2026-08-12_b94dc867.pdf,b94dc8671c2ed055a466a8848dae2ceab437a76beb369e4265f0f138bec43c79,data\extracted\HDB\NHSV_HDB_2026-08-12_b94dc867.txt,fc7c1be992141d1842bc4b2537bde87b36ca077b6feebf8364bdca7bdb5ac68f,11,vi,2026-08-16T10:01:05.850917+07:00,accepted,"[""explicit_exchange_ticker"", ""ticker_title_and_report_evidence"", ""positive_alias:HDBank,HOSE: HDB,cổ phiếu HDB"", ""ticker_repeated""]"
mbs_hdb_aada73c1b655,"[""HDB""]",Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh,HDB: Báo cáo cập nhật KQKD Q2/2026,,EARNINGS_UPDATE,MBS,Vietstock Finance,2026-08-11T00:00:00+07:00,11/08/2026,"[""meeting: Cập nhật KQKD Q2/2026 và Kế"", ""Đinh Công Luyến""]",BUY,MUA,,VND,,,"[""P_E"", ""P_B""]",https://finance.vietstock.vn/bao-cao-phan-tich/21550/hdb-bao-cao-cap-nhat-kqkd-q22026.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21550/hdb-bao-cao-cap-nhat-kqkd-q22026.htm,[],https://finance.vietstock.vn/downloadedoc/21550,data\pdf\HDB\MBS_HDB_2026-08-11_3fd9f4bc.pdf,3fd9f4bcc816ba70344664ee55e24d8488b304139e373313d689f185455e19f4,data\extracted\HDB\MBS_HDB_2026-08-11_3fd9f4bc.txt,65430cdfeb9be1bd21bf5a3d0eda08338e9377a07bfc952d8bc122fe6687b3bf,8,vi,2026-08-16T10:01:06.143823+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:HDBank"", ""ticker_repeated""]"
unknown_hdb_5f281cdd70a8,"[""HDB""]",Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh,HDB - Định giá thúc đẩy nhờ tăng trưởng,,COMPANY_REPORT,SSV,CafeF,2026-06-17T00:00:00+07:00,17/06/2026,"[""s employed by Shinhan Securities Vietnam Co., Ltd. , or a non-US affiliate there"", ""account. For analyst certification and important disclosures, refer to the Compl""]",BUY,MUA,34000.0,VND,,,"[""P_B""]",https://cafef.vn/du-lieu/report/hdb-dinh-gia-thuc-day-nho-tang-truong-6a361a6b6c2160b7b4282399.chn,https://cafef.vn/du-lieu/report/hdb-dinh-gia-thuc-day-nho-tang-truong-6a361a6b6c2160b7b4282399.chn,"[""https://finance.vietstock.vn/bao-cao-phan-tich/20865/hdb-khuyen-nghi-mua-voi-gia-muc-tieu-34000-dongco-phieu.htm""]",https://cafefnew.mediacdn.vn/Images/Uploaded/DuLieuDownload/PhanTichBaoCao/HDB_20260620114310_47da8f4194c4474a8ecdd644.pdf,data\pdf\HDB\UNKNOWN_HDB_2026-06-17_852c1233.pdf,852c12334dde753c4195cede2e40cb80edf5c730702af11616a363181c1a7fcf,data\extracted\HDB\UNKNOWN_HDB_2026-06-17_852c1233.txt,1e80b658482d078eedca2f21710412d61d0704380a6cc0fd86e15db3733a101e,13,vi,2026-08-16T10:01:06.618672+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:HDBank"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
tcbs_hdb_a088c78e257a,"[""HDB""]",Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh,HDB: Báo cáo cập nhật KQKD Q2/2026,,EARNINGS_UPDATE,TCBS,Vietstock Finance,2026-08-11T00:00:00+07:00,11/08/2026,[],BUY,MUA,,VND,,,"[""P_E"", ""P_B""]",https://finance.vietstock.vn/bao-cao-phan-tich/21542/hdb-bao-cao-cap-nhat-kqkd-q22026.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21542/hdb-bao-cao-cap-nhat-kqkd-q22026.htm,[],https://finance.vietstock.vn/downloadedoc/21542,data\pdf\HDB\TCBS_HDB_2026-08-11_402f03db.pdf,402f03db80618b9335cdb0867adbe76ebeac9fcf3f87bc5b551cf06d0c14b209,data\extracted\HDB\TCBS_HDB_2026-08-11_402f03db.txt,0369b122e23e050bbea6a695642026e0c18f94ecb3e40dc4050419dfc88855df,11,vi,2026-08-16T10:01:07.782371+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:HDBank"", ""ticker_repeated""]"
unknown_hdb_1c27871a2a78,"[""HDB""]",Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh,HDB - Tăng trưởng trong thách thức,,COMPANY_REPORT,KAFI,CafeF,2026-06-05T00:00:00+07:00,05/06/2026,[],OUTPERFORM,KHẢ QUAN,32000.0,VND,25500.0,26.0,"[""P_B""]",https://cafef.vn/du-lieu/report/hdb-tang-truong-trong-thach-thuc-6a267449304b419b68c66588.chn,https://cafef.vn/du-lieu/report/hdb-tang-truong-trong-thach-thuc-6a267449304b419b68c66588.chn,"[""https://finance.vietstock.vn/bao-cao-phan-tich/20676/hdb-khuyen-nghi-kha-quan-voi-gia-muc-tieu-32000-dongco-phieu.htm""]",https://cafefnew.mediacdn.vn/Images/Uploaded/DuLieuDownload/PhanTichBaoCao/HDB_20260608145023_e62b75aaa57542a5857a3bbb.pdf,data\pdf\HDB\UNKNOWN_HDB_2026-06-05_db1d2efe.pdf,db1d2efe298034a09cf25c90b603ec6975e87398e0011938315e26b6ac76f6d7,data\extracted\HDB\UNKNOWN_HDB_2026-06-05_db1d2efe.txt,72e9cbbc133cdfc2a2fdab73c2a0e9d413e8f510294f7353866bc7270d5ea74c,6,vi,2026-08-16T10:01:07.812362+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
vnds_hdb_80749c2cac64,"[""HDB""]",Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh,HDB: Báo cáo cập nhật KQKD Q2/2026,,EARNINGS_UPDATE,VNDS,Vietstock Finance,2026-08-03T00:00:00+07:00,03/08/2026,[],SELL,BÁN,,VND,,,[],https://finance.vietstock.vn/bao-cao-phan-tich/21349/hdb-bao-cao-cap-nhat-kqkd-q22026.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21349/hdb-bao-cao-cap-nhat-kqkd-q22026.htm,[],https://finance.vietstock.vn/downloadedoc/21349,data\pdf\HDB\VNDS_HDB_2026-08-03_531920b8.pdf,531920b85571c7973d1701266c39617c72b9fbe0d5c1632e0c864a6d360fd73a,data\extracted\HDB\VNDS_HDB_2026-08-03_531920b8.txt,e4cb9e34df07f237551bc4ae37bfe0871e2df1ecf8fa06ecbf5a3333c6033177,2,vi,2026-08-16T10:01:08.046076+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated""]"
tps_hdb_12c1bd6336a3,"[""HDB""]",Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh,HDB: Báo cáo Phân tích kỹ thuật 17/07/2026,,TECHNICAL_REPORT,TPS,Vietstock Finance,2026-07-17T00:00:00+07:00,17/07/2026,[],ACCUMULATE,TÍCH LŨY,,VND,,,[],https://finance.vietstock.vn/bao-cao-phan-tich/21166/hdb-bao-cao-phan-tich-ky-thuat-17072026.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21166/hdb-bao-cao-phan-tich-ky-thuat-17072026.htm,[],https://finance.vietstock.vn/downloadedoc/21166,data\pdf\HDB\TPS_HDB_2026-07-17_e8f82893.pdf,e8f82893268225147c4ea18281bc6cb89d9b24525b31ed7e2d29308932c36695,data\extracted\HDB\TPS_HDB_2026-07-17_e8f82893.txt,8f2c5fd6e133f2e16cbbb3a754fe2c899b9899a7ccd3152aff6f59fff22885b2,4,vi,2026-08-16T10:01:08.122052+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:cổ phiếu HDB"", ""ticker_repeated""]"
