report_id,ticker,company_name,title,description,report_type,broker,source_platform,published_at,published_at_raw,analyst,recommendation,recommendation_raw,target_price,target_price_currency,current_price,upside_percent,valuation_methods,source_page_url,canonical_source_url,mirror_urls,pdf_url,local_pdf_path,pdf_hash,extracted_text_path,content_hash,page_count,language,crawled_at,status,validation_notes
vix_hpg_aa5bb9ca39ba,"[""HPG""]",Công ty Cổ phần Tập đoàn Hòa Phát,"HPG – Giá giảm về vùng dự kiến 19-20,5, nhưng nên tạm thời theo dõi",,COMPANY_REPORT,VIX,CafeF,2026-07-21T00:00:00+07:00,21/07/2026,[],,,,VND,,,[],https://cafef.vn/du-lieu/report/hpg-gia-giam-ve-vung-du-kien-19205-nhung-nen-tam-thoi-theo-doi-6a66e070a04eaffa85901f92.chn,https://cafef.vn/du-lieu/report/hpg-gia-giam-ve-vung-du-kien-19205-nhung-nen-tam-thoi-theo-doi-6a66e070a04eaffa85901f92.chn,"[""https://cafef.vn/du-lieu/report/hpg-gia-giam-ve-vung-du-kien-19205-nhung-nen-tam-thoi-theo-doi-cap-nhat-6a5dc3ada04eaffa85901f54.chn""]",,,,,,,vi,2026-08-01T13:54:09.848879+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
unknown_hpg_a392063f7782,"[""HPG""]",Công ty Cổ phần Tập đoàn Hòa Phát,"HPG - Định giá hấp dẫn , nền tảng nội tại vững chắc",,COMPANY_REPORT,,CafeF,2026-07-01T00:00:00+07:00,01/07/2026,[],,,,VND,,,[],https://cafef.vn/du-lieu/report/hpg-dinh-gia-hap-dan--nen-tang-noi-tai-vung-chac-6a4b51e5bf4571b053f56483.chn,https://cafef.vn/du-lieu/report/hpg-dinh-gia-hap-dan--nen-tang-noi-tai-vung-chac-6a4b51e5bf4571b053f56483.chn,[],,,,,,,vi,2026-08-01T13:55:00.053780+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
unknown_hpg_31c7cbadf0a7,"[""HPG""]",Công ty Cổ phần Tập đoàn Hòa Phát,"HPG - Dung Quất 2 mở chu kỳ tăng trưởng mới , HRC là biến số định giá",,COMPANY_REPORT,,CafeF,2026-06-30T00:00:00+07:00,30/06/2026,[],,,,VND,,,[],https://cafef.vn/du-lieu/report/hpg-dung-quat-2-mo-chu-ky-tang-truong-moi--hrc-la-bien-so-dinh-gia-6a4b234bbf4571b053f56459.chn,https://cafef.vn/du-lieu/report/hpg-dung-quat-2-mo-chu-ky-tang-truong-moi--hrc-la-bien-so-dinh-gia-6a4b234bbf4571b053f56459.chn,[],,,,,,,vi,2026-08-01T13:55:28.277441+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
unknown_hpg_992b23b39383,"[""HPG""]",Công ty Cổ phần Tập đoàn Hòa Phát,HPG - Sản lượng tiêu thụ trong giai đoạn 2026 – 2028 được hỗ trợ bởi các đại dự án tại thị trường nội địa,,COMPANY_REPORT,,CafeF,2026-06-30T00:00:00+07:00,30/06/2026,[],,,,VND,,,[],https://cafef.vn/du-lieu/report/hpg-san-luong-tieu-thu-trong-giai-doan-2026-2028-duoc-ho-tro-boi-cac-dai-du-an-tai-thi-truong-noi-dia-6a4b4d89bf4571b053f5647c.chn,https://cafef.vn/du-lieu/report/hpg-san-luong-tieu-thu-trong-giai-doan-2026-2028-duoc-ho-tro-boi-cac-dai-du-an-tai-thi-truong-noi-dia-6a4b4d89bf4571b053f5647c.chn,[],,,,,,,vi,2026-08-01T13:56:17.545790+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
unknown_hpg_ffb82c4f9535,"[""HPG""]",Công ty Cổ phần Tập đoàn Hòa Phát,"HPG: Khuyến nghị MUA với giá mục tiêu 30,800 đồng/cổ phiếu",,COMPANY_REPORT,,CafeF,2026-06-17T00:00:00+07:00,17/06/2026,[],BUY,MUA,30800.0,VND,,,[],https://cafef.vn/du-lieu/report/hpg-khuyen-nghi-mua-voi-gia-muc-tieu-30800-dongco-phieu-6a36231e6c2160b7b42823a7.chn,https://cafef.vn/du-lieu/report/hpg-khuyen-nghi-mua-voi-gia-muc-tieu-30800-dongco-phieu-6a36231e6c2160b7b42823a7.chn,[],,,,,,,vi,2026-08-01T13:56:56.381623+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
vpx_hpg_3529602777d4,"[""HPG""]",Công ty Cổ phần Tập đoàn Hòa Phát,"HPG: Khuyến nghị MUA với giá mục tiêu 30,150 đồng/cổ phiếu",,COMPANY_REPORT,VPX,Vietstock Finance,2026-07-03T00:00:00+07:00,03/07/2026,"[""Nguy ễn Dương Tu ấn Minh""]",BUY,MUA,30150.0,VND,,,"[""P_E"", ""P_B"", ""EV_EBITDA""]",https://finance.vietstock.vn/bao-cao-phan-tich/21048/hpg-khuyen-nghi-mua-voi-gia-muc-tieu-30150-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21048/hpg-khuyen-nghi-mua-voi-gia-muc-tieu-30150-dongco-phieu.htm,[],https://finance.vietstock.vn/downloadedoc/21048,data\pdf\HPG\VPX_HPG_2026-07-03_250e5b15.pdf,250e5b1518e0650fefd215d981da75043365ecc5e3b78d6b02b263071d5d585e,data\extracted\HPG\VPX_HPG_2026-07-03_250e5b15.txt,dbb09cf898fdc0ae0a4b5da0cebaa648b58a5e3ecd026559f461c2fd1bea04bb,14,vi,2026-08-01T13:57:23.214634+07:00,accepted,"[""explicit_exchange_ticker"", ""ticker_title_and_report_evidence"", ""positive_alias:Tập đoàn Hòa Phát,Hòa Phát,HOSE: HPG"", ""ticker_repeated""]"
kafi_hpg_aaf8e8a00f9f,"[""HPG""]",Công ty Cổ phần Tập đoàn Hòa Phát,"HPG: Khuyến nghị KHẢ QUAN với giá mục tiêu 30,782 đồng/cổ phiếu",,COMPANY_REPORT,KAFI,Vietstock Finance,2026-07-01T00:00:00+07:00,01/07/2026,[],OUTPERFORM,KHẢ QUAN,30782.0,VND,23300.0,,"[""P_B""]",https://finance.vietstock.vn/bao-cao-phan-tich/21025/hpg-khuyen-nghi-kha-quan-voi-gia-muc-tieu-30782-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21025/hpg-khuyen-nghi-kha-quan-voi-gia-muc-tieu-30782-dongco-phieu.htm,[],https://finance.vietstock.vn/downloadedoc/21025,data\pdf\HPG\KAFI_HPG_2026-07-01_eacf632b.pdf,eacf632b00fde7cfe573ed4a2fbde976715b783d04c9ae72bee1c6e39b2447a6,data\extracted\HPG\KAFI_HPG_2026-07-01_eacf632b.txt,792a3cb16a1024126eeea4e8c54a3989853c560ff176f5de59baa515364a001c,7,vi,2026-08-01T13:57:26.170232+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:Hòa Phát,cổ phiếu HPG"", ""ticker_repeated""]"
vds_hpg_38c1e5f55e17,"[""HPG""]",Công ty Cổ phần Tập đoàn Hòa Phát,"HPG: Khuyến nghị MUA với giá mục tiêu 30,800 đồng/cổ phiếu",,COMPANY_REPORT,VDS,Vietstock Finance,2026-06-15T00:00:00+07:00,15/06/2026,[],BUY,MUA,30800.0,VND,,,"[""DCF"", ""P_E"", ""P_B"", ""EV_EBITDA""]",https://finance.vietstock.vn/bao-cao-phan-tich/20804/hpg-khuyen-nghi-mua-voi-gia-muc-tieu-30800-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/20804/hpg-khuyen-nghi-mua-voi-gia-muc-tieu-30800-dongco-phieu.htm,[],https://finance.vietstock.vn/downloadedoc/20804,data\pdf\HPG\VDS_HPG_2026-06-15_26667166.pdf,26667166a3cdff9963a5eb42dfe5084a9707a45e94419f85ca5a3ebd06031ae5,data\extracted\HPG\VDS_HPG_2026-06-15_26667166.txt,831441b8ff9e3c5aace02d4703008cef98e083d329a3b6ed701af0ad9cf99f9e,10,vi,2026-08-01T13:57:28.387055+07:00,accepted,"[""explicit_exchange_ticker"", ""ticker_title_and_report_evidence"", ""positive_alias:Tập đoàn Hòa Phát,Hòa Phát,HOSE: HPG,cổ phiếu HPG"", ""ticker_repeated""]"
ssv_hpg_f1f117e817d5,"[""HPG""]",Công ty Cổ phần Tập đoàn Hòa Phát,"HPG: Khuyến nghị MUA với giá mục tiêu 34,500 đồng/cổ phiếu",,COMPANY_REPORT,SSV,Vietstock Finance,2026-06-09T00:00:00+07:00,09/06/2026,"[""s employed by Shinhan Securities Vietnam Co., Ltd. , or a non-US affiliate there"", ""s with FINRA, may not be"", ""account. For analyst certification and important disclosures, refer to the Compl""]",BUY,MUA,34500.0,VND,,,"[""DCF"", ""P_E"", ""P_B"", ""EV_EBITDA""]",https://finance.vietstock.vn/bao-cao-phan-tich/20733/hpg-khuyen-nghi-mua-voi-gia-muc-tieu-34500-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/20733/hpg-khuyen-nghi-mua-voi-gia-muc-tieu-34500-dongco-phieu.htm,[],https://finance.vietstock.vn/downloadedoc/20733,data\pdf\HPG\SSV_HPG_2026-06-09_55c8f99d.pdf,55c8f99dd79f43eb32102d514e27267eabae98b033edfa07763037620e759a8a,data\extracted\HPG\SSV_HPG_2026-06-09_55c8f99d.txt,534895d192108d9e7cf9466c22f1b81092103f69273ed6f28e78c20a90e7999a,17,vi,2026-08-01T13:57:31.244182+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:Tập đoàn Hòa Phát,Hòa Phát,cổ phiếu HPG"", ""ticker_repeated""]"
dsc_hpg_929da2c3a862,"[""HPG""]",Công ty Cổ phần Tập đoàn Hòa Phát,"HPG: Khuyến nghị MUA với giá mục tiêu 37,600 đồng/cổ phiếu",,COMPANY_REPORT,DSC,Vietstock Finance,2026-06-02T00:00:00+07:00,02/06/2026,[],BUY,MUA,37600.0,VND,23955.0,57.0,"[""DCF"", ""P_E"", ""P_B""]",https://finance.vietstock.vn/bao-cao-phan-tich/20601/hpg-khuyen-nghi-mua-voi-gia-muc-tieu-37600-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/20601/hpg-khuyen-nghi-mua-voi-gia-muc-tieu-37600-dongco-phieu.htm,[],https://finance.vietstock.vn/downloadedoc/20601,data\pdf\HPG\DSC_HPG_2026-06-02_25ebf13e.pdf,25ebf13e078bc4f29b08b1f8e7956dae88a37e377476f2bc2e6beb552b3e2011,data\extracted\HPG\DSC_HPG_2026-06-02_25ebf13e.txt,d295a197f2d0475694b009440e49c71c0bd17aba1b7e240a5eaedeafbe442c77,5,vi,2026-08-01T13:57:33.485635+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:Tập đoàn Hòa Phát,Hòa Phát"", ""ticker_repeated""]"
