report_id,ticker,company_name,title,description,report_type,broker,source_platform,published_at,published_at_raw,analyst,recommendation,recommendation_raw,target_price,target_price_currency,current_price,upside_percent,valuation_methods,source_page_url,canonical_source_url,mirror_urls,pdf_url,local_pdf_path,pdf_hash,extracted_text_path,content_hash,page_count,language,crawled_at,status,validation_notes
unknown_mbb_f263643832f7,"[""MBB""]",Ngân hàng Thương mại Cổ phần Quân đội,MBB - Cập nhật KQKD Q2.202,,EARNINGS_UPDATE,,CafeF,2026-08-14T00:00:00+07:00,14/08/2026,[],,,,VND,,,[],https://cafef.vn/du-lieu/report/mbb-cap-nhat-kqkd-q2202-6a7fe03d8832906552bfc998.chn,https://cafef.vn/du-lieu/report/mbb-cap-nhat-kqkd-q2202-6a7fe03d8832906552bfc998.chn,[],,,,,,,vi,2026-08-16T10:04:31.683388+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
unknown_mbb_d3ebbc9a2d56,"[""MBB""]",Ngân hàng Thương mại Cổ phần Quân đội,MBB - Cập nhận Analyst Meeting H1 2026,,COMPANY_REPORT,,CafeF,2026-08-10T00:00:00+07:00,10/08/2026,"[""Meeting H1 2026""]",,,,VND,,,[],https://cafef.vn/du-lieu/report/mbb-cap-nhan-analyst-meeting-h1-2026-6a799927a04eaffa8590204d.chn,https://cafef.vn/du-lieu/report/mbb-cap-nhan-analyst-meeting-h1-2026-6a799927a04eaffa8590204d.chn,[],,,,,,,vi,2026-08-16T10:04:31.742402+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
mbs_mbb_0dd7abe7db52,"[""MBB""]",Ngân hàng Thương mại Cổ phần Quân đội,MBB – Analyst meeting: Cập nhật KQKD Q2/2026 và Kế hoạch 2026,,EARNINGS_UPDATE,MBS,CafeF,2026-08-07T00:00:00+07:00,07/08/2026,"[""meeting: Cập nhật KQKD Q2/2026 và Kế hoạch 2026"", ""meeting: Cập nhật KQKD Q2/2026 và Kế"", ""Đinh Công Luyến""]",SELL,BÁN,,VND,,,"[""P_E"", ""P_B""]",https://cafef.vn/du-lieu/report/mbb-analyst-meeting-cap-nhat-kqkd-q22026-va-ke-hoach-2026-6a7945fba04eaffa85901fea.chn,https://cafef.vn/du-lieu/report/mbb-analyst-meeting-cap-nhat-kqkd-q22026-va-ke-hoach-2026-6a7945fba04eaffa85901fea.chn,"[""https://finance.vietstock.vn/bao-cao-phan-tich/21451/mbb-bao-cao-cap-nhat-kqkd-q22026.htm""]",https://cafefnew.mediacdn.vn/Images/Uploaded/DuLieuDownload/PhanTichBaoCao/MBB_20260810103101_90c94a92160c4331a0254160.pdf,data\pdf\MBB\MBS_MBB_2026-08-07_49ec00df.pdf,49ec00dfa5d4a7ee62741c6ffc1fa865a3087ba5c54a752e133aca4bbdf36246,data\extracted\MBB\MBS_MBB_2026-08-07_49ec00df.txt,341534d4ec44794ee8506496be9632514755921ce4db97417a1598f82ad81709,8,vi,2026-08-16T10:04:52.274219+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
vnds_mbb_0be6eec84469,"[""MBB""]",Ngân hàng Thương mại Cổ phần Quân đội,MBB - Lợi nhuận tăng tốc nhờ tín dụng mạnh và dự phòng giảm,,COMPANY_REPORT,VNDS,CafeF,2026-08-03T00:00:00+07:00,03/08/2026,[],BUY,MUA,,VND,,,[],https://cafef.vn/du-lieu/report/mbb-loi-nhuan-tang-toc-nho-tin-dung-manh-va-du-phong-giam-6a70458da04eaffa85901fce.chn,https://cafef.vn/du-lieu/report/mbb-loi-nhuan-tang-toc-nho-tin-dung-manh-va-du-phong-giam-6a70458da04eaffa85901fce.chn,"[""https://finance.vietstock.vn/bao-cao-phan-tich/21352/mbb-bao-cao-cap-nhat-kqkd-q22026.htm""]",https://cafefnew.mediacdn.vn/Images/Uploaded/DuLieuDownload/PhanTichBaoCao/MBB_20260803143842_d18180bd9d744c278bb31825.pdf,data\pdf\MBB\VNDS_MBB_2026-08-03_d0852d16.pdf,d0852d160c5658c954de620909c73b5013ac1155c2c330eb38f26ce571d8dd31,data\extracted\MBB\VNDS_MBB_2026-08-03_d0852d16.txt,b3219ccafc305a51a2a570e51e457e4194c180a2e23e29fe4838ba1d4b8ed08e,2,vi,2026-08-16T10:04:52.289214+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
tps_mbb_06410d3001bd,"[""MBB""]",Ngân hàng Thương mại Cổ phần Quân đội,MBB: Báo cáo Phân tích Kỹ thuật 13/08/2026,,TECHNICAL_REPORT,TPS,Vietstock Finance,2026-08-13T00:00:00+07:00,13/08/2026,[],SELL,BÁN,,VND,,14.91,[],https://finance.vietstock.vn/bao-cao-phan-tich/21585/mbb-bao-cao-phan-tich-ky-thuat-13082026.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21585/mbb-bao-cao-phan-tich-ky-thuat-13082026.htm,[],https://finance.vietstock.vn/downloadedoc/21585,data\pdf\MBB\TPS_MBB_2026-08-13_5a187a57.pdf,5a187a57084f036e90759c2071a4f67957560a9847a5b2c0d41e7bf580ee1d81,data\extracted\MBB\TPS_MBB_2026-08-13_5a187a57.txt,21c47a339b234a2b80d44a8c0bf6e1a5483f6990653b2be8d30b12589ee7e2cb,4,vi,2026-08-16T10:04:54.596845+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:cổ phiếu MBB"", ""ticker_repeated""]"
gtja (vietnam)_mbb_4bddb243df62,"[""MBB""]",Ngân hàng Thương mại Cổ phần Quân đội,"MBB: Khuyến nghị MUA với giá mục tiêu 24,700 đồng/cổ phiếu",,COMPANY_REPORT,GTJA (Vietnam),Vietstock Finance,2026-08-13T00:00:00+07:00,13/08/2026,[],BUY,MUA,24700.0,VND,20450.0,,[],https://finance.vietstock.vn/bao-cao-phan-tich/21629/mbb-khuyen-nghi-mua-voi-gia-muc-tieu-24700-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21629/mbb-khuyen-nghi-mua-voi-gia-muc-tieu-24700-dongco-phieu.htm,[],https://finance.vietstock.vn/downloadedoc/21629,data\pdf\MBB\GTJAVietnam_MBB_2026-08-13_9004487e.pdf,9004487e6d657e5843f766ff4e7b8fb4bd3026822879059cdd8723c3f5b32561,data\extracted\MBB\GTJAVietnam_MBB_2026-08-13_9004487e.txt,a302a4db08099b2f4692abe11bba49bc15673503daf55236235fb84c832e6a54,9,vi,2026-08-16T10:04:54.812775+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:cổ phiếu MBB"", ""ticker_repeated""]"
acbs_mbb_5d5dbb7ef69f,"[""MBB""]",Ngân hàng Thương mại Cổ phần Quân đội,"MBB: Khuyến nghị KHẢ QUAN với giá mục tiêu 27,000 đồng/cổ phiếu",,COMPANY_REPORT,ACBS,Vietstock Finance,2026-08-10T00:00:00+07:00,10/08/2026,[],OUTPERFORM,KHẢ QUAN,27000.0,VND,,,"[""P_E"", ""P_B""]",https://finance.vietstock.vn/bao-cao-phan-tich/21524/mbb-khuyen-nghi-kha-quan-voi-gia-muc-tieu-27000-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21524/mbb-khuyen-nghi-kha-quan-voi-gia-muc-tieu-27000-dongco-phieu.htm,[],https://finance.vietstock.vn/downloadedoc/21524,data\pdf\MBB\ACBS_MBB_2026-08-10_d77c60bb.pdf,d77c60bb707b2dee84e5850f96aa4605ca9e0f45c779a5f276c4456854e0fe2b,data\extracted\MBB\ACBS_MBB_2026-08-10_d77c60bb.txt,555482d8c50aaf0f5f085266c7a1654e8c30ffeb923fd63915216805cb004d7d,6,vi,2026-08-16T10:04:55.850096+07:00,accepted,"[""explicit_exchange_ticker"", ""ticker_title_and_report_evidence"", ""positive_alias:HOSE: MBB"", ""ticker_repeated""]"
ssv_mbb_e84748203e13,"[""MBB""]",Ngân hàng Thương mại Cổ phần Quân đội,"MBB: Khuyến nghị MUA với giá mục tiêu 26,300 đồng/cổ phiếu",,COMPANY_REPORT,SSV,Vietstock Finance,2026-08-12T00:00:00+07:00,12/08/2026,"[""s employed by Shinhan Securities Vietnam Co., Ltd. , or a non-US affiliate there"", ""account. For analyst certification and important disclosures, refer to the Compl""]",BUY,MUA,26300.0,VND,,,"[""P_E"", ""P_B""]",https://finance.vietstock.vn/bao-cao-phan-tich/21563/mbb-khuyen-nghi-mua-voi-gia-muc-tieu-26300-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21563/mbb-khuyen-nghi-mua-voi-gia-muc-tieu-26300-dongco-phieu.htm,[],https://finance.vietstock.vn/downloadedoc/21563,data\pdf\MBB\SSV_MBB_2026-08-12_4f7be997.pdf,4f7be99705712de667886b2ab2b65b7daf5b143f0abab153e6560a02cad8b7a7,data\extracted\MBB\SSV_MBB_2026-08-12_4f7be997.txt,75908731b79e878a545121e1dfd8638e7b840b3c13074155db01a0dc2196b81a,10,vi,2026-08-16T10:04:56.946636+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:MB Bank"", ""ticker_repeated""]"
bsc_mbb_7640dc97d4d3,"[""MBB""]",Ngân hàng Thương mại Cổ phần Quân đội,"MBB: Khuyến nghị MUA với giá mục tiêu 32,400 đồng/cổ phiếu",,COMPANY_REPORT,BSC,Vietstock Finance,2026-07-31T00:00:00+07:00,31/07/2026,[],BUY,MUA,32400.0,VND,,44.0,"[""P_B""]",https://finance.vietstock.vn/bao-cao-phan-tich/21321/mbb-khuyen-nghi-mua-voi-gia-muc-tieu-32400-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21321/mbb-khuyen-nghi-mua-voi-gia-muc-tieu-32400-dongco-phieu.htm,"[""https://finance.vietstock.vn/bao-cao-phan-tich/20931/mbb-khuyen-nghi-mua-voi-gia-muc-tieu-32900-dongco-phieu.htm"", ""https://cafef.vn/du-lieu/report/mbb-khuyen-nghi-mua-voi-gia-muc-tieu-32400-dongco-phieu-6a79941aa04eaffa8590203e.chn""]",https://finance.vietstock.vn/downloadedoc/21321,data\pdf\MBB\BSC_MBB_2026-07-31_7f63bc9b.pdf,7f63bc9b097379297981f900384fa5cefb2dc0e26aa894f78d5a776ea2126ea4,data\extracted\MBB\BSC_MBB_2026-07-31_7f63bc9b.txt,3bcc702f3838584f72af9636b4f5893f7cb4b8eb3b29cba7b953a01b2beaf930,3,vi,2026-08-16T10:04:58.043196+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated""]"
"evs.,jsc_mbb_497aa89ba5e0","[""MBB""]",Ngân hàng Thương mại Cổ phần Quân đội,"MBB: Khuyến nghị MUA với giá mục tiêu 28,000 đồng/cổ phiếu",,COMPANY_REPORT,"EVS.,JSC",Vietstock Finance,2026-07-06T00:00:00+07:00,06/07/2026,[],BUY,MUA,28000.0,VND,25600.0,10.0,"[""P_E""]",https://finance.vietstock.vn/bao-cao-phan-tich/21037/mbb-khuyen-nghi-mua-voi-gia-muc-tieu-28000-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21037/mbb-khuyen-nghi-mua-voi-gia-muc-tieu-28000-dongco-phieu.htm,[],https://finance.vietstock.vn/downloadedoc/21037,data\pdf\MBB\EVSJSC_MBB_2026-07-06_0d421a3e.pdf,0d421a3ead1072eb922386bebd2fa2c42fc6a95860c3d29d8a39dd5ddeee8bad,data\extracted\MBB\EVSJSC_MBB_2026-07-06_0d421a3e.txt,bb7dc587b43a632077e49093b350fe1fb2c776f6cdf2b6bc06145f7143ac941c,2,vi,2026-08-16T10:04:58.253915+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated""]"
