report_id,ticker,company_name,title,description,report_type,broker,source_platform,published_at,published_at_raw,analyst,recommendation,recommendation_raw,target_price,target_price_currency,current_price,upside_percent,valuation_methods,source_page_url,canonical_source_url,mirror_urls,pdf_url,local_pdf_path,pdf_hash,extracted_text_path,content_hash,page_count,language,crawled_at,status,validation_notes
unknown_msn_6b480bf8de38,"[""MSN""]",Công ty Cổ phần Tập đoàn Masan,Báo cáo cổ phiếu MSN (MUA– Giá mục tiêu: 79.100 đ/cp) – Triển vọng tích cực nhờ mảng bán lẻ tăng trưởng và nhu cầu & giá vonfram duy trì ở mức cao,,COMPANY_REPORT,,CafeF,2026-07-31T00:00:00+07:00,31/07/2026,[],BUY,MUA,79100.0,VND,,,[],https://cafef.vn/du-lieu/report/bao-cao-co-phieu-msn-mua-gia-muc-tieu-79100-dcp-trien-vong-tich-cuc-nho-mang-ban-le-tang-truong-va-nhu-cau--gia-vonfram-duy-tri-o-muc-cao-6a7005dea04eaffa85901f96.chn,https://cafef.vn/du-lieu/report/bao-cao-co-phieu-msn-mua-gia-muc-tieu-79100-dcp-trien-vong-tich-cuc-nho-mang-ban-le-tang-truong-va-nhu-cau--gia-vonfram-duy-tri-o-muc-cao-6a7005dea04eaffa85901f96.chn,[],,,,,,,vi,2026-08-16T10:09:43.136924+07:00,accepted,"[""positive_alias:cổ phiếu MSN"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
unknown_msn_a28ada6d5151,"[""MSN""]",Công ty Cổ phần Tập đoàn Masan,"MSN - Tăng tỷ trọng - Tăng trưởng đều ở tất cả các mảng kinh doanh cốt lõi, MSR là động lực đột biến",,COMPANY_REPORT,,CafeF,2026-08-07T00:00:00+07:00,07/08/2026,[],,,,VND,,,[],https://cafef.vn/du-lieu/report/msn-tang-ty-trong-tang-truong-deu-o-tat-ca-cac-mang-kinh-doanh-cot-loi-msr-la-dong-luc-dot-bien-6a798583a04eaffa85902016.chn,https://cafef.vn/du-lieu/report/msn-tang-ty-trong-tang-truong-deu-o-tat-ca-cac-mang-kinh-doanh-cot-loi-msr-la-dong-luc-dot-bien-6a798583a04eaffa85902016.chn,[],,,,,,,vi,2026-08-16T10:09:43.243889+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
ssi_msn_4b2fbf02729e,"[""MSN""]",Công ty Cổ phần Tập đoàn Masan,"MSN (MUA, Giá mục tiêu: 101.000 Đồng/cp): Tăng trưởng lợi nhuận duy trì tích cực; mảng ngoài cốt lõi và tối ưu cơ cấu vốn là động lực bổ sung",,COMPANY_REPORT,SSI,CafeF,2026-06-18T00:00:00+07:00,18/06/2026,[],BUY,MUA,101000.0,VND,,,"[""P_E"", ""P_B"", ""EV_EBITDA"", ""SOTP""]",https://cafef.vn/du-lieu/report/msn-mua-gia-muc-tieu-101000-dongcp-tang-truong-loi-nhuan-duy-tri-tich-cuc-mang-ngoai-cot-loi-va-toi-uu-co-cau-von-la-dong-luc-bo-sung-6a3609be6c2160b7b4282383.chn,https://cafef.vn/du-lieu/report/msn-mua-gia-muc-tieu-101000-dongcp-tang-truong-loi-nhuan-duy-tri-tich-cuc-mang-ngoai-cot-loi-va-toi-uu-co-cau-von-la-dong-luc-bo-sung-6a3609be6c2160b7b4282383.chn,"[""https://finance.vietstock.vn/bao-cao-phan-tich/20847/msn-khuyen-nghi-mua-voi-gia-muc-tieu-101000-dongco-phieu.htm""]",https://cafefnew.mediacdn.vn/Images/Uploaded/DuLieuDownload/PhanTichBaoCao/MSN_20260620103153_59bae6b2d5584038a1acdb00.pdf,data\pdf\MSN\SSI_MSN_2026-06-18_3eab5f4b.pdf,3eab5f4b45cf7b81367179f0d7976705fb52ef9095df528a0c34afa2135afaa2,data\extracted\MSN\SSI_MSN_2026-06-18_3eab5f4b.txt,86d33422034be2060ed99980c1722362ac2b2e094117bb42325f919076ba60cf,8,vi,2026-08-16T10:10:04.793783+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:Tập đoàn Masan,Masan"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
vcbs_msn_9b71b736ac32,"[""MSN""]",Công ty Cổ phần Tập đoàn Masan,MSN: Báo cáo Phân tích Kỹ thuật 12/08/2026,,TECHNICAL_REPORT,VCBS,Vietstock Finance,2026-08-12T00:00:00+07:00,12/08/2026,"[""Nguyễn Phương Nga"", ""npnga@vcbs.com.vn""]",BUY,MUA,730.0,VND,,,"[""P_E"", ""P_B""]",https://finance.vietstock.vn/bao-cao-phan-tich/21579/msn-bao-cao-phan-tich-ky-thuat-12082026.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21579/msn-bao-cao-phan-tich-ky-thuat-12082026.htm,[],https://finance.vietstock.vn/downloadedoc/21579,data\pdf\MSN\VCBS_MSN_2026-08-12_ab6bf85a.pdf,ab6bf85ac1da66975953d6843a7a2207b53828086f53f6cac67a5052a3726148,data\extracted\MSN\VCBS_MSN_2026-08-12_ab6bf85a.txt,534b399ee68969ad3fb7d38eb9b9404bb02c38c87a2bb579e794dc0c4f2df399,2,vi,2026-08-16T10:10:08.193972+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:Tập đoàn Masan,Masan,cổ phiếu MSN"", ""ticker_repeated""]"
tcbs_msn_b20f353f784a,"[""MSN""]",Công ty Cổ phần Tập đoàn Masan,MSN: Báo cáo cập nhật KQKD Q2/2026,,EARNINGS_UPDATE,TCBS,Vietstock Finance,2026-08-11T00:00:00+07:00,11/08/2026,[],SELL,BÁN,,VND,,,"[""P_E"", ""P_B"", ""EV_EBITDA""]",https://finance.vietstock.vn/bao-cao-phan-tich/21607/msn-bao-cao-cap-nhat-kqkd-q22026.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21607/msn-bao-cao-cap-nhat-kqkd-q22026.htm,[],https://finance.vietstock.vn/downloadedoc/21607,data\pdf\MSN\TCBS_MSN_2026-08-11_a6be3af5.pdf,a6be3af593b1e4fb147604a50ba06eb05d099a66577b11881eb693f4c55f110d,data\extracted\MSN\TCBS_MSN_2026-08-11_a6be3af5.txt,3dd0fa4916839c1f7d728d8a3131ca5a8d17308fcf091b7bd0890535f2593d3a,8,vi,2026-08-16T10:10:11.822392+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:Tập đoàn Masan,Masan Group,Masan"", ""ticker_repeated""]"
agriseco_msn_11624bb14114,"[""MSN""]",Công ty Cổ phần Tập đoàn Masan,"MSN: Khuyến nghị TĂNG TỶ TRỌNG với giá mục tiêu 75,000 đồng/cổ phiếu",,COMPANY_REPORT,AGRISECO,Vietstock Finance,2026-08-07T00:00:00+07:00,07/08/2026,[],SELL,BÁN,75000.0,VND,,11.2,"[""P_E""]",https://finance.vietstock.vn/bao-cao-phan-tich/21446/msn-khuyen-nghi-tang-ty-trong-voi-gia-muc-tieu-75000-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21446/msn-khuyen-nghi-tang-ty-trong-voi-gia-muc-tieu-75000-dongco-phieu.htm,[],https://finance.vietstock.vn/downloadedoc/21446,data\pdf\MSN\AGRISECO_MSN_2026-08-07_20421d83.pdf,20421d83cca80b2ad0920e6c6d394685e1dd9133def6bb08bba80a4ab867a435,data\extracted\MSN\AGRISECO_MSN_2026-08-07_20421d83.txt,cdb70aeed374c8f543400c5ab9cd4699415d27e3996080cca023d0e50912fe7f,3,vi,2026-08-16T10:10:12.995870+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:Masan"", ""ticker_repeated""]"
unknown_msn_edb9d6eec3be,"[""MSN""]",Công ty Cổ phần Tập đoàn Masan,"MSN - Hưởng lợi giá vonfram, WinRural tăng độ phủ",,COMPANY_REPORT,,CafeF,2026-06-19T00:00:00+07:00,19/06/2026,[],,,,VND,,,[],https://cafef.vn/du-lieu/report/msn-huong-loi-gia-vonfram-winrural-tang-do-phu-6a36074d6c2160b7b428237f.chn,https://cafef.vn/du-lieu/report/msn-huong-loi-gia-vonfram-winrural-tang-do-phu-6a36074d6c2160b7b428237f.chn,[],,,,,,,vi,2026-08-16T10:10:13.809101+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
abs_msn_0bfd7351d26d,"[""MSN""]",Công ty Cổ phần Tập đoàn Masan,"MSN: Khuyến nghị MUA với giá mục tiêu 79,100 đồng/cổ phiếu",,COMPANY_REPORT,ABS,Vietstock Finance,2026-07-31T00:00:00+07:00,31/07/2026,[],BUY,MUA,79100.0,VND,,16.5,"[""P_E"", ""P_B"", ""EV_EBITDA"", ""SOTP""]",https://finance.vietstock.vn/bao-cao-phan-tich/21318/msn-khuyen-nghi-mua-voi-gia-muc-tieu-79100-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21318/msn-khuyen-nghi-mua-voi-gia-muc-tieu-79100-dongco-phieu.htm,"[""https://finance.vietstock.vn/bao-cao-phan-tich/20479/msn-khuyen-nghi-mua-voi-gia-muc-tieu-91200-dongco-phieu.htm""]",https://finance.vietstock.vn/downloadedoc/21318,data\pdf\MSN\ABS_MSN_2026-07-31_d364960b.pdf,d364960b97ea2e0baa0131d7a25c3907a58c3dd46d1e2ac1a12813a167a5c476,data\extracted\MSN\ABS_MSN_2026-07-31_d364960b.txt,ccf1fc12af49d4ed586cbc7e4abb45cf6d545dfa51125d6df6429ab66ea22468,8,vi,2026-08-16T10:10:13.994042+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:Tập đoàn Masan,Masan"", ""ticker_repeated""]"
acbs_msn_5241ee4a5527,"[""MSN""]",Công ty Cổ phần Tập đoàn Masan,MSN: Báo cáo cập nhật KQKD Q2/2026,,EARNINGS_UPDATE,ACBS,Vietstock Finance,2026-07-29T00:00:00+07:00,29/07/2026,[],SELL,BÁN,,VND,,,[],https://finance.vietstock.vn/bao-cao-phan-tich/21251/msn-bao-cao-cap-nhat-kqkd-q22026.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21251/msn-bao-cao-cap-nhat-kqkd-q22026.htm,[],https://finance.vietstock.vn/downloadedoc/21251,data\pdf\MSN\ACBS_MSN_2026-07-29_5b83ebba.pdf,5b83ebba42f3176ed3b0fcb39868c203b0e8002cf397000b52768a8ed8efa2d2,data\extracted\MSN\ACBS_MSN_2026-07-29_5b83ebba.txt,ff3a6c6dc6d819471b8d4cae37bce6852a248f978e1c9b2fb51f3789009f4cb8,3,vi,2026-08-16T10:10:14.992169+07:00,accepted,"[""explicit_exchange_ticker"", ""ticker_title_and_report_evidence"", ""positive_alias:Tập đoàn Masan,Masan,HOSE: MSN"", ""ticker_repeated""]"
vds_msn_1e59e025bcea,"[""MSN""]",Công ty Cổ phần Tập đoàn Masan,"MSN: Khuyến nghị MUA với giá mục tiêu 98,600 đồng/cổ phiếu",,COMPANY_REPORT,VDS,Vietstock Finance,2026-06-29T00:00:00+07:00,29/06/2026,[],BUY,MUA,98600.0,VND,,,"[""DCF"", ""P_E"", ""P_B"", ""EV_EBITDA"", ""SOTP"", ""RNAV""]",https://finance.vietstock.vn/bao-cao-phan-tich/20990/msn-khuyen-nghi-mua-voi-gia-muc-tieu-98600-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/20990/msn-khuyen-nghi-mua-voi-gia-muc-tieu-98600-dongco-phieu.htm,[],https://finance.vietstock.vn/downloadedoc/20990,data\pdf\MSN\VDS_MSN_2026-06-29_45f35ecb.pdf,45f35ecbf59718ed7e1d3761a72836dc956d5319da3a3d0e2b924c97792ee58b,data\extracted\MSN\VDS_MSN_2026-06-29_45f35ecb.txt,12a2d0bfb3fdede62d24331dec719fbc5e92dbdf7d151490785e5ec62464988a,12,vi,2026-08-16T10:10:16.029507+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:Tập đoàn Masan,Masan,cổ phiếu MSN"", ""ticker_repeated""]"
