report_id,ticker,company_name,title,description,report_type,broker,source_platform,published_at,published_at_raw,analyst,recommendation,recommendation_raw,target_price,target_price_currency,current_price,upside_percent,valuation_methods,source_page_url,canonical_source_url,mirror_urls,pdf_url,local_pdf_path,pdf_hash,extracted_text_path,content_hash,page_count,language,crawled_at,status,validation_notes
unknown_mwg_a89255f43f0a,"[""MWG""]",Công ty Cổ phần Đầu tư Thế Giới Di Động,MWG_Báo cáo cập nhật KQKD,,EARNINGS_UPDATE,SHS,CafeF,2026-08-13T00:00:00+07:00,13/08/2026,"[""Lê Thu Huyền""]",SELL,BÁN,12.0,VND,,,"[""DCF"", ""P_E"", ""P_B"", ""EV_EBITDA""]",https://cafef.vn/du-lieu/report/mwgbao-cao-cap-nhat-kqkd-6a7fdb6c8832906552bfc98b.chn,https://cafef.vn/du-lieu/report/mwgbao-cao-cap-nhat-kqkd-6a7fdb6c8832906552bfc98b.chn,"[""https://finance.vietstock.vn/bao-cao-phan-tich/21597/mwg-khuyen-nghi-tang-ty-trong-voi-gia-muc-tieu-99000-dongco-phieu.htm""]",https://cafefnew.mediacdn.vn/Images/Uploaded/DuLieuDownload/PhanTichBaoCao/MWG_20260815102218_754cca7d809941e6a331644b.pdf,data\pdf\MWG\UNKNOWN_MWG_2026-08-13_9b67045b.pdf,9b67045b6ef8060be4893f964a30ab81b8df96f183e34f85ab94d6635a758d96,data\extracted\MWG\UNKNOWN_MWG_2026-08-13_9b67045b.txt,1615e6a8180467b51fd23217ea120aac0f383b903dc33922f6f08af9b28a9c51,8,vi,2026-08-16T10:10:56.981115+07:00,accepted,"[""positive_alias:Thế Giới Di Động,cổ phiếu MWG"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
unknown_mwg_6ac1734318c4,"[""MWG""]",Công ty Cổ phần Đầu tư Thế Giới Di Động,[-MWG/MUA- Liên tục xác lập mức lợi nhuận kỷ lục,,COMPANY_REPORT,SSV,CafeF,2026-08-05T00:00:00+07:00,05/08/2026,"[""s employed by Shinhan Securities Vietnam Co., Ltd. , or a non-US affiliate there"", ""s with FINRA, may not be associated"", ""account. For analyst certification and important disclosures, refer to the Compl""]",BUY,MUA,107300.0,VND,,,"[""P_E"", ""P_B"", ""EV_EBITDA""]",https://cafef.vn/du-lieu/report/mwgmualien-tuc-xac-lap-muc-loi-nhuan-ky-luc-6a798ff9a04eaffa85902035.chn,https://cafef.vn/du-lieu/report/mwgmualien-tuc-xac-lap-muc-loi-nhuan-ky-luc-6a798ff9a04eaffa85902035.chn,"[""https://finance.vietstock.vn/bao-cao-phan-tich/21390/mwg-khuyen-nghi-mua-voi-gia-muc-tieu-107300-dongco-phieu.htm""]",https://cafefnew.mediacdn.vn/Images/Uploaded/DuLieuDownload/PhanTichBaoCao/MWG_20260810154636_f7659b7ce0654a00865732aa.pdf,data\pdf\MWG\UNKNOWN_MWG_2026-08-05_b86dc1e2.pdf,b86dc1e226248d1e3095ad53a281797bb8a171d72f2793a8f0f16cbae5009d95,data\extracted\MWG\UNKNOWN_MWG_2026-08-05_b86dc1e2.txt,fde15cc16362dad7fa2db187299fbe66559cbdebf1738a82f16b7758342b5d00,12,vi,2026-08-16T10:11:02.739146+07:00,accepted,"[""positive_alias:Thế Giới Di Động,Mobile World,cổ phiếu MWG"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
unknown_mwg_7d8b6e4a4bd6,"[""MWG""]",Công ty Cổ phần Đầu tư Thế Giới Di Động,Báo cáo cổ phiếu MWG (MUA– Giá mục tiêu: 83.900 đ/cp) – Cải thiện hiệu suất và mở mới hiệu quả thúc đẩy tăng trưởng lợi nhuận,,COMPANY_REPORT,,CafeF,2026-08-05T00:00:00+07:00,05/08/2026,[],BUY,MUA,83900.0,VND,,,[],https://cafef.vn/du-lieu/report/bao-cao-co-phieu-mwg-mua-gia-muc-tieu-83900-dcp-cai-thien-hieu-suat-va-mo-moi-hieu-qua-thuc-day-tang-truong-loi-nhuan-6a7939ffa04eaffa85901fe3.chn,https://cafef.vn/du-lieu/report/bao-cao-co-phieu-mwg-mua-gia-muc-tieu-83900-dcp-cai-thien-hieu-suat-va-mo-moi-hieu-qua-thuc-day-tang-truong-loi-nhuan-6a7939ffa04eaffa85901fe3.chn,[],,,,,,,vi,2026-08-16T10:11:27.671372+07:00,accepted,"[""positive_alias:cổ phiếu MWG"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
vnds_mwg_5f88a21e2eb6,"[""MWG""]",Công ty Cổ phần Đầu tư Thế Giới Di Động,MWG - Tình trạng thiếu chip & gói trả chậm hỗ trợ doanh số,,COMPANY_REPORT,VNDS,CafeF,2026-07-02T00:00:00+07:00,02/07/2026,[],,,,VND,,,[],https://cafef.vn/du-lieu/report/mwg-tinh-trang-thieu-chip--goi-tra-cham-ho-tro-doanh-so-6a4b29edbf4571b053f56466.chn,https://cafef.vn/du-lieu/report/mwg-tinh-trang-thieu-chip--goi-tra-cham-ho-tro-doanh-so-6a4b29edbf4571b053f56466.chn,[],,,,,,,vi,2026-08-16T10:13:16.825452+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
agriseco_mwg_d279a3d6283c,"[""MWG""]",Công ty Cổ phần Đầu tư Thế Giới Di Động,"MWG: Khuyến nghị TĂNG TỶ TRỌNG với giá mục tiêu 85,000 đồng/cổ phiếu",,COMPANY_REPORT,AGRISECO,Vietstock Finance,2026-08-14T00:00:00+07:00,14/08/2026,[],SELL,BÁN,85000.0,VND,,17.0,"[""P_E"", ""P_B""]",https://finance.vietstock.vn/bao-cao-phan-tich/21623/mwg-khuyen-nghi-tang-ty-trong-voi-gia-muc-tieu-85000-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21623/mwg-khuyen-nghi-tang-ty-trong-voi-gia-muc-tieu-85000-dongco-phieu.htm,"[""https://finance.vietstock.vn/bao-cao-phan-tich/20490/mwg-khuyen-nghi-tang-ty-trong-voi-gia-muc-tieu-95000-dongco-phieu.htm""]",https://finance.vietstock.vn/downloadedoc/21623,data\pdf\MWG\AGRISECO_MWG_2026-08-14_274124c5.pdf,274124c5a1f6977a7cb3ff374a83e75f90988a74fcdd23caee23060b69dd35f8,data\extracted\MWG\AGRISECO_MWG_2026-08-14_274124c5.txt,bc834e4321a900a59ff11efd2e3156ebf90d428bbf23537efb3a2acf028065ad,3,vi,2026-08-16T10:13:18.045171+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:Thế Giới Di Động,cổ phiếu MWG"", ""ticker_repeated""]"
kis_mwg_f66e7d1b8cf9,"[""MWG""]",Công ty Cổ phần Đầu tư Thế Giới Di Động,MWG: Báo cáo cập nhật KQKD Q2/2026,,EARNINGS_UPDATE,KIS,Vietstock Finance,2026-08-13T00:00:00+07:00,13/08/2026,[],SELL,BÁN,,VND,,,"[""EV_EBITDA""]",https://finance.vietstock.vn/bao-cao-phan-tich/21625/mwg-bao-cao-cap-nhat-kqkd-q22026.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21625/mwg-bao-cao-cap-nhat-kqkd-q22026.htm,"[""https://finance.vietstock.vn/bao-cao-phan-tich/20527/mwg-bao-cao-cap-nhat-kqkd-q12026.htm""]",https://finance.vietstock.vn/downloadedoc/21625,data\pdf\MWG\KIS_MWG_2026-08-13_6a563c0c.pdf,6a563c0c26923cd0169c6cbf08707b407b9526e2cd87550beff5a46d9837290c,data\extracted\MWG\KIS_MWG_2026-08-13_6a563c0c.txt,217f56b465c3af946a1976264afc5546786aedfe63a33e8641b445d559e81041,7,vi,2026-08-16T10:13:18.762049+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:Thế Giới Di Động"", ""ticker_repeated""]"
dsc_mwg_28c825664579,"[""MWG""]",Công ty Cổ phần Đầu tư Thế Giới Di Động,"MWG: Khuyến nghị MUA với giá mục tiêu 106,000 đồng/cổ phiếu",,COMPANY_REPORT,DSC,Vietstock Finance,2026-08-11T00:00:00+07:00,11/08/2026,[],BUY,MUA,106000.0,VND,73000.0,,"[""P_E"", ""P_B""]",https://finance.vietstock.vn/bao-cao-phan-tich/21592/mwg-khuyen-nghi-mua-voi-gia-muc-tieu-106000-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21592/mwg-khuyen-nghi-mua-voi-gia-muc-tieu-106000-dongco-phieu.htm,"[""https://finance.vietstock.vn/bao-cao-phan-tich/20710/mwg-khuyen-nghi-mua-voi-gia-muc-tieu-117000-dongco-phieu.htm""]",https://finance.vietstock.vn/downloadedoc/21592,data\pdf\MWG\DSC_MWG_2026-08-11_90443ca8.pdf,90443ca8c7c4491ef8bef317e250f45ba6492c6365b695cf8fea831ef7ccff8e,data\extracted\MWG\DSC_MWG_2026-08-11_90443ca8.txt,8c16e8766aa3850ba2973eef66ddf27903ede9dfbdb77230c2f9fa748f938050,5,vi,2026-08-16T10:13:19.996259+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:Thế Giới Di Động"", ""ticker_repeated""]"
abs_mwg_fa57879f1692,"[""MWG""]",Công ty Cổ phần Đầu tư Thế Giới Di Động,"MWG: Khuyến nghị MUA với giá mục tiêu 83,900 đồng/cổ phiếu",,COMPANY_REPORT,ABS,Vietstock Finance,2026-08-05T00:00:00+07:00,05/08/2026,[],BUY,MUA,83900.0,VND,,16.4,"[""DCF"", ""P_E"", ""P_B"", ""EV_EBITDA"", ""SOTP""]",https://finance.vietstock.vn/bao-cao-phan-tich/21393/mwg-khuyen-nghi-mua-voi-gia-muc-tieu-83900-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21393/mwg-khuyen-nghi-mua-voi-gia-muc-tieu-83900-dongco-phieu.htm,[],https://finance.vietstock.vn/downloadedoc/21393,data\pdf\MWG\ABS_MWG_2026-08-05_1bfc86ec.pdf,1bfc86ecaa441ff2337c8cf333430633d0e817f55adab5ce5f640dfacd8da3b5,data\extracted\MWG\ABS_MWG_2026-08-05_1bfc86ec.txt,886879e5b67cc74b360d463e6bced18704b1c9a8ee704cc0e3b30507322d525e,8,vi,2026-08-16T10:13:20.545084+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:Thế Giới Di Động"", ""ticker_repeated""]"
kafi_mwg_d72f117352ba,"[""MWG""]",Công ty Cổ phần Đầu tư Thế Giới Di Động,"MWG: Khuyến nghị KHẢ QUAN với giá mục tiêu 93,725 đồng/cổ phiếu",,COMPANY_REPORT,KAFI,Vietstock Finance,2026-07-14T00:00:00+07:00,14/07/2026,[],OUTPERFORM,KHẢ QUAN,93725.0,VND,76000.0,,"[""P_E""]",https://finance.vietstock.vn/bao-cao-phan-tich/21131/mwg-khuyen-nghi-kha-quan-voi-gia-muc-tieu-93725-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21131/mwg-khuyen-nghi-kha-quan-voi-gia-muc-tieu-93725-dongco-phieu.htm,[],https://finance.vietstock.vn/downloadedoc/21131,data\pdf\MWG\KAFI_MWG_2026-07-14_b280d900.pdf,b280d900d30266049be25cdcdcfbc0430192ef1b490082cde7d1ce0cf2696eaf,data\extracted\MWG\KAFI_MWG_2026-07-14_b280d900.txt,4789411cc01a229e9a16688afd182d943a7b51291bf8f5bf6f1c10654b6f73bb,6,vi,2026-08-16T10:13:21.595631+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:cổ phiếu MWG"", ""ticker_repeated""]"
vnds_mwg_48f5c61ebd98,"[""MWG""]",Công ty Cổ phần Đầu tư Thế Giới Di Động,"MWG: Khuyến nghị KHẢ QUAN với giá mục tiêu 114,600 đồng/cổ phiếu",,COMPANY_REPORT,VNDS,Vietstock Finance,2026-06-29T00:00:00+07:00,29/06/2026,[],OUTPERFORM,KHẢ QUAN,114600.0,VND,79000.0,45.0,"[""DCF"", ""P_E"", ""P_B"", ""SOTP""]",https://finance.vietstock.vn/bao-cao-phan-tich/20992/mwg-khuyen-nghi-kha-quan-voi-gia-muc-tieu-114600-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/20992/mwg-khuyen-nghi-kha-quan-voi-gia-muc-tieu-114600-dongco-phieu.htm,[],https://finance.vietstock.vn/downloadedoc/20992,data\pdf\MWG\VNDS_MWG_2026-06-29_d9d7a88d.pdf,d9d7a88dc9f549a30636742a03b58652b93e3fc085b57d3742f520335529c93f,data\extracted\MWG\VNDS_MWG_2026-06-29_d9d7a88d.txt,502afe40948f3271de0a89c141f59fae20a8170fd8815c76a30aaf6d2cf88956,12,vi,2026-08-16T10:13:21.769222+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:Thế Giới Di Động,cổ phiếu MWG"", ""ticker_repeated""]"
