report_id,ticker,company_name,title,description,report_type,broker,source_platform,published_at,published_at_raw,analyst,recommendation,recommendation_raw,target_price,target_price_currency,current_price,upside_percent,valuation_methods,source_page_url,canonical_source_url,mirror_urls,pdf_url,local_pdf_path,pdf_hash,extracted_text_path,content_hash,page_count,language,crawled_at,status,validation_notes
unknown_sab_854ac3566143,"[""SAB""]",Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Sài Gòn,"SAB: Khuyến nghị TÍCH LŨY với giá mục tiêu 55,000 đồng/cổ phiếu",,COMPANY_REPORT,,CafeF,2026-06-17T00:00:00+07:00,17/06/2026,[],ACCUMULATE,TÍCH LŨY,55000.0,VND,,,[],https://cafef.vn/du-lieu/report/sab-khuyen-nghi-tich-luy-voi-gia-muc-tieu-55000-dongco-phieu-6a3622896c2160b7b42823a3.chn,https://cafef.vn/du-lieu/report/sab-khuyen-nghi-tich-luy-voi-gia-muc-tieu-55000-dongco-phieu-6a3622896c2160b7b42823a3.chn,[],,,,,,,vi,2026-08-16T10:15:02.802726+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
unknown_sab_eb6e61d8d432,"[""SAB""]",Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Sài Gòn,SAB (Q1/2026): Đón chào mùa World Cup,,COMPANY_REPORT,,CafeF,2026-06-18T00:00:00+07:00,18/06/2026,[],,,,VND,,,[],https://cafef.vn/du-lieu/report/sab-q12026-don-chao-mua-world-cup-6a360f0f6c2160b7b4282393.chn,https://cafef.vn/du-lieu/report/sab-q12026-don-chao-mua-world-cup-6a360f0f6c2160b7b4282393.chn,[],,,,,,,vi,2026-08-16T10:15:23.313345+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
unknown_sab_4cf20571f0ab,"[""SAB""]",Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Sài Gòn,SAB - Chi phí bán hàng tăng gây áp lực lên lợi nhuận,,COMPANY_REPORT,,CafeF,2026-07-31T00:00:00+07:00,31/07/2026,[],SELL,BÁN,,VND,,,[],https://cafef.vn/du-lieu/report/sab-chi-phi-ban-hang-tang-gay-ap-luc-len-loi-nhuan-6a703c68a04eaffa85901fb3.chn,https://cafef.vn/du-lieu/report/sab-chi-phi-ban-hang-tang-gay-ap-luc-len-loi-nhuan-6a703c68a04eaffa85901fb3.chn,[],,,,,,,vi,2026-08-16T10:15:23.314345+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
unknown_sab_b1d3d367dc8c,"[""SAB""]",Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Sài Gòn,SAB - Duy trì tỷ lệ cổ tức hấp dẫn,,COMPANY_REPORT,,CafeF,2026-05-12T00:00:00+07:00,12/05/2026,[],,,,VND,,,[],https://cafef.vn/du-lieu/report/sab-duy-tri-ty-le-co-tuc-hap-dan-6a06df580c16ac472bbb2d91.chn,https://cafef.vn/du-lieu/report/sab-duy-tri-ty-le-co-tuc-hap-dan-6a06df580c16ac472bbb2d91.chn,[],,,,,,,vi,2026-08-16T10:16:06.695661+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
unknown_sab_014af4c13daf,"[""SAB""]",Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Sài Gòn,Phân tích cổ phiếu SAB,,COMPANY_REPORT,VikkiBankS,CafeF,2026-06-11T00:00:00+07:00,11/06/2026,"[""Mai Trung Nghĩa""]",OUTPERFORM,KHẢ QUAN,52000.0,VND,48750.0,,"[""P_E"", ""P_B""]",https://cafef.vn/du-lieu/report/phan-tich-co-phieu-sab-6a2ccd2e6c2160b7b4282321.chn,https://cafef.vn/du-lieu/report/phan-tich-co-phieu-sab-6a2ccd2e6c2160b7b4282321.chn,"[""https://finance.vietstock.vn/bao-cao-phan-tich/20753/sab-bao-cao-phan-tich-ky-thuat-11062026.htm""]",https://cafefnew.mediacdn.vn/Images/Uploaded/DuLieuDownload/PhanTichBaoCao/SAB_20260613102316_ec81fd8d3fd04169b41c389e.pdf,data\pdf\SAB\UNKNOWN_SAB_2026-06-11_6b31aa45.pdf,6b31aa4513f84369992874bafbbcc74e9f0c63b5f4adf7a293be7975003910e5,data\extracted\SAB\UNKNOWN_SAB_2026-06-11_6b31aa45.txt,0ba31ee7ed1ef7a7b22bf355788ce23a2914da9ddfc1ffbff913122444f8e9da,4,vi,2026-08-16T10:16:06.845971+07:00,accepted,"[""explicit_exchange_ticker"", ""positive_alias:HOSE: SAB,cổ phiếu SAB"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
vcbs_sab_7907aa146059,"[""SAB""]",Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Sài Gòn,SAB - Tiêu thị bia kỳ vọng được cải thiện,,COMPANY_REPORT,VCBS,CafeF,2026-06-09T00:00:00+07:00,09/06/2026,"[""Giang Đặng Ánh Phương""]",NEUTRAL,TRUNG LẬP,5060.0,VND,,7.7,"[""P_E"", ""P_B""]",https://cafef.vn/du-lieu/report/sab-tieu-thi-bia-ky-vong-duoc-cai-thien-6a2cd1876c2160b7b428232f.chn,https://cafef.vn/du-lieu/report/sab-tieu-thi-bia-ky-vong-duoc-cai-thien-6a2cd1876c2160b7b428232f.chn,[],https://cafefnew.mediacdn.vn/Images/Uploaded/DuLieuDownload/PhanTichBaoCao/SAB_20260613104150_e28848e1b25c48a5a13f036e.pdf,data\pdf\SAB\VCBS_SAB_2026-06-09_cc98e8a4.pdf,cc98e8a40f06dd8fedf87dc8e3306272a37d8f66ac351fe6cc6502b251670b96,data\extracted\SAB\VCBS_SAB_2026-06-09_cc98e8a4.txt,7ac3bfb0c59fe4dbb8a67a84bebea30ca84ce481e1d16b965a3fccc74bf68f58,13,vi,2026-08-16T10:16:08.043189+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
vnds_sab_110f6540d892,"[""SAB""]",Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Sài Gòn,"SAB: Khuyến nghị KHẢ QUAN với giá mục tiêu 54,600 đồng/cổ phiếu",,COMPANY_REPORT,VNDS,Vietstock Finance,2026-08-12T00:00:00+07:00,12/08/2026,"[""Đào Hồng Anh""]",OUTPERFORM,KHẢ QUAN,54600.0,VND,45650.0,19.6,"[""DCF"", ""P_E"", ""P_B""]",https://finance.vietstock.vn/bao-cao-phan-tich/21580/sab-khuyen-nghi-kha-quan-voi-gia-muc-tieu-54600-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21580/sab-khuyen-nghi-kha-quan-voi-gia-muc-tieu-54600-dongco-phieu.htm,[],https://finance.vietstock.vn/downloadedoc/21580,data\pdf\SAB\VNDS_SAB_2026-08-12_19424278.pdf,19424278dd89ab4a3a43499b3ad3fa3125496cfeccca891f011812cc29170ca0,data\extracted\SAB\VNDS_SAB_2026-08-12_19424278.txt,02cb8cad2382b44995b4aeff3097d2feeca2bf6688b141b7e4c2b649cd0e13bf,20,vi,2026-08-16T10:16:08.295370+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:Sabeco"", ""ticker_repeated""]"
ssv_sab_fda179d30c53,"[""SAB""]",Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Sài Gòn,"SAB: Khuyến nghị MUA với giá mục tiêu 60,400 đồng/cổ phiếu",,COMPANY_REPORT,SSV,Vietstock Finance,2026-08-11T00:00:00+07:00,11/08/2026,"[""s employed by Shinhan Securities Vietnam Co., Ltd. , or a non-US affiliate there"", ""s with FINRA, may not be"", ""account. For analyst certification and important disclosures, refer to the Compl""]",BUY,MUA,60400.0,VND,,31.0,"[""DCF"", ""P_E"", ""EV_EBITDA""]",https://finance.vietstock.vn/bao-cao-phan-tich/21533/sab-khuyen-nghi-mua-voi-gia-muc-tieu-60400-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21533/sab-khuyen-nghi-mua-voi-gia-muc-tieu-60400-dongco-phieu.htm,[],https://finance.vietstock.vn/downloadedoc/21533,data\pdf\SAB\SSV_SAB_2026-08-11_29c358e5.pdf,29c358e5ef3275498a8c91b1250ada4a46d6369110236bfc936bdcdfc86f8b12,data\extracted\SAB\SSV_SAB_2026-08-11_29c358e5.txt,96b1ac470dbb850179c0dfcecc843dce977b3c77d71d9bfc14143023e7241a34,15,vi,2026-08-16T10:16:08.853248+07:00,accepted,"[""explicit_exchange_ticker"", ""ticker_title_and_report_evidence"", ""positive_alias:Sabeco,HOSE: SAB"", ""ticker_repeated""]"
mas_sab_2d2106a7fad0,"[""SAB""]",Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Sài Gòn,"SAB: Khuyến nghị TĂNG TỶ TRỌNG với giá mục tiêu 48,500 đồng/cổ phiếu",,COMPANY_REPORT,MAS,Vietstock Finance,2026-07-31T00:00:00+07:00,31/07/2026,"[""certifications and important disclosures & disclaimers in Appendix 1 at the end""]",SELL,BÁN,48500.0,VND,,,"[""P_E"", ""P_B""]",https://finance.vietstock.vn/bao-cao-phan-tich/21314/sab-khuyen-nghi-tang-ty-trong-voi-gia-muc-tieu-48500-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21314/sab-khuyen-nghi-tang-ty-trong-voi-gia-muc-tieu-48500-dongco-phieu.htm,[],https://finance.vietstock.vn/downloadedoc/21314,data\pdf\SAB\MAS_SAB_2026-07-31_cb2500b8.pdf,cb2500b8d41db97930116b364e4344400167dc3c4229c6f6bc1d22e2d0e702c2,data\extracted\SAB\MAS_SAB_2026-07-31_cb2500b8.txt,05410076aea781677481a33f890224543fee74f62fd77ffb43daf9d2f3d9a36c,7,vi,2026-08-16T10:16:09.113259+07:00,accepted,"[""explicit_exchange_ticker"", ""ticker_title_and_report_evidence"", ""positive_alias:Saigon Beer,HOSE: SAB,cổ phiếu SAB"", ""ticker_repeated""]"
dsc_sab_af87aa7db411,"[""SAB""]",Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Sài Gòn,"SAB: Khuyến nghị THEO DÕI với giá mục tiêu 48,500 đồng/cổ phiếu",,COMPANY_REPORT,DSC,Vietstock Finance,2026-08-06T00:00:00+07:00,06/08/2026,[],SELL,BÁN,48500.0,VND,45100.0,,"[""P_E""]",https://finance.vietstock.vn/bao-cao-phan-tich/21418/sab-khuyen-nghi-theo-doi-voi-gia-muc-tieu-48500-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21418/sab-khuyen-nghi-theo-doi-voi-gia-muc-tieu-48500-dongco-phieu.htm,"[""https://finance.vietstock.vn/bao-cao-phan-tich/20856/sab-khuyen-nghi-theo-doi-voi-gia-muc-tieu-53000-dongco-phieu.htm""]",https://finance.vietstock.vn/downloadedoc/21418,data\pdf\SAB\DSC_SAB_2026-08-06_371026ed.pdf,371026edde6a5f8012b3ea94ac6fcfb3663a75ed21f61c05f72bc6032ac480e4,data\extracted\SAB\DSC_SAB_2026-08-06_371026ed.txt,d17f7f53829d6c30fc7dea9660b61143ec0f33cf190bbe41e71b1a47fafa5fc1,5,vi,2026-08-16T10:16:09.480240+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:Sabeco,cổ phiếu SAB"", ""ticker_repeated""]"
