report_id,ticker,company_name,title,description,report_type,broker,source_platform,published_at,published_at_raw,analyst,recommendation,recommendation_raw,target_price,target_price_currency,current_price,upside_percent,valuation_methods,source_page_url,canonical_source_url,mirror_urls,pdf_url,local_pdf_path,pdf_hash,extracted_text_path,content_hash,page_count,language,crawled_at,status,validation_notes
vix_tcb_27296e8235a1,"[""TCB""]",Ngân hàng Thương mại Cổ phần Kỹ Thương Việt Nam,TCB – Cập nhật KQKD Q2/2026,,EARNINGS_UPDATE,VIX,CafeF,2026-07-24T00:00:00+07:00,24/07/2026,[],,,,VND,,,[],https://cafef.vn/du-lieu/report/tcb-cap-nhat-kqkd-q22026-6a66fc08a04eaffa85901f93.chn,https://cafef.vn/du-lieu/report/tcb-cap-nhat-kqkd-q22026-6a66fc08a04eaffa85901f93.chn,[],,,,,,,vi,2026-08-16T10:25:56.505072+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
ssv_tcb_7d1a1ddc1698,"[""TCB""]",Ngân hàng Thương mại Cổ phần Kỹ Thương Việt Nam,"TCB: Khuyến nghị MUA với giá mục tiêu 42,000 đồng/cổ phiếu",,COMPANY_REPORT,SSV,Vietstock Finance,2026-08-12T00:00:00+07:00,12/08/2026,"[""s employed by Shinhan Securities Vietnam Co., Ltd. , or a non-US affiliate there"", ""account. For analyst certification and important disclosures, refer to the Compl""]",BUY,MUA,42000.0,VND,,,"[""P_E"", ""P_B""]",https://finance.vietstock.vn/bao-cao-phan-tich/21564/tcb-khuyen-nghi-mua-voi-gia-muc-tieu-42000-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21564/tcb-khuyen-nghi-mua-voi-gia-muc-tieu-42000-dongco-phieu.htm,[],https://finance.vietstock.vn/downloadedoc/21564,data\pdf\TCB\SSV_TCB_2026-08-12_d83c7e48.pdf,d83c7e48cfe036ebd8efa1f80961a6e175eabdd79633e7c1a6a9c229d1735f85,data\extracted\TCB\SSV_TCB_2026-08-12_d83c7e48.txt,bf56cf266e89c5cffed45d0e0c6c5b207a5c3cbb53cf6c410a1d065aed1daf9a,11,vi,2026-08-16T10:25:58.301181+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:Techcombank,cổ phiếu TCB"", ""ticker_repeated""]"
vpx_tcb_27150fc87e55,"[""TCB""]",Ngân hàng Thương mại Cổ phần Kỹ Thương Việt Nam,TCB: Báo cáo cập nhật KQKD Q2/2026,,EARNINGS_UPDATE,VPX,Vietstock Finance,2026-08-07T00:00:00+07:00,07/08/2026,"[""Hà Thu Hi ền""]",,,,VND,,34.9,"[""P_E"", ""P_B""]",https://finance.vietstock.vn/bao-cao-phan-tich/21467/tcb-bao-cao-cap-nhat-kqkd-q22026.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21467/tcb-bao-cao-cap-nhat-kqkd-q22026.htm,[],https://finance.vietstock.vn/downloadedoc/21467,data\pdf\TCB\VPX_TCB_2026-08-07_c1fde16c.pdf,c1fde16c54e749bfa074126c294514c5ae27ad9908904d1fdb22a545034644e9,data\extracted\TCB\VPX_TCB_2026-08-07_c1fde16c.txt,945ad91406590f068afc65866e59ee0292ae0af7fea32770020eae649abcbc4e,3,vi,2026-08-16T10:25:58.873397+07:00,accepted,"[""explicit_exchange_ticker"", ""ticker_title_and_report_evidence"", ""positive_alias:Techcombank,HOSE: TCB"", ""ticker_repeated""]"
vfs_tcb_b0ab54124e3e,"[""TCB""]",Ngân hàng Thương mại Cổ phần Kỹ Thương Việt Nam,TCB: Báo cáo cập nhật KQKD Q2/2026,,EARNINGS_UPDATE,VFS,Vietstock Finance,2026-08-06T00:00:00+07:00,06/08/2026,[],SELL,BÁN,,VND,29200.0,,"[""P_E"", ""P_B""]",https://finance.vietstock.vn/bao-cao-phan-tich/21423/tcb-bao-cao-cap-nhat-kqkd-q22026.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21423/tcb-bao-cao-cap-nhat-kqkd-q22026.htm,[],https://finance.vietstock.vn/downloadedoc/21423,data\pdf\TCB\VFS_TCB_2026-08-06_6c83c2dd.pdf,6c83c2ddb680ccb277308eeb2b23f460a0ed98c7ceff7bbd55d1e175233f7eac,data\extracted\TCB\VFS_TCB_2026-08-06_6c83c2dd.txt,08499b85245a05a66d7cfc7f0782c26b3891bc26caf5ec728e6e34202c7e461f,3,vi,2026-08-16T10:25:59.167302+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated""]"
gtja (vietnam)_tcb_fcaff6e845bf,"[""TCB""]",Ngân hàng Thương mại Cổ phần Kỹ Thương Việt Nam,"TCB: Khuyến nghị NẮM GIỮ với giá mục tiêu 33,100 đồng/cổ phiếU",,COMPANY_REPORT,GTJA (Vietnam),Vietstock Finance,2026-07-31T00:00:00+07:00,31/07/2026,[],HOLD,NẮM GIỮ,33100.0,VND,,13.0,[],https://finance.vietstock.vn/bao-cao-phan-tich/21313/tcb-khuyen-nghi-nam-giu-voi-gia-muc-tieu-33100-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21313/tcb-khuyen-nghi-nam-giu-voi-gia-muc-tieu-33100-dongco-phieu.htm,[],https://finance.vietstock.vn/downloadedoc/21313,data\pdf\TCB\GTJAVietnam_TCB_2026-07-31_7f4fdbc8.pdf,7f4fdbc805ad3628d39ce95c26bc6bdef2aba8ed054c031131b7648932bf43a6,data\extracted\TCB\GTJAVietnam_TCB_2026-07-31_7f4fdbc8.txt,6fd6d9c62ac4dd6526a37d0e02f3d19eebd46fe07062847ed737e089ec32b66d,8,vi,2026-08-16T10:26:00.529794+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated""]"
agriseco_tcb_0c35a3850e8f,"[""TCB""]",Ngân hàng Thương mại Cổ phần Kỹ Thương Việt Nam,"TCB: Khuyến nghị TĂNG TỶ TRỌNG với giá mục tiêu 32,000 đồng/cổ phiếu",,COMPANY_REPORT,AGRISECO,Vietstock Finance,2026-07-28T00:00:00+07:00,28/07/2026,[],SELL,BÁN,32000.0,VND,,16.0,"[""P_B""]",https://finance.vietstock.vn/bao-cao-phan-tich/21252/tcb-khuyen-nghi-tang-ty-trong-voi-gia-muc-tieu-32000-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21252/tcb-khuyen-nghi-tang-ty-trong-voi-gia-muc-tieu-32000-dongco-phieu.htm,[],https://finance.vietstock.vn/downloadedoc/21252,data\pdf\TCB\AGRISECO_TCB_2026-07-28_775f9bef.pdf,775f9bef41572169bafcb98fcaccb028fe12635ecb753753690d928b5593cc6e,data\extracted\TCB\AGRISECO_TCB_2026-07-28_775f9bef.txt,ecc7151f1de3584e14d12ab30fc9e88c7c307e1647e6f09ed162bbbc435db5e2,3,vi,2026-08-16T10:26:01.533522+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:Techcombank"", ""ticker_repeated""]"
beta_tcb_48c8cdda0cdd,"[""TCB""]",Ngân hàng Thương mại Cổ phần Kỹ Thương Việt Nam,TCB: Báo cáo cập nhật KQKD Q2/2026,,EARNINGS_UPDATE,Beta,Vietstock Finance,2026-07-24T00:00:00+07:00,24/07/2026,"[""Hồ Tấn Phát""]",BUY,MUA,42100.0,VND,28600.0,,"[""P_E"", ""P_B""]",https://finance.vietstock.vn/bao-cao-phan-tich/21233/tcb-bao-cao-cap-nhat-kqkd-q22026.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21233/tcb-bao-cao-cap-nhat-kqkd-q22026.htm,"[""https://finance.vietstock.vn/bao-cao-phan-tich/20648/tcb-bao-cao-cap-nhat-kqkd-q12026.htm""]",https://finance.vietstock.vn/downloadedoc/21233,data\pdf\TCB\Beta_TCB_2026-07-24_f37599b9.pdf,f37599b95515c10e3f18c7a35cce56d98a91e2d66853551cee2ab88c4022e97f,data\extracted\TCB\Beta_TCB_2026-07-24_f37599b9.txt,5ef608935b402167daad548c7db34a019d204688edf6aaded658e78dd950a7b8,6,vi,2026-08-16T10:26:02.563025+07:00,accepted,"[""explicit_exchange_ticker"", ""ticker_title_and_report_evidence"", ""positive_alias:HOSE: TCB,cổ phiếu TCB"", ""ticker_repeated""]"
nhsv_tcb_d9bd3dbb9b6a,"[""TCB""]",Ngân hàng Thương mại Cổ phần Kỹ Thương Việt Nam,TCB: Báo cáo cập nhật KQKD Q2/2026,,EARNINGS_UPDATE,NHSV,Vietstock Finance,2026-07-24T00:00:00+07:00,24/07/2026,[],OUTPERFORM,KHẢ QUAN,,VND,,,"[""P_E"", ""P_B""]",https://finance.vietstock.vn/bao-cao-phan-tich/21228/tcb-bao-cao-cap-nhat-kqkd-q22026.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21228/tcb-bao-cao-cap-nhat-kqkd-q22026.htm,[],https://finance.vietstock.vn/downloadedoc/21228,data\pdf\TCB\NHSV_TCB_2026-07-24_16404c8a.pdf,16404c8ad7858ca1f1b0001f64fc5a7a13d17234b2e89d2967f97186e5119ba2,data\extracted\TCB\NHSV_TCB_2026-07-24_16404c8a.txt,af3b272eb48f7d4dfde208f9dda5bed8d81edfd97b92e896eb01a55f530e0e35,6,vi,2026-08-16T10:26:04.919517+07:00,accepted,"[""explicit_exchange_ticker"", ""ticker_title_and_report_evidence"", ""positive_alias:HOSE: TCB"", ""ticker_repeated""]"
acbs_tcb_a8706fff3ab9,"[""TCB""]",Ngân hàng Thương mại Cổ phần Kỹ Thương Việt Nam,"TCB: Khuyến nghị MUA với giá mục tiêu 37,700 đồng/cổ phiếu",,COMPANY_REPORT,ACBS,Vietstock Finance,2026-07-24T00:00:00+07:00,24/07/2026,[],BUY,MUA,37700.0,VND,,,"[""P_E"", ""P_B""]",https://finance.vietstock.vn/bao-cao-phan-tich/21219/tcb-khuyen-nghi-mua-voi-gia-muc-tieu-37700-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21219/tcb-khuyen-nghi-mua-voi-gia-muc-tieu-37700-dongco-phieu.htm,[],https://finance.vietstock.vn/downloadedoc/21219,data\pdf\TCB\ACBS_TCB_2026-07-24_d770dddc.pdf,d770dddcb99d9f4d7f823968ede8b92c02522ff7554110425e81eb54dbe0f8c4,data\extracted\TCB\ACBS_TCB_2026-07-24_d770dddc.txt,1b3705e86224d1b4d53a559f633372167a7270c150f07c79880c6b82856850c2,8,vi,2026-08-16T10:26:08.009693+07:00,accepted,"[""explicit_exchange_ticker"", ""ticker_title_and_report_evidence"", ""positive_alias:HOSE: TCB,cổ phiếu TCB"", ""ticker_repeated""]"
unknown_tcb_ea39e68ccbc2,"[""TCB""]",Ngân hàng Thương mại Cổ phần Kỹ Thương Việt Nam,TCB– Cập nhật KQKD Q2.2026,,EARNINGS_UPDATE,,CafeF,2026-07-24T00:00:00+07:00,24/07/2026,[],,,,VND,,,[],https://cafef.vn/du-lieu/report/tcb-cap-nhat-kqkd-q22026-6a66de9ba04eaffa85901f8a.chn,https://cafef.vn/du-lieu/report/tcb-cap-nhat-kqkd-q22026-6a66de9ba04eaffa85901f8a.chn,[],,,,,,,vi,2026-08-16T10:26:13.587641+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
