report_id,ticker,company_name,title,description,report_type,broker,source_platform,published_at,published_at_raw,analyst,recommendation,recommendation_raw,target_price,target_price_currency,current_price,upside_percent,valuation_methods,source_page_url,canonical_source_url,mirror_urls,pdf_url,local_pdf_path,pdf_hash,extracted_text_path,content_hash,page_count,language,crawled_at,status,validation_notes
mbs_vhm_1ea68e3ca354,"[""VHM""]",Công ty Cổ phần Vinhomes,VHM – Cập nhật KQKD Q2/26 và 6T26,,EARNINGS_UPDATE,MBS,CafeF,2026-08-03T00:00:00+07:00,03/08/2026,[],,,,VND,,,[],https://cafef.vn/du-lieu/report/vhm-cap-nhat-kqkd-q226-va-6t26-6a700d23a04eaffa85901f9a.chn,https://cafef.vn/du-lieu/report/vhm-cap-nhat-kqkd-q226-va-6t26-6a700d23a04eaffa85901f9a.chn,[],,,,,,,vi,2026-08-16T10:36:04.876412+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
unknown_vhm_8f1006dcf76b,"[""VHM""]",Công ty Cổ phần Vinhomes,VHM - Cập nhật kết quả kinh doanh Quý 2 năm 2026,,EARNINGS_UPDATE,,CafeF,2026-08-07T00:00:00+07:00,07/08/2026,[],,,,VND,,,[],https://cafef.vn/du-lieu/report/vhm-cap-nhat-ket-qua-kinh-doanh-quy-2-nam-2026-6a7999eea04eaffa85902051.chn,https://cafef.vn/du-lieu/report/vhm-cap-nhat-ket-qua-kinh-doanh-quy-2-nam-2026-6a7999eea04eaffa85902051.chn,[],,,,,,,vi,2026-08-16T10:36:29.839842+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
unknown_vhm_6b4ff3c38616,"[""VHM""]",Công ty Cổ phần Vinhomes,VHM -Kết quả kinh doanh tích cực vượt kỳ vọng,,EARNINGS_UPDATE,,CafeF,2026-04-30T00:00:00+07:00,30/04/2026,[],,,,VND,,,[],https://cafef.vn/du-lieu/report/vhm-ket-qua-kinh-doanh-tich-cuc-vuot-ky-vong-6a06e9720c16ac472bbb2dc2.chn,https://cafef.vn/du-lieu/report/vhm-ket-qua-kinh-doanh-tich-cuc-vuot-ky-vong-6a06e9720c16ac472bbb2dc2.chn,[],,,,,,,vi,2026-08-16T10:37:20.932034+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
nsi_vhm_c38329c643c5,"[""VHM""]",Công ty Cổ phần Vinhomes,Báo cáo cập nhật KQKD Q1/2026 VHM,,EARNINGS_UPDATE,NSI,CafeF,2026-05-04T00:00:00+07:00,04/05/2026,"[""Ngô Quang Hiệp – Hiepnq@nsi.vn""]",SELL,BÁN,,VND,,,"[""P_E"", ""P_B""]",https://cafef.vn/du-lieu/report/bao-cao-cap-nhat-kqkd-q12026-vhm-6a06e7c80c16ac472bbb2dba.chn,https://cafef.vn/du-lieu/report/bao-cao-cap-nhat-kqkd-q12026-vhm-6a06e7c80c16ac472bbb2dba.chn,[],https://cafefnew.mediacdn.vn/Images/Uploaded/DuLieuDownload/PhanTichBaoCao/VHM_20260515163043_e1fdfc7f0fbe425c9903f5d3.pdf,data\pdf\VHM\NSI_VHM_2026-05-04_a61f1a92.pdf,a61f1a92ce8d53cce73be0fae490f5db55ab5cc0133ef2c9c31f3e4dd40a58f9,data\extracted\VHM\NSI_VHM_2026-05-04_a61f1a92.txt,84eac3acc21b44f14a391cfcb08ed91f656e86ae1541917afa430a39fe2ba4f1,5,vi,2026-08-16T10:37:21.873947+07:00,accepted,"[""explicit_exchange_ticker"", ""positive_alias:Vinhomes,Công ty Cổ phần Vinhomes,HOSE: VHM"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
acbs_vhm_801fd289484f,"[""VHM""]",Công ty Cổ phần Vinhomes,"VHM: Khuyến nghị TRUNG LẬP với giá mục tiêu 62,900 đồng/cổ phiếu",,COMPANY_REPORT,ACBS,Vietstock Finance,2026-08-07T00:00:00+07:00,07/08/2026,[],NEUTRAL,TRUNG LẬP,62900.0,VND,,,"[""P_E"", ""P_B""]",https://finance.vietstock.vn/bao-cao-phan-tich/21443/vhm-khuyen-nghi-trung-lap-voi-gia-muc-tieu-62900-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21443/vhm-khuyen-nghi-trung-lap-voi-gia-muc-tieu-62900-dongco-phieu.htm,[],https://finance.vietstock.vn/downloadedoc/21443,data\pdf\VHM\ACBS_VHM_2026-08-07_bf2a5b81.pdf,bf2a5b8165bb124a422eea4694f2f107ce711e7a127a160b725d1ad3d36528b7,data\extracted\VHM\ACBS_VHM_2026-08-07_bf2a5b81.txt,966e3c909a5d8bbc3b36a5c578b37b78708dbdaceed4f259a8a45d21d2008744,3,vi,2026-08-16T10:37:23.935706+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:Vinhomes"", ""ticker_repeated""]"
nhsv_vhm_c4bc38a7e706,"[""VHM""]",Công ty Cổ phần Vinhomes,"VHM: Khuyến nghị NẮM GIỮ với giá mục tiêu 150,000 đồng/cổ phiếu",,COMPANY_REPORT,NHSV,Vietstock Finance,2026-08-04T00:00:00+07:00,04/08/2026,[],HOLD,NẮM GIỮ,150000.0,VND,,,"[""DCF"", ""SOTP"", ""RNAV""]",https://finance.vietstock.vn/bao-cao-phan-tich/21364/vhm-khuyen-nghi-nam-giu-voi-gia-muc-tieu-150000-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21364/vhm-khuyen-nghi-nam-giu-voi-gia-muc-tieu-150000-dongco-phieu.htm,[],https://finance.vietstock.vn/downloadedoc/21364,data\pdf\VHM\NHSV_VHM_2026-08-04_45b16e2e.pdf,45b16e2e2d991f1f77414d7630837b1f956b4939c768fc3811d38846f8c96188,data\extracted\VHM\NHSV_VHM_2026-08-04_45b16e2e.txt,7157f40140dfee1b9d75a829515868e5d66cbc7054c0c537426925cba7aff616,6,vi,2026-08-16T10:37:25.077467+07:00,accepted,"[""explicit_exchange_ticker"", ""ticker_title_and_report_evidence"", ""positive_alias:Vinhomes,Công ty Cổ phần Vinhomes,HOSE: VHM"", ""ticker_repeated""]"
tcbs_vhm_85950a6a0730,"[""VHM""]",Công ty Cổ phần Vinhomes,VHM: Báo cáo cập nhật KQKD Q2/2026,,EARNINGS_UPDATE,TCBS,Vietstock Finance,2026-08-06T00:00:00+07:00,06/08/2026,[],SELL,BÁN,,VND,,,"[""P_E"", ""P_B"", ""EV_EBITDA""]",https://finance.vietstock.vn/bao-cao-phan-tich/21437/vhm-bao-cao-cap-nhat-kqkd-q22026.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21437/vhm-bao-cao-cap-nhat-kqkd-q22026.htm,[],https://finance.vietstock.vn/downloadedoc/21437,data\pdf\VHM\TCBS_VHM_2026-08-06_0413062c.pdf,0413062cdc3d6e79fb0e4b02654620499afd17edfa0278ebd880f1e2e205e3b2,data\extracted\VHM\TCBS_VHM_2026-08-06_0413062c.txt,86ab7d14e37098f1f0a4aeca6468050f0e3d3c27e834f579b665341107788274,8,vi,2026-08-16T10:37:27.841543+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:Vinhomes"", ""ticker_repeated""]"
vpx_vhm_301d66ea1e80,"[""VHM""]",Công ty Cổ phần Vinhomes,VHM: Báo cáo cập nhật KQKD Q2/2026,,EARNINGS_UPDATE,VPX,Vietstock Finance,2026-08-03T00:00:00+07:00,03/08/2026,"[""Nguy ễn Th ị Thúy Nga""]",SELL,BÁN,,VND,,14.8,"[""P_E"", ""P_B""]",https://finance.vietstock.vn/bao-cao-phan-tich/21468/vhm-bao-cao-cap-nhat-kqkd-q22026.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21468/vhm-bao-cao-cap-nhat-kqkd-q22026.htm,[],https://finance.vietstock.vn/downloadedoc/21468,data\pdf\VHM\VPX_VHM_2026-08-03_50551b52.pdf,50551b526aedd9de089d927bc21fca5828381d630b395bfc9c0bf30ed8c8c1e5,data\extracted\VHM\VPX_VHM_2026-08-03_50551b52.txt,086c4d5605b2e78ff8486ebdf6c0a2cc2898d5b51cbc5281ebcac4731c480254,4,vi,2026-08-16T10:37:28.168442+07:00,accepted,"[""explicit_exchange_ticker"", ""ticker_title_and_report_evidence"", ""positive_alias:Vinhomes,HOSE: VHM"", ""ticker_repeated""]"
mbs_vhm_5bf2c0bde6a2,"[""VHM""]",Công ty Cổ phần Vinhomes,VHM: Báo cáo cập nhật KQKD Q2/2026,,EARNINGS_UPDATE,MBS,Vietstock Finance,2026-07-31T00:00:00+07:00,31/07/2026,[],SELL,BÁN,,VND,,,"[""P_E"", ""P_B""]",https://finance.vietstock.vn/bao-cao-phan-tich/21306/vhm-bao-cao-cap-nhat-kqkd-q22026.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21306/vhm-bao-cao-cap-nhat-kqkd-q22026.htm,[],https://finance.vietstock.vn/downloadedoc/21306,data\pdf\VHM\MBS_VHM_2026-07-31_daaee2cc.pdf,daaee2cc3d3649b960925d09afc2579b74a2a1689699d1e5c68e1cf9358686a0,data\extracted\VHM\MBS_VHM_2026-07-31_daaee2cc.txt,c0cb859dd645beff44b46f0c01df439a7cd080d9cd0a922c3cd2feb2eba98f9b,4,vi,2026-08-16T10:37:28.393372+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:Vinhomes"", ""ticker_repeated""]"
vietcap_vhm_b188373b201f,"[""VHM""]",Công ty Cổ phần Vinhomes,"VHM: Khuyến nghị PHÙ HỢP THỊ TRƯỜNG với giá mục tiêu 153,700 đồng/cổ phiếu",,COMPANY_REPORT,Vietcap,Vietstock Finance,2026-05-29T00:00:00+07:00,29/05/2026,[],SELL,BÁN,153700.0,VND,156000.0,,"[""DCF"", ""P_E"", ""P_B"", ""RNAV""]",https://finance.vietstock.vn/bao-cao-phan-tich/20584/vhm-khuyen-nghi-phu-hop-thi-truong-voi-gia-muc-tieu-153700-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/20584/vhm-khuyen-nghi-phu-hop-thi-truong-voi-gia-muc-tieu-153700-dongco-phieu.htm,[],https://finance.vietstock.vn/downloadedoc/20584,data\pdf\VHM\Vietcap_VHM_2026-05-29_bb87500a.pdf,bb87500a8c0ced10f318f3f754f2e5de91892132d1ef38d71b470b5ff92abda8,data\extracted\VHM\Vietcap_VHM_2026-05-29_bb87500a.txt,0727d3101b0b3d71e648373142b23f09298aabeda760c91e4e9089263b6986aa,11,vi,2026-08-16T10:37:29.115412+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:Vinhomes,cổ phiếu VHM"", ""ticker_repeated""]"
