report_id,ticker,company_name,title,description,report_type,broker,source_platform,published_at,published_at_raw,analyst,recommendation,recommendation_raw,target_price,target_price_currency,current_price,upside_percent,valuation_methods,source_page_url,canonical_source_url,mirror_urls,pdf_url,local_pdf_path,pdf_hash,extracted_text_path,content_hash,page_count,language,crawled_at,status,validation_notes
unknown_vib_2d8bb65c06a7,"[""VIB""]",Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam,"VIB: Khuyến nghị TÍCH LŨY với giá mục tiêu 17,900 đồng/cổ phiếu",,COMPANY_REPORT,,CafeF,2026-06-30T00:00:00+07:00,30/06/2026,[],ACCUMULATE,TÍCH LŨY,17900.0,VND,,,[],https://cafef.vn/du-lieu/report/vib-khuyen-nghi-tich-luy-voi-gia-muc-tieu-17900-dongco-phieu-6a4b3054bf4571b053f56475.chn,https://cafef.vn/du-lieu/report/vib-khuyen-nghi-tich-luy-voi-gia-muc-tieu-17900-dongco-phieu-6a4b3054bf4571b053f56475.chn,[],,,,,,,vi,2026-08-16T10:38:46.286814+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
mbs_vib_8bc8b2ad7c50,"[""VIB""]",Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam,VIB – Analyst meeting: Cập nhật KQKD Q2/2026 và Kế hoạch 2026,,EARNINGS_UPDATE,MBS,CafeF,2026-08-07T00:00:00+07:00,07/08/2026,"[""meeting: Cập nhật KQKD Q2/2026 và Kế hoạch 2026""]",,,,VND,,,[],https://cafef.vn/du-lieu/report/vib-analyst-meeting-cap-nhat-kqkd-q22026-va-ke-hoach-2026-6a7945d6a04eaffa85901fe9.chn,https://cafef.vn/du-lieu/report/vib-analyst-meeting-cap-nhat-kqkd-q22026-va-ke-hoach-2026-6a7945d6a04eaffa85901fe9.chn,[],,,,,,,vi,2026-08-16T10:39:18.508287+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
unknown_vib_38e912bf4d6c,"[""VIB""]",Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam,"VIB (Q1/2026): Thu nhập ngoài lãi tích cực, chất lượng tài sản cải thiện",,COMPANY_REPORT,,CafeF,2026-06-11T00:00:00+07:00,11/06/2026,[],,,,VND,,,[],https://cafef.vn/du-lieu/report/vib-q12026-thu-nhap-ngoai-lai-tich-cuc-chat-luong-tai-san-cai-thien-6a2cd9006c2160b7b4282349.chn,https://cafef.vn/du-lieu/report/vib-q12026-thu-nhap-ngoai-lai-tich-cuc-chat-luong-tai-san-cai-thien-6a2cd9006c2160b7b4282349.chn,[],,,,,,,vi,2026-08-16T10:40:28.242535+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
mbs_vib_c6b665519ca0,"[""VIB""]",Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam,VIB: Báo cáo cập nhật KQKD Q2/2026,,EARNINGS_UPDATE,MBS,Vietstock Finance,2026-08-06T00:00:00+07:00,06/08/2026,"[""meeting: Cập nhật KQKD Q2/2026 và Kế"", ""Đinh Công Luyến""]",SELL,BÁN,,VND,,,"[""P_E"", ""P_B""]",https://finance.vietstock.vn/bao-cao-phan-tich/21452/vib-bao-cao-cap-nhat-kqkd-q22026.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21452/vib-bao-cao-cap-nhat-kqkd-q22026.htm,[],https://finance.vietstock.vn/downloadedoc/21452,data\pdf\VIB\MBS_VIB_2026-08-06_7d03e4cd.pdf,7d03e4cdc9979302eac44d81f8f0a28171d369e8566cec0c0cc0e1c1318d4db9,data\extracted\VIB\MBS_VIB_2026-08-06_7d03e4cd.txt,aa9230e6f9a16ef3ef3b730783d2f38fa0399520f257e2672d2381a56f131e8d,7,vi,2026-08-16T10:40:34.107837+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated""]"
acbs_vib_9dab3874b24f,"[""VIB""]",Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam,"VIB: Khuyến nghị MUA với giá mục tiêu 18,400 đồng/cổ phiếu",,COMPANY_REPORT,ACBS,Vietstock Finance,2026-07-31T00:00:00+07:00,31/07/2026,[],BUY,MUA,18400.0,VND,,,"[""P_E"", ""P_B""]",https://finance.vietstock.vn/bao-cao-phan-tich/21311/vib-khuyen-nghi-mua-voi-gia-muc-tieu-18400-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21311/vib-khuyen-nghi-mua-voi-gia-muc-tieu-18400-dongco-phieu.htm,[],https://finance.vietstock.vn/downloadedoc/21311,data\pdf\VIB\ACBS_VIB_2026-07-31_a019ad6c.pdf,a019ad6c74c1372ef8ad67e445c4c4f99faa35565b5e025b076d85dae274ef69,data\extracted\VIB\ACBS_VIB_2026-07-31_a019ad6c.txt,351fda8e2ac2d84fc981c5e40d67c3deaac5429162ddb495d00493174291222f,6,vi,2026-08-16T10:40:34.541209+07:00,accepted,"[""explicit_exchange_ticker"", ""ticker_title_and_report_evidence"", ""positive_alias:HOSE: VIB"", ""ticker_repeated""]"
vietinbank securities_vib_4efecbee93d1,"[""VIB""]",Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam,"VIB: Khuyến nghị MUA với giá mục tiêu 18,700 đồng/cổ phiếu",,COMPANY_REPORT,Vietinbank Securities,Vietstock Finance,2026-07-06T00:00:00+07:00,06/07/2026,[],BUY,MUA,18700.0,VND,,,"[""P_E"", ""P_B""]",https://finance.vietstock.vn/bao-cao-phan-tich/21039/vib-khuyen-nghi-mua-voi-gia-muc-tieu-18700-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21039/vib-khuyen-nghi-mua-voi-gia-muc-tieu-18700-dongco-phieu.htm,[],https://finance.vietstock.vn/downloadedoc/21039,data\pdf\VIB\VietinbankSecurities_VIB_2026-07-06_c1082d69.pdf,c1082d69a6646d726daa3279c54f8e47163d1e47259f227632d25e3eaed342b8,data\extracted\VIB\VietinbankSecurities_VIB_2026-07-06_c1082d69.txt,c111d676e1ebbd25ebe3c199737b7b5ed7069d20966713ab31dd5be390037fa5,3,vi,2026-08-16T10:40:34.864994+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated""]"
vds_vib_3b4fea414c65,"[""VIB""]",Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam,"VIB: Khuyến nghị TÍCH LŨY với giá mục tiêu 17,900 đồng/cổ phiếu",,COMPANY_REPORT,VDS,Vietstock Finance,2026-06-30T00:00:00+07:00,30/06/2026,[],ACCUMULATE,TÍCH LŨY,17900.0,VND,,,"[""P_E"", ""P_B""]",https://finance.vietstock.vn/bao-cao-phan-tich/21003/vib-khuyen-nghi-tich-luy-voi-gia-muc-tieu-17900-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21003/vib-khuyen-nghi-tich-luy-voi-gia-muc-tieu-17900-dongco-phieu.htm,[],https://finance.vietstock.vn/downloadedoc/21003,data\pdf\VIB\VDS_VIB_2026-06-30_82d50879.pdf,82d50879fd1c9b28a773c9530b91ade7f37e167959440a4bf71f23aff200e1cf,data\extracted\VIB\VDS_VIB_2026-06-30_82d50879.txt,bb78b4d71116e7bab34461ca93b0eb442d9dbc5437aa981d7a3c3fa12d79aed2,10,vi,2026-08-16T10:40:35.629008+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:cổ phiếu VIB"", ""ticker_repeated""]"
dsc_vib_b61527b4eb32,"[""VIB""]",Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam,"VIB: Khuyến nghị MUA với giá mục tiêu 21,250 đồng/cổ phiếu",,COMPANY_REPORT,DSC,Vietstock Finance,2026-06-12T00:00:00+07:00,12/06/2026,[],BUY,MUA,21250.0,VND,,,"[""P_B""]",https://finance.vietstock.vn/bao-cao-phan-tich/20784/vib-khuyen-nghi-mua-voi-gia-muc-tieu-21250-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/20784/vib-khuyen-nghi-mua-voi-gia-muc-tieu-21250-dongco-phieu.htm,[],https://finance.vietstock.vn/downloadedoc/20784,data\pdf\VIB\DSC_VIB_2026-06-12_c5e2c270.pdf,c5e2c270ed89655f353f0de18ed64eb4d03062d5cef5657712d1f08dfff5c964,data\extracted\VIB\DSC_VIB_2026-06-12_c5e2c270.txt,2dce853d91125609a821a7d90fd89fa434719179c3172bd5a4eaf1f50d951107,5,vi,2026-08-16T10:40:35.986958+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated""]"
vnds_vib_ff34873ea378,"[""VIB""]",Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam,VIB - Kế hoạch tăng trưởng lợi nhuận 2026 tham vọng,,COMPANY_REPORT,VNDS,CafeF,2026-04-24T00:00:00+07:00,24/04/2026,[],,,,VND,,,[],https://cafef.vn/du-lieu/report/vib-ke-hoach-tang-truong-loi-nhuan-2026-tham-vong-69f99224794eb7e4841090f1.chn,https://cafef.vn/du-lieu/report/vib-ke-hoach-tang-truong-loi-nhuan-2026-tham-vong-69f99224794eb7e4841090f1.chn,[],,,,,,,vi,2026-08-16T10:40:40.307421+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
unknown_vib_822674c038a3,"[""VIB""]",Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam,VIB - Kế hoạch tăng trưởng lợi nhuận mạnh mẽ,,COMPANY_REPORT,,CafeF,2026-04-09T00:00:00+07:00,09/04/2026,[],,,,VND,,,[],https://cafef.vn/du-lieu/report/vib-ke-hoach-tang-truong-loi-nhuan-manh-me-69dde9af911b388b260e65c8.chn,https://cafef.vn/du-lieu/report/vib-ke-hoach-tang-truong-loi-nhuan-manh-me-69dde9af911b388b260e65c8.chn,[],,,,,,,vi,2026-08-16T10:40:42.998625+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
