report_id,ticker,company_name,title,description,report_type,broker,source_platform,published_at,published_at_raw,analyst,recommendation,recommendation_raw,target_price,target_price_currency,current_price,upside_percent,valuation_methods,source_page_url,canonical_source_url,mirror_urls,pdf_url,local_pdf_path,pdf_hash,extracted_text_path,content_hash,page_count,language,crawled_at,status,validation_notes
unknown_vnm_6e501609c05c,"[""VNM""]",Công ty Cổ phần Sữa Việt Nam,"VNM - Tăng tỷ trọng - KQKD 6T2026 tăng trưởng tích cực, định giá hấp dẫn",,COMPANY_REPORT,AGRISECO,CafeF,2026-08-10T00:00:00+07:00,10/08/2026,[],HOLD,NẮM GIỮ,70000.0,VND,,13.0,"[""P_E""]",https://cafef.vn/du-lieu/report/vnm-tang-ty-trong-kqkd-6t2026-tang-truong-tich-cuc-dinh-gia-hap-dan-6a7984e4a04eaffa85902015.chn,https://cafef.vn/du-lieu/report/vnm-tang-ty-trong-kqkd-6t2026-tang-truong-tich-cuc-dinh-gia-hap-dan-6a7984e4a04eaffa85902015.chn,"[""https://finance.vietstock.vn/bao-cao-phan-tich/21486/vnm-khuyen-nghi-tang-ty-trong-voi-gia-muc-tieu-70000-dongco-phieu.htm""]",https://cafefnew.mediacdn.vn/Images/Uploaded/DuLieuDownload/PhanTichBaoCao/VNM_20260810145919_e6b4450d78b94265ace8c7ce.pdf,data\pdf\VNM\UNKNOWN_VNM_2026-08-10_371da59a.pdf,371da59ad958acb89fdc6748bf10bc7169b3f21c42a809025bf5c031a9948b81,data\extracted\VNM\UNKNOWN_VNM_2026-08-10_371da59a.txt,f173208f54cafcf916c45bf6700c8a0d235d8e29081fb64ef92cbdaa9a8659c9,3,vi,2026-08-16T10:45:53.456482+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:Công ty Cổ phần Sữa Việt Nam"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
mbs_vnm_1635617c7377,"[""VNM""]",Công ty Cổ phần Sữa Việt Nam,VNM – Analyst Meeting: Cập nhật KQKD Q2/2026,,EARNINGS_UPDATE,MBS,CafeF,2026-08-07T00:00:00+07:00,07/08/2026,"[""Meeting: Cập nhật KQKD Q2/2026""]",SELL,BÁN,,VND,,,"[""P_E"", ""P_B""]",https://cafef.vn/du-lieu/report/vnm-analyst-meeting-cap-nhat-kqkd-q22026-6a7945b9a04eaffa85901fe8.chn,https://cafef.vn/du-lieu/report/vnm-analyst-meeting-cap-nhat-kqkd-q22026-6a7945b9a04eaffa85901fe8.chn,"[""https://finance.vietstock.vn/bao-cao-phan-tich/21453/vnm-bao-cao-cap-nhat-kqkd-q22026.htm""]",https://cafefnew.mediacdn.vn/Images/Uploaded/DuLieuDownload/PhanTichBaoCao/VNM_20260810102955_1cf9b70f9e344ccbb8df7cd2.pdf,data\pdf\VNM\MBS_VNM_2026-08-07_3d233301.pdf,3d23330145cde3bb7d4f75707c5755e7abf203a0b94ce6aa87ab9d329d963cb6,data\extracted\VNM\MBS_VNM_2026-08-07_3d233301.txt,ee5e1ad8232d2191d9d01e5809046aa16bffdce58cff6650cc9b5d94c25d91c3,4,vi,2026-08-16T10:46:10.832375+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:Vinamilk"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
unknown_vnm_5e77b5823d20,"[""VNM""]",Công ty Cổ phần Sữa Việt Nam,VNM - Tăng trưởng mạnh so với cùng kỳ,,COMPANY_REPORT,,CafeF,2026-06-27T00:00:00+07:00,27/06/2026,[],,,,VND,,,[],https://cafef.vn/du-lieu/report/vnm-tang-truong-manh-so-voi-cung-ky-6a3f595cbf4571b053f5642d.chn,https://cafef.vn/du-lieu/report/vnm-tang-truong-manh-so-voi-cung-ky-6a3f595cbf4571b053f5642d.chn,[],,,,,,,vi,2026-08-16T10:46:59.187208+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
unknown_vnm_40977ca5a90c,"[""VNM""]",Công ty Cổ phần Sữa Việt Nam,VNM - Trở lại đường đua tăng trưởng?,,COMPANY_REPORT,,CafeF,2026-08-07T00:00:00+07:00,07/08/2026,[],,,,VND,,,[],https://cafef.vn/du-lieu/report/vnm-tro-lai-duong-dua-tang-truong-6a7976faa04eaffa8590200d.chn,https://cafef.vn/du-lieu/report/vnm-tro-lai-duong-dua-tang-truong-6a7976faa04eaffa8590200d.chn,[],,,,,,,vi,2026-08-16T10:47:02.200318+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
tcbs_vnm_235163b7f3e5,"[""VNM""]",Công ty Cổ phần Sữa Việt Nam,VNM: Báo cáo cập nhật KQKD Q2/2026,,EARNINGS_UPDATE,TCBS,Vietstock Finance,2026-08-12T00:00:00+07:00,12/08/2026,[],SELL,BÁN,,VND,,,"[""P_E"", ""P_B"", ""EV_EBITDA""]",https://finance.vietstock.vn/bao-cao-phan-tich/21576/vnm-bao-cao-cap-nhat-kqkd-q22026.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21576/vnm-bao-cao-cap-nhat-kqkd-q22026.htm,[],https://finance.vietstock.vn/downloadedoc/21576,data\pdf\VNM\TCBS_VNM_2026-08-12_8ab92d32.pdf,8ab92d32d04de1037692432dd0a07f955ca9c69486dea6a6320ce80752ca7ac5,data\extracted\VNM\TCBS_VNM_2026-08-12_8ab92d32.txt,703f717e587050e422e75b96e2c3bd80035500344d951694415e058cf03b1c55,8,vi,2026-08-16T10:47:07.592597+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:Vinamilk"", ""ticker_repeated""]"
kafi_vnm_94fb9306ba30,"[""VNM""]",Công ty Cổ phần Sữa Việt Nam,"VNM: Khuyến nghị KHẢ QUAN với giá mục tiêu 70,761 đồng/cổ phiếu",,COMPANY_REPORT,KAFI,Vietstock Finance,2026-08-12T00:00:00+07:00,12/08/2026,[],OUTPERFORM,KHẢ QUAN,70761.0,VND,,15.0,"[""P_E"", ""DDM""]",https://finance.vietstock.vn/bao-cao-phan-tich/21626/vnm-khuyen-nghi-kha-quan-voi-gia-muc-tieu-70761-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21626/vnm-khuyen-nghi-kha-quan-voi-gia-muc-tieu-70761-dongco-phieu.htm,[],https://finance.vietstock.vn/downloadedoc/21626,data\pdf\VNM\KAFI_VNM_2026-08-12_37d8d1f7.pdf,37d8d1f7020cef837f739f29cf8c2bb2ab905c1a1d320fbafd20d048874a4a84,data\extracted\VNM\KAFI_VNM_2026-08-12_37d8d1f7.txt,9632bc8c98099b0122c0be6e035f280c3fc3e18e64a603ac6a2c68f2a382c349,40,vi,2026-08-16T10:47:12.039890+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:Vinamilk"", ""ticker_repeated""]"
ssv_vnm_21cf143b6597,"[""VNM""]",Công ty Cổ phần Sữa Việt Nam,"VNM: Khuyến nghị MUA với giá mục tiêu 79,600 đồng/cổ phiếu",,COMPANY_REPORT,SSV,Vietstock Finance,2026-08-11T00:00:00+07:00,11/08/2026,"[""s employed by Shinhan Securities Vietnam Co., Ltd. , or a non-US affiliate there"", ""s with FINRA, may not be"", ""account. For analyst certification and important disclosures, refer to the Compl""]",BUY,MUA,79600.0,VND,,,"[""DCF"", ""P_E"", ""P_B"", ""EV_EBITDA""]",https://finance.vietstock.vn/bao-cao-phan-tich/21567/vnm-khuyen-nghi-mua-voi-gia-muc-tieu-79600-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21567/vnm-khuyen-nghi-mua-voi-gia-muc-tieu-79600-dongco-phieu.htm,"[""https://finance.vietstock.vn/bao-cao-phan-tich/21532/vnm-khuyen-nghi-mua-voi-gia-muc-tieu-79600-dongco-phieu.htm"", ""https://finance.vietstock.vn/bao-cao-phan-tich/20953/vnm-khuyen-nghi-mua-voi-gia-muc-tieu-73700-dongco-phieu.htm""]",https://finance.vietstock.vn/downloadedoc/21567,data\pdf\VNM\SSV_VNM_2026-08-11_39c6a0cf.pdf,39c6a0cfe8c30dc5cb895c0ba316117c9d8b55e99bc2125714389c0e6d93561f,data\extracted\VNM\SSV_VNM_2026-08-11_39c6a0cf.txt,706b6a90cbcdb2efeaaf0cc5f422e473019b384b47c77ded27a8291564c1ae30,16,vi,2026-08-16T10:47:14.321365+07:00,accepted,"[""explicit_exchange_ticker"", ""ticker_title_and_report_evidence"", ""positive_alias:Vinamilk,HOSE: VNM"", ""ticker_repeated""]"
mas_vnm_507ed55f5b92,"[""VNM""]",Công ty Cổ phần Sữa Việt Nam,"VNM: Khuyến nghị MUA với giá mục tiêu 86,800 đồng/cổ phiếu",,COMPANY_REPORT,MAS,Vietstock Finance,2026-08-04T00:00:00+07:00,04/08/2026,"[""certifications and important disclosures & disclaimers in Appendix 1 at the end""]",BUY,MUA,86800.0,VND,,,"[""DCF"", ""P_E"", ""P_B""]",https://finance.vietstock.vn/bao-cao-phan-tich/21363/vnm-khuyen-nghi-mua-voi-gia-muc-tieu-86800-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21363/vnm-khuyen-nghi-mua-voi-gia-muc-tieu-86800-dongco-phieu.htm,[],https://finance.vietstock.vn/downloadedoc/21363,data\pdf\VNM\MAS_VNM_2026-08-04_e955c745.pdf,e955c7459dc1a41c01e9c652d89c586842962cdc48f5ef2ae2486f5c530e5058,data\extracted\VNM\MAS_VNM_2026-08-04_e955c745.txt,6b42c4026d003cf363b12a84d65056f04ff57eedd4482b5e9610a84088e358d8,7,vi,2026-08-16T10:47:18.567417+07:00,accepted,"[""explicit_exchange_ticker"", ""ticker_title_and_report_evidence"", ""positive_alias:HOSE: VNM"", ""ticker_repeated""]"
vnds_vnm_b540ecbf493f,"[""VNM""]",Công ty Cổ phần Sữa Việt Nam,VNM: Báo cáo cập nhật KQKD Q2/2026,,EARNINGS_UPDATE,VNDS,Vietstock Finance,2026-07-31T00:00:00+07:00,31/07/2026,[],BUY,MUA,,VND,,,[],https://finance.vietstock.vn/bao-cao-phan-tich/21354/vnm-bao-cao-cap-nhat-kqkd-q22026.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21354/vnm-bao-cao-cap-nhat-kqkd-q22026.htm,[],https://finance.vietstock.vn/downloadedoc/21354,data\pdf\VNM\VNDS_VNM_2026-07-31_2463ac19.pdf,2463ac198312c64bd11e688e86da036444788eb78223e540a4eb811a8f758e73,data\extracted\VNM\VNDS_VNM_2026-07-31_2463ac19.txt,28e949a5f42f1cdd6184795a61479314e29a4398af63e7be9eda56f11a888e74,2,vi,2026-08-16T10:47:18.887315+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated""]"
unknown_vnm_16068c5aebe4,"[""VNM""]",Công ty Cổ phần Sữa Việt Nam,"VNM: Khuyến nghị MUA với giá mục tiêu 66,500 đồng/cổ phiếu Nguồn: VDS",,COMPANY_REPORT,,CafeF,2026-06-24T00:00:00+07:00,24/06/2026,[],BUY,MUA,66500.0,VND,,,[],https://cafef.vn/du-lieu/report/vnm-khuyen-nghi-mua-voi-gia-muc-tieu-66500-dongco-phieu-nguon-vds-6a3f5c27bf4571b053f5643a.chn,https://cafef.vn/du-lieu/report/vnm-khuyen-nghi-mua-voi-gia-muc-tieu-66500-dongco-phieu-nguon-vds-6a3f5c27bf4571b053f5643a.chn,[],,,,,,,vi,2026-08-16T10:47:19.291467+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
