report_id,ticker,company_name,title,description,report_type,broker,source_platform,published_at,published_at_raw,analyst,recommendation,recommendation_raw,target_price,target_price_currency,current_price,upside_percent,valuation_methods,source_page_url,canonical_source_url,mirror_urls,pdf_url,local_pdf_path,pdf_hash,extracted_text_path,content_hash,page_count,language,crawled_at,status,validation_notes
mbs_vre_ea6d22d23a3f,"[""VRE""]",Công ty Cổ phần Vincom Retail,VRE – Cập nhật KQKD Q2/2026 và Kế hoạch 2026,,EARNINGS_UPDATE,MBS,CafeF,2026-07-29T00:00:00+07:00,29/07/2026,[],,,,VND,,,[],https://cafef.vn/du-lieu/report/vre-cap-nhat-kqkd-q22026-va-ke-hoach-2026-6a700e25a04eaffa85901f9c.chn,https://cafef.vn/du-lieu/report/vre-cap-nhat-kqkd-q22026-va-ke-hoach-2026-6a700e25a04eaffa85901f9c.chn,[],,,,,,,vi,2026-08-16T10:52:01.437268+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
unknown_vre_86c9d0ae21dc,"[""VRE""]",Công ty Cổ phần Vincom Retail,"VRE -Mở rộng quy mô, nâng cao hiệu suất",,COMPANY_REPORT,,CafeF,2026-06-19T00:00:00+07:00,19/06/2026,[],,,,VND,,,[],https://cafef.vn/du-lieu/report/vre-mo-rong-quy-mo-nang-cao-hieu-suat-6a3607a96c2160b7b4282380.chn,https://cafef.vn/du-lieu/report/vre-mo-rong-quy-mo-nang-cao-hieu-suat-6a3607a96c2160b7b4282380.chn,[],,,,,,,vi,2026-08-16T10:52:33.844249+07:00,accepted,"[""ticker_title_and_report_evidence"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
tcbs_vre_a3285c9d245b,"[""VRE""]",Công ty Cổ phần Vincom Retail,VRE: Báo cáo cập nhật KQKD Q2/2026,,EARNINGS_UPDATE,TCBS,Vietstock Finance,2026-08-06T00:00:00+07:00,06/08/2026,[],SELL,BÁN,,VND,,,"[""P_E"", ""P_B"", ""EV_EBITDA""]",https://finance.vietstock.vn/bao-cao-phan-tich/21438/vre-bao-cao-cap-nhat-kqkd-q22026.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21438/vre-bao-cao-cap-nhat-kqkd-q22026.htm,[],https://finance.vietstock.vn/downloadedoc/21438,data\pdf\VRE\TCBS_VRE_2026-08-06_f8262562.pdf,f82625620609cef8a3d7bb6c90fc7188965f606755abdf7be991c869481b1f29,data\extracted\VRE\TCBS_VRE_2026-08-06_f8262562.txt,cd07076f8c52f51ccc03883013ecb84cd5f49c77ffff19d4e47a0e7edcc0a3d2,8,vi,2026-08-16T10:52:35.979113+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:Vincom Retail"", ""ticker_repeated""]"
nhsv_vre_a6aca4833976,"[""VRE""]",Công ty Cổ phần Vincom Retail,VRE: Báo cáo cập nhật KQKD Q2/2026,,EARNINGS_UPDATE,NHSV,Vietstock Finance,2026-07-30T00:00:00+07:00,30/07/2026,[],SELL,BÁN,1.0,VND,,,"[""SOTP"", ""RNAV""]",https://finance.vietstock.vn/bao-cao-phan-tich/21281/vre-bao-cao-cap-nhat-kqkd-q22026.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21281/vre-bao-cao-cap-nhat-kqkd-q22026.htm,[],https://finance.vietstock.vn/downloadedoc/21281,data\pdf\VRE\NHSV_VRE_2026-07-30_e6c7d858.pdf,e6c7d8582edb2b50d2070c00bd08ba095e748ad3801487147ed4c0625cfd16ed,data\extracted\VRE\NHSV_VRE_2026-07-30_e6c7d858.txt,4e4d8b018c0306791df6bc515783eed9aa9db9b855994d75883e838e6cf923ef,6,vi,2026-08-16T10:52:36.296012+07:00,accepted,"[""explicit_exchange_ticker"", ""ticker_title_and_report_evidence"", ""positive_alias:Vincom Retail,HOSE: VRE"", ""ticker_repeated""]"
acbs_vre_b675a820e869,"[""VRE""]",Công ty Cổ phần Vincom Retail,"VRE: Khuyến nghị MUA với giá mục tiêu 32,200 đồng/cổ phiếu",,COMPANY_REPORT,ACBS,Vietstock Finance,2026-07-30T00:00:00+07:00,30/07/2026,[],BUY,MUA,32200.0,VND,,,"[""P_E"", ""P_B""]",https://finance.vietstock.vn/bao-cao-phan-tich/21275/vre-khuyen-nghi-mua-voi-gia-muc-tieu-32200-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21275/vre-khuyen-nghi-mua-voi-gia-muc-tieu-32200-dongco-phieu.htm,[],https://finance.vietstock.vn/downloadedoc/21275,data\pdf\VRE\ACBS_VRE_2026-07-30_7e57a153.pdf,7e57a15306d282186d9b820dbfb17c49d1bad5732697fa0f6215a0fa22821858,data\extracted\VRE\ACBS_VRE_2026-07-30_7e57a153.txt,8b56458cf8089ad2a2447793db7250b0400656025aac97ce78bec0d19ca86360,3,vi,2026-08-16T10:52:36.594168+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:Vincom Retail"", ""ticker_repeated""]"
mbs_vre_f7d004875f5c,"[""VRE""]",Công ty Cổ phần Vincom Retail,VRE: Báo cáo cập nhật KQKD Q2/2026,,EARNINGS_UPDATE,MBS,Vietstock Finance,2026-07-29T00:00:00+07:00,29/07/2026,"[""meeting: Cập nhật KQKD Q2/2026 và Kế hoạch"", ""Mai Duy Anh""]",SELL,BÁN,,VND,,,"[""P_E"", ""P_B""]",https://finance.vietstock.vn/bao-cao-phan-tich/21250/vre-bao-cao-cap-nhat-kqkd-q22026.htm,https://finance.vietstock.vn/bao-cao-phan-tich/21250/vre-bao-cao-cap-nhat-kqkd-q22026.htm,[],https://finance.vietstock.vn/downloadedoc/21250,data\pdf\VRE\MBS_VRE_2026-07-29_a00f2246.pdf,a00f2246357ea4a09f3d9a776681ca29cde578b3fb0e49c42a94299643f6799c,data\extracted\VRE\MBS_VRE_2026-07-29_a00f2246.txt,912c5e8310e609a21672805a2d7fc8b26382a079888c32981b8bf4aff6b5f74a,4,vi,2026-08-16T10:52:36.892668+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:Vincom Retail"", ""ticker_repeated""]"
mas_vre_3c382e2bdaff,"[""VRE""]",Công ty Cổ phần Vincom Retail,"VRE: Khuyến nghị MUA với giá mục tiêu 36,800 đồng/cổ phiếu",,COMPANY_REPORT,MAS,Vietstock Finance,2026-06-19T00:00:00+07:00,19/06/2026,"[""Nguyễn Thị Kim Ngân""]",BUY,MUA,36800.0,VND,,,"[""P_E"", ""P_B""]",https://finance.vietstock.vn/bao-cao-phan-tich/20858/vre-khuyen-nghi-mua-voi-gia-muc-tieu-36800-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/20858/vre-khuyen-nghi-mua-voi-gia-muc-tieu-36800-dongco-phieu.htm,[],https://finance.vietstock.vn/downloadedoc/20858,data\pdf\VRE\MAS_VRE_2026-06-19_3a29d1d3.pdf,3a29d1d3d210888fbb474e86d8a1e7b28dc18ceab20c8816a824e9333747b7e3,data\extracted\VRE\MAS_VRE_2026-06-19_3a29d1d3.txt,011597dd7b3ef2be7fed384ec5c4250401e043336d7515892de0b03da5e522b3,3,vi,2026-08-16T10:52:37.065612+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:Vincom Retail"", ""ticker_repeated""]"
mbs_vre_b0a2038d54c0,"[""VRE""]",Công ty Cổ phần Vincom Retail,"VRE: Khuyến nghị KHẢ QUAN với giá mục tiêu 38,900 đồng/cổ phiếu",,COMPANY_REPORT,MBS,Vietstock Finance,2026-06-08T00:00:00+07:00,08/06/2026,"[""Mai Duy Anh""]",OUTPERFORM,KHẢ QUAN,38900.0,VND,31200.0,24.8,"[""P_E"", ""P_B""]",https://finance.vietstock.vn/bao-cao-phan-tich/20680/vre-khuyen-nghi-kha-quan-voi-gia-muc-tieu-38900-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/20680/vre-khuyen-nghi-kha-quan-voi-gia-muc-tieu-38900-dongco-phieu.htm,[],https://finance.vietstock.vn/downloadedoc/20680,data\pdf\VRE\MBS_VRE_2026-06-08_d404bae4.pdf,d404bae463a2d96b3226c8ff6e3a2ed9eebdd8171c41053d8ab0b1ac509dbfb2,data\extracted\VRE\MBS_VRE_2026-06-08_d404bae4.txt,ed642db7eff4d2ae72d16cce81f32f8abfb383dc9eebdb1c783feca9af9e06ec,10,vi,2026-08-16T10:52:37.552011+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:Vincom Retail,cổ phiếu VRE"", ""ticker_repeated""]"
vietcap_vre_e1ac06e7fb6d,"[""VRE""]",Công ty Cổ phần Vincom Retail,"VRE: Khuyến nghị PHÙ HỢP THỊ TRƯỜNG với giá mục tiêu 34,200 đồng/cổ phiếu",,COMPANY_REPORT,Vietcap,Vietstock Finance,2026-05-29T00:00:00+07:00,29/05/2026,[],SELL,BÁN,34200.0,VND,32250.0,,"[""P_E"", ""P_B"", ""SOTP"", ""RNAV""]",https://finance.vietstock.vn/bao-cao-phan-tich/20585/vre-khuyen-nghi-phu-hop-thi-truong-voi-gia-muc-tieu-34200-dongco-phieu.htm,https://finance.vietstock.vn/bao-cao-phan-tich/20585/vre-khuyen-nghi-phu-hop-thi-truong-voi-gia-muc-tieu-34200-dongco-phieu.htm,[],https://finance.vietstock.vn/downloadedoc/20585,data\pdf\VRE\Vietcap_VRE_2026-05-29_9677241b.pdf,9677241b9f9a103a01e9220f8d65a6caf07eb263c13b6f21abb6d31ec576dda3,data\extracted\VRE\Vietcap_VRE_2026-05-29_9677241b.txt,19eb076981655174626cffa9fba51a26ea8635984439ef79146465ab10c91ff0,9,vi,2026-08-16T10:52:38.002867+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:Vincom Retail"", ""ticker_repeated""]"
vnds_vre_5774f31ec61b,"[""VRE""]",Công ty Cổ phần Vincom Retail,VRE - LNR tăng vọt nhờ chuyển nhượng BĐS đầu tư không cốt lõi và DT tài chính cải thiện,,COMPANY_REPORT,VNDS,CafeF,2026-05-08T00:00:00+07:00,08/05/2026,[],SELL,BÁN,,VND,,,[],https://cafef.vn/du-lieu/report/vre-lnr-tang-vot-nho-chuyen-nhuong-bds-dau-tu-khong-cot-loi-va-dt-tai-chinh-cai-thien-6a06d36d0c16ac472bbb2d65.chn,https://cafef.vn/du-lieu/report/vre-lnr-tang-vot-nho-chuyen-nhuong-bds-dau-tu-khong-cot-loi-va-dt-tai-chinh-cai-thien-6a06d36d0c16ac472bbb2d65.chn,[],https://cafefnew.mediacdn.vn/Images/Uploaded/DuLieuDownload/PhanTichBaoCao/VRE_20260515150343_9ef9415a06d04700a7300267.pdf,data\pdf\VRE\VNDS_VRE_2026-05-08_6de6f4fe.pdf,6de6f4fe52e471841a6d0f2cd4263337814b1209ce74a71409bfa77701707f70,data\extracted\VRE\VNDS_VRE_2026-05-08_6de6f4fe.txt,81fc36f9ab04e15360885a9489d0330b55db9b8d2d008d85381c93cd6ac0265c,2,vi,2026-08-16T10:52:53.213779+07:00,accepted,"[""ticker_title_and_report_evidence"", ""positive_alias:Vincom Retail"", ""ticker_repeated"", ""cafef_original_description_unavailable""]"
