2026-07-29 21:06:31,270 | INFO | ticker=FPT | source=cafef | accepted | score=11.0 | url=https://cafef.vn/doanh-thu-fpt-retail-dat-30743-ty-dong-trong-nua-dau-nam-2026-188260729175454766.chn
2026-07-29 21:06:35,051 | INFO | ticker=FPT | source=cafef | accepted | score=11.0 | url=https://cafef.vn/doanh-thu-fpt-retail-dat-30743-ty-dong-trong-nua-dau-nam-2026-nha-thuoc-long-chau-dan-dat-da-tang-truong-188260729174415306.chn
2026-07-29 21:06:37,013 | INFO | ticker=FPT | source=cafef | accepted | score=13.0 | url=https://cafef.vn/nhom-quy-ngoai-dragon-capital-tro-lai-ghe-co-dong-lon-tai-fpt-retail-188260729112116317.chn
2026-07-29 21:06:39,866 | INFO | ticker=FPT | source=cafef | accepted | score=9.0 | url=https://cafef.vn/fpt-che-doi-thu-ong-lon-an-do-chuyen-doi-cham-con-doanh-nghiep-nho-thieu-nhieu-nang-luc-188260728111441855.chn
2026-07-29 21:06:41,829 | INFO | ticker=FPT | source=cafef | accepted | score=8.0 | url=https://cafef.vn/cap-nhat-bctc-quy-2-2026-sang-ngay-27-7-mot-ngan-hang-bao-lo-trong-quy-188260726235911934.chn
2026-07-29 21:24:33,887 | INFO | ticker=HPG | source=cafef | accepted | score=9.0 | url=https://cafef.vn/mot-cong-ty-bat-dong-san-lai-hang-chuc-ty-dong-nho-dau-tu-chung-khoan-thang-lon-voi-vhm-hpg-188260723233417032.chn
2026-07-29 21:24:35,648 | INFO | ticker=HPG | source=cafef | accepted | score=6.0 | url=https://cafef.vn/om-loat-co-phieu-quoc-dan-fpt-hpg-mwg-ssi-van-lo-nang-nha-dau-tu-nen-lam-gi-188260719230622921.chn
2026-07-29 21:24:38,102 | INFO | ticker=HPG | source=cafef | accepted | score=16.0 | url=https://cafef.vn/nguoi-dong-hanh-cung-hoa-phat-hon-30-nam-vua-ban-luong-co-phieu-hpg-tri-gia-150-ty-dong-188260709160156592.chn
2026-07-29 21:24:40,351 | INFO | ticker=HPG | source=cafef | accepted | score=16.0 | url=https://cafef.vn/lanh-dao-hoa-phat-muon-ban-66-trieu-co-phieu-hpg-giua-luc-thi-gia-ve-day-tu-dau-nam-188260605190307033.chn
2026-07-29 21:24:49,952 | INFO | ticker=HPG | source=cafef | accepted | score=11.0 | url=https://cafef.vn/doanh-nghiep-bat-dong-san-dem-nua-tai-san-di-dau-tu-chung-khoan-lai-lon-voi-hpg-vhm-nhung-lo-dam-voi-mot-co-phieu-ngan-hang-188260428145410747.chn
2026-07-29 21:30:36,438 | INFO | ticker=FPT | source=cafef | accepted | score=11.0 | url=https://cafef.vn/sieu-du-an-cong-vien-cong-nghe-2-ty-usd-cua-tap-doan-fpt-tai-lang-hoa-co-dien-bien-moi-188260722151954553.chn
2026-07-29 21:30:41,224 | INFO | ticker=FPT | source=cafef | accepted | score=13.0 | url=https://cafef.vn/dien-bien-moi-tai-sieu-du-an-hon-53000-ty-do-tap-doan-fpt-dau-tu-tai-thanh-pho-giau-nhat-mien-bac-188260701072438322.chn
2026-07-29 21:30:43,429 | INFO | ticker=FPT | source=cafef | accepted | score=9.0 | url=https://cafef.vn/nong-truong-dh-cua-chu-tich-fpt-truong-gia-binh-cong-bo-diem-san-xet-tuyen-he-dai-hoc-chinh-quy-nam-2026-18826070107412482.chn
2026-07-29 21:30:52,083 | INFO | ticker=FPT | source=cafef | accepted | score=12.0 | url=https://cafef.vn/truong-dai-hoc-cua-tap-doan-fpt-dung-dau-viet-nam-va-lot-top-100-the-gioi-o-hang-muc-nay-188260624095114313.chn
2026-07-29 21:30:53,948 | INFO | ticker=FPT | source=cafef | accepted | score=9.0 | url=https://cafef.vn/viet-nam-moi-co-them-1-cong-trinh-truong-lien-cap-rong-hon-8472m-la-noi-tap-doan-fpt-cua-chu-tich-truong-gia-binh-kien-tao-nguon-nhan-luc-mang-dna-cong-nghe-188260612233859555.chn
2026-07-29 21:30:56,952 | INFO | ticker=FPT | source=cafef | accepted | score=8.0 | url=https://cafef.vn/1-giam-doc-cua-tap-doan-fpt-bat-ngo-di-hat-tham-gia-chuong-trinh-anh-trai-vuot-ngan-chong-gai-188260505210851609.chn
2026-07-29 21:30:59,044 | INFO | ticker=FPT | source=cafef | accepted | score=11.0 | url=https://cafef.vn/tap-doan-fpt-don-tin-vui-tai-du-an-650-ty-o-thanh-pho-nho-nhat-viet-nam-sau-1-thang-khoi-cong-188260421055343518.chn
2026-07-29 21:31:03,344 | INFO | ticker=FPT | source=cafef | accepted | score=14.0 | url=https://cafef.vn/tap-doan-fpt-phat-thong-bao-quan-trong-188260323105316158.chn
2026-07-29 21:31:05,955 | INFO | ticker=FPT | source=cafef | duplicate | score=10.0 | url=https://cafef.vn/tap-doan-fpt-chinh-thuc-khoi-cong-du-an-650-ty-tai-thanh-pho-nho-nhat-viet-nam-188260319135047153.chn
2026-07-29 21:31:13,326 | INFO | ticker=FPT | source=cafef | accepted | score=13.0 | url=https://cafef.vn/dong-thai-moi-cua-tap-doan-fpt-sau-khi-fpt-telecom-duoc-chuyen-giao-ve-bo-cong-an-188260319092135248.chn
2026-07-29 21:31:32,979 | INFO | ticker=FPT | source=cafef | accepted | score=11.0 | url=https://cafef.vn/tap-doan-fpt-sap-trien-khai-2-du-an-gan-9000-ty-tai-tinh-co-duong-bo-bien-dai-nhat-viet-nam-188260306072648497.chn
2026-07-29 21:31:37,223 | INFO | ticker=FPT | source=cafef | accepted | score=11.0 | url=https://cafef.vn/tap-doan-fpt-sap-khoi-cong-du-an-650-ty-tai-thanh-pho-nho-nhat-viet-nam-188260303070046003.chn
2026-07-29 21:31:39,046 | INFO | ticker=FPT | source=cafef | accepted | score=11.0 | url=https://cafef.vn/loat-du-an-cua-tap-doan-fpt-nhan-chi-dao-tu-lanh-dao-tinh-rong-thu-2-viet-nam-188260224080348258.chn
2026-07-29 21:31:43,090 | INFO | ticker=FPT | source=cafef | accepted | score=13.0 | url=https://cafef.vn/ceo-fpt-tap-doan-fpt-san-sang-lam-tong-cong-trinh-su-phat-trien-khoa-hoc-cong-nghe-doi-moi-sang-tao-o-quang-ninh-188251124152259223.chn
2026-07-29 21:31:45,280 | INFO | ticker=FPT | source=cafef | accepted | score=11.0 | url=https://cafef.vn/tap-doan-fpt-hop-tac-voi-benh-vien-115-tuoi-chu-tich-truong-gia-binh-khang-dinh-y-hoc-va-cong-nghe-tao-buoc-tien-moi-cho-quoc-gia-18825110511340247.chn
2026-07-29 21:37:28,268 | INFO | ticker=FPT | source=cafef | accepted | score=11.0 | url=https://cafef.vn/chu-tich-hdqt-tap-doan-fpt-truong-gia-binh-y-hoc-va-cong-nghe-hai-luc-luong-cung-tao-nen-buoc-tien-moi-cho-quoc-gia-188251104230809298.chn
